t,RRI
0,703.0
1,726.9716745629723
2,789.3160624813167
3,756.6184951558203
4,796.1199004342017
5,789.3757635451395
6,855.2350565336694
7,875.921255076336
8,730.7512236944076
9,795.2411828989441
10,780.0401731106385
11,802.2730724503066
12,873.3203385409817
13,794.6558320275186
14,937.9226712733083
15,924.1401465010804
16,849.6453655134208
17,913.9491156725633
18,823.5981289015839
19,883.7344315112023
20,962.9558755463854
21,959.3108704572347
22,859.0540666091255
23,950.966936214639
24,946.6231183649796
25,864.8602959619689
26,890.3191977124861
27,891.1245715314009
28,863.1033026891562
29,968.9516622685838
30,854.4486949308235
31,820.4466343332449
32,910.243384933574
33,840.2440084014656
34,929.3036715469494
35,896.6215485274007
36,769.9257777626227
37,836.5737378391983
38,920.0780762789069
39,817.9497089446019
40,854.6257932518408
41,865.7806947578547
42,784.528053716092
44,734.6777992904711
45,779.8498593533468
46,926.1311599402705
47,907.6537618087095
48,929.9219490015581
49,928.5593923196619
50,827.607780186543
51,891.4570729394732
52,966.2283287171491
53,923.5524151569064
54,949.0784319900848
55,978.3008203227588
56,945.8233079945659
57,981.9101245739137
58,1036.4963380346603
59,980.1938302094427
60,970.733255524148
61,1054.1240522742303
62,1020.4916101343838
63,932.7097837896691
64,935.2166316762115
65,1052.9245517950344
66,1042.3254938659295
67,988.6077489241694
68,1038.2123229110466
69,1053.5496663847696
70,980.3351115612348
71,838.8312505249056
72,832.3207788470186
73,993.6909556237543
74,1013.087530175276
75,919.6022835756944
76,985.9051313967873
77,1049.002024332176
78,1022.3587313303697
79,925.3810277759874
80,816.3805777828932
81,828.0009666695605
82,878.0849539762883
83,851.641385693633
84,823.8601396850696
85,1035.9030282850783
86,1032.0283253796895
87,949.734202277614
88,900.7147854343075
89,961.3021670636655
90,934.2915431160346
91,864.8425961249885
92,911.8404360035951
93,998.2495872110351
94,943.3947737326846
95,911.182990443972
96,964.0192514236559
97,897.4575520125637
98,801.7106496352965
99,869.1768114850283
100,920.3490288392989
101,802.0021542528805
102,812.0442874751895
103,929.7800965483927
104,870.8634419148024
105,868.0295548460059
106,923.8088967167381
107,821.6010159130537
108,831.3367700133322
109,909.4652982991304
110,845.9508958169157
111,788.1769538581549
112,899.0089651096606
113,928.9412890012778
114,844.8293063987084
115,891.6638295967412
116,900.7127988136185
117,823.1590338526631
118,860.7263552144619
119,937.0005115959349
120,876.1541545302392
121,833.231684578516
122,885.6385897725653
123,866.4439290675509
124,789.6919114695954
125,811.5464748345211
126,791.8029407937883
127,758.3560151697975
128,854.5609993370334
129,886.3172136279529
130,792.5574755148617
131,877.0911402827044
132,820.1659891270012
133,833.1299768995262
134,983.2895035113222
135,953.291185986324
136,848.2802104948079
137,906.3290814067824
138,917.4117056576625
139,868.4270498911994
140,949.060423343659
141,945.2606146006937
142,839.0425076612745
143,842.3266203870503
144,921.2939809490238
145,877.3943463953478
146,800.8812156990423
147,911.4309349664173
148,965.3590980550548
149,851.325463350144
150,856.7023274648345
151,900.2032135386855
152,830.8628349771337
153,854.0253561236318
154,928.2890307511672
155,861.7471039663412
156,815.6904036190947
157,878.3671488368776
158,831.8786168099463
159,782.593229141988
160,861.251799157586
161,905.9326737288673
162,829.475501152181
163,831.2927163057362
164,840.6608195642723
165,740.5367684529095
166,728.163115532305
167,755.5017964306641
168,762.6457978368276
169,779.9031774695259
170,892.3758958236067
171,813.1313588964471
172,770.3806586043471
173,800.005754591562
174,800.4297210673236
175,762.7032360457893
176,807.9635375224918
177,848.6487297886572
178,791.0056432128703
179,837.4964059384812
180,904.1559721389671
181,841.8024069980344
182,816.626108598383
183,883.2242029858277
184,839.38221984673
185,834.9179339449225
186,961.5140857521701
187,928.4058133488437
188,824.6568320499981
189,859.2063157925885
190,844.7485355463879
191,787.5122214571718
192,853.9726600455856
193,838.9003232429662
194,813.4573083614682
195,902.7291131727667
196,844.7124149245383
197,754.3100566490485
198,790.0754784557104
199,805.5246780774972
200,767.4995956187968
201,819.4242655922219
202,888.8515049825071
203,827.9660999090369
204,860.4550811102556
205,946.6928882571981
206,890.6354873395093
207,806.3153533149815
208,863.1111722046599
209,920.9512792680024
210,875.3040214319577
211,778.8989268607589
212,844.1396165657272
213,931.1864384722624
214,888.1740374237088
215,906.7766024657649
216,987.6951905299289
217,919.6165332528241
