t,RRI
1,767.0075326447426
2,838.5513565876334
3,824.3220328651371
4,870.6343742293254
5,867.3062647051954
6,862.1441247693614
7,871.9680052154682
8,842.5052411246767
9,821.6411326668565
10,824.5846400082594
11,792.1323887339032
12,876.558803097947
13,887.7349758853508
14,856.4929493667663
15,861.3597771286057
16,791.8233580441341
17,838.0193470022742
18,860.6303659193785
19,807.6220684866688
20,871.2046628145995
21,833.8421549049026
22,810.2307442837579
23,820.253276363796
24,774.4561971429504
25,805.3001691596579
26,827.4171122648876
27,764.097773277285
28,778.6934210334445
29,743.5431056298985
30,703.4253647904001
31,709.4483781760574
32,682.2655900393537
33,685.5899239466132
34,741.5181121810873
35,733.5322194811779
36,771.3142337130241
37,749.3088532715185
38,748.8691398798511
39,790.6623415196739
40,754.8472674485988
41,784.0448521545072
42,811.9568946078365
43,809.7627466483137
44,864.4298596060094
45,854.0977699135153
46,828.543845337627
47,843.2499517389306
48,805.6804809113522
49,834.0493404276855
50,809.1113392963675
51,841.673585963441
52,868.3490794583031
53,798.95265623565
54,792.7338029775015
55,835.2218181005413
56,766.4672048030045
57,769.2238200438147
58,769.3678443512331
59,731.6160894126173
60,791.2852129660057
61,748.6256796919378
62,745.1828740645365
63,766.1258110823103
64,725.8819954935168
65,721.4085734915376
66,707.4816502120198
67,702.3836062780176
68,689.0725250536397
69,638.7153306892252
70,638.7880767827941
71,650.7926556085289
72,693.1971285812192
76,767.7478534563816
77,680.0950613104156
78,676.3115426828812
79,724.6090806095392
80,813.0494173650826
81,727.8350992199917
85,662.1081747711077
86,762.4734625526253
87,758.667443067429
88,812.3732732506735
89,800.9350332834078
90,786.0272687370681
91,786.1309336278057
92,739.551422094641
93,814.6726638820777
94,946.5381923864461
95,870.0868781435123
96,881.3905031075975
97,914.5948775204502
98,878.148755654045
99,883.1535622485791
100,788.8377004492777
101,792.5235453633248
102,815.4224618553405
103,807.9958186985104
104,917.8907065220618
105,939.8683431376616
106,932.1014073072588
107,886.0602788433907
108,829.293611685215
109,833.9671837088007
110,789.9338895186091
111,899.2680010950018
112,933.3819758697756
113,915.5249726099553
114,958.4033222354282
115,898.6976966620671
116,889.3529039427407
117,869.0020839253765
118,803.0143432106294
119,760.607061943016
120,855.8222545859204
121,894.8443925926363
122,815.2848811635174
123,859.6088183421915
124,902.5685376693268
125,823.8429845065506
126,859.050538453086
127,919.1816658197157
128,874.2674127496756
129,913.2242596693791
130,948.9241333122493
131,890.3479351405749
132,959.4873964241498
133,967.7787744870834
134,857.4378415873726
135,867.4759218076517
136,896.7082337554301
137,788.4026563338089
138,844.1997393462023
139,868.0023998357123
140,810.1496130817878
141,891.5102875185954
142,902.4089604103235
143,819.1969709932156
144,870.175102121221
145,840.1662498106539
146,832.1520360270089
147,923.6718809288525
148,863.3996087220465
149,896.5842293457986
150,927.4574545020018
151,909.3759086898502
152,943.398512544891
153,870.8197355104887
154,910.8189917839961
155,887.9542482648283
156,792.6715649350875
157,849.4182861166237
158,818.3728557204986
159,792.6241716636338
160,850.3906187775146
161,858.4165510187481
162,824.5978640454088
163,856.6623786227339
164,798.3279415984476
165,833.955818641922
166,793.6004822793321
167,835.472452880413
168,886.8455970976353
169,835.6505654069335
170,864.9872627922592
171,798.1374458224063
172,744.9989444052104
173,770.541182405087
174,785.149896076734
175,734.3412092371002
176,793.072069890937
177,767.384995907055
178,740.7083168383243
179,712.3678623678699
180,657.6371349773683
181,688.25132393804
182,743.0415515773442
183,874.1912512833761
184,863.7361029215308
185,819.1154714490316
186,837.4762175979076
187,788.9513117555547
188,793.7265083390007
189,816.6167179453902
190,791.3573047019431
191,882.172973915848
192,902.9255330696559
193,828.6649710224668
194,890.2150666746329
195,939.661880024045
196,883.1442329186056
197,810.2950695571957
198,883.3898361040917
199,929.4675151729543
200,854.7066838034227
201,915.3947228359672
202,853.241613487439
203,781.684306950268
204,884.3210248897856
205,802.3152783036835
206,824.7121944339823
207,940.9261419509971
208,899.9732646831502
209,843.0080902656878
210,907.8220020965072
211,913.1720690281032
212,834.8548199589251
213,881.1938509459135
214,863.7401967075882
215,809.3805506490686
216,815.5341913647659
217,866.1874620453841
218,789.8505386910796
219,823.7386201118177
220,810.6489485447124
