í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2020/12/04
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
14:12:38,728,22.3,0.03,-0.91,0.50,82083.629,0.893,47.172,0.04,82
14:12:39,703,22.3,0.03,-0.91,0.50,83990.662,0.899,47.343,0.04,85
14:12:39,725,22.3,0.03,-0.91,0.50,85222.138,0.904,47.468,0.04,83
14:12:40,744,22.3,0.03,-0.91,0.50,84966.221,0.896,47.246,0.04,81
14:12:41,799,22.3,0.03,-0.91,0.47,85568.744,0.900,47.362,0.03,75
14:12:42,756,22.4,-0.03,-0.91,0.50,85699.277,0.904,47.485,0.04,79
14:12:43,790,22.4,0.03,-0.91,0.50,85459.391,0.910,47.643,0.04,76
14:12:43,794,22.4,-0.06,-0.91,0.50,84503.514,0.916,47.820,0.05,76
14:12:44,800,22.4,-0.03,-0.91,0.50,82986.669,0.921,47.942,0.04,75
14:12:45,881,22.4,-0.03,-0.91,0.50,80850.369,0.924,48.016,0.04,68
14:12:46,858,22.5,-0.03,-0.91,0.50,78148.444,0.927,48.095,0.04,70
14:12:47,737,22.5,-0.03,-0.91,0.50,75009.965,0.931,48.220,0.04,81
14:12:47,768,22.5,-0.03,-0.91,0.50,71733.645,0.936,48.337,0.04,78
14:12:48,807,22.5,-0.03,-0.91,0.50,68283.008,0.942,48.498,0.04,74
14:12:49,770,22.5,-0.03,-0.88,0.50,63885.654,0.948,48.674,0.02,78
14:12:50,806,22.6,-0.03,-0.91,0.50,59827.252,0.953,48.791,0.04,74
14:12:51,878,22.6,-0.03,-0.94,0.50,55601.795,0.956,48.862,0.07,68
14:12:52,795,22.6,-0.03,-0.88,0.50,51124.738,0.959,48.942,0.02,75
14:12:53,863,22.6,-0.03,-0.91,0.50,44341.889,0.980,49.491,0.04,70
14:12:54,980,22.6,-0.03,-0.91,0.50,39881.911,0.981,49.528,0.04,61
14:12:55,860,22.6,-0.03,-0.88,0.54,35313.175,0.984,49.586,0.03,70
14:12:55,869,22.6,-0.03,-0.91,0.50,31124.249,0.987,49.682,0.04,69
14:12:56,909,22.6,-0.03,-0.91,0.50,26977.747,0.995,49.879,0.04,66
14:12:57,823,22.6,-0.03,-0.91,0.50,23133.675,0.997,49.935,0.04,73
14:12:58,873,22.7,-0.03,-0.91,0.50,19766.175,1.003,50.069,0.04,69
14:12:59,950,22.7,-0.03,-0.91,0.50,16544.586,1.007,50.164,0.04,63
14:13:00,979,22.7,-0.03,-0.91,0.50,13781.356,1.010,50.253,0.04,61
14:13:01,868,22.7,-0.03,-0.91,0.54,8944.947,1.036,50.896,0.06,69
14:13:02,902,22.7,-0.03,-0.91,0.50,7101.761,1.039,50.952,0.04,67
14:13:03,982,22.8,-0.03,-0.91,0.50,4558.158,1.064,51.555,0.04,61
14:13:04,892,22.8,-0.03,-0.91,0.50,4324.661,1.050,51.225,0.04,67
14:13:04,867,22.8,-0.03,-0.91,0.50,3406.943,1.051,51.240,0.04,69
14:13:05,897,22.8,-0.03,-0.91,0.50,2666.107,1.050,51.211,0.04,67
14:13:06,886,22.8,-0.03,-0.91,0.54,1783.914,1.034,50.828,0.06,68
14:13:07,861,22.8,-0.03,-0.91,0.50,1471.252,1.013,50.325,0.04,70
14:13:08,968,22.8,-0.03,-0.91,0.50,1265.080,0.985,49.610,0.04,62
14:13:09,882,22.8,-0.03,-0.91,0.54,1075.025,0.908,47.596,0.06,68
14:13:10,800,22.8,-0.03,-0.91,0.50,1038.313,0.866,46.395,0.04,75
14:13:10,876,22.9,-0.03,-0.91,0.50,1033.399,0.826,45.221,0.04,68
14:13:12,901,22.9,-0.03,-0.91,0.54,1037.623,0.791,44.164,0.06,67
14:13:12,834,22.9,-0.03,-0.91,0.54,1053.614,0.763,43.263,0.06,72
14:13:13,947,22.9,-0.03,-0.91,0.50,1134.344,0.686,40.674,0.04,63
14:13:14,887,23.0,-0.03,-0.91,0.50,1121.658,0.686,40.671,0.04,68
14:13:15,779,23.0,-0.03,-0.88,0.54,1139.713,0.670,40.109,0.03,77
14:13:16,792,23.0,-0.03,-0.91,0.50,1160.925,0.651,39.449,0.04,76
14:13:17,902,23.0,-0.03,-0.91,0.50,1183.477,0.633,38.777,0.04,67
14:13:17,894,23.0,-0.03,-0.88,0.50,1205.158,0.616,38.133,0.02,67
14:13:18,801,23.0,-0.03,-0.88,0.54,1228.592,0.597,37.396,0.03,75
14:13:19,863,23.0,-0.03,-0.91,0.54,1306.521,0.553,35.613,0.06,70
14:13:20,868,23.0,-0.03,-0.91,0.50,1336.952,0.532,34.730,0.04,69
14:13:21,803,23.0,-0.03,-0.91,0.50,1368.582,0.510,33.786,0.04,75
14:13:21,708,23.0,-0.03,-0.91,0.50,1402.597,0.489,32.820,0.04,85
14:13:21,568,23.1,-0.03,-0.88,0.50,1442.638,0.467,31.814,0.02,106
14:13:22,722,23.1,-0.03,-0.91,0.50,1477.369,0.446,30.859,0.04,83
14:13:23,712,23.1,-0.03,-0.91,0.50,1473.101,0.441,30.609,0.04,84
14:13:24,845,23.1,-0.03,-0.91,0.47,1510.706,0.421,29.631,0.03,71
14:13:25,933,23.1,-0.03,-0.88,0.50,1543.496,0.401,28.638,0.02,64
14:13:26,904,23.2,-0.03,-0.91,0.50,1608.872,0.370,27.028,0.04,66
14:13:27,934,23.2,-0.03,-0.91,0.50,1643.991,0.349,25.881,0.04,64
14:13:28,927,23.2,-0.03,-0.91,0.50,1681.970,0.328,24.720,0.04,65
14:13:29,835,23.2,-0.03,-0.91,0.50,1725.215,0.309,23.615,0.04,72
14:13:30,857,23.2,-0.03,-0.91,0.50,1770.310,0.295,22.785,0.04,70
14:13:31,962,23.2,-0.03,-0.91,0.50,1814.478,0.283,22.068,0.04,62
14:13:32,939,23.2,-0.03,-0.91,0.50,1880.965,0.274,21.510,0.04,64
14:13:33,924,23.2,-0.03,-0.91,0.50,1933.505,0.274,21.528,0.04,65
14:13:34,977,23.2,-0.03,-0.91,0.50,1986.589,0.281,21.910,0.04,61
14:13:35,963,23.2,-0.03,-0.91,0.50,2052.744,0.305,23.358,0.04,62
14:13:36,947,23.2,-0.03,-0.91,0.50,2117.403,0.331,24.868,0.04,63
14:13:37,1015,23.2,-0.03,-0.91,0.50,2179.451,0.360,26.489,0.04,59
14:13:38,1025,23.2,-0.03,-0.91,0.50,2244.533,0.396,28.360,0.04,59
14:13:39,954,23.4,-0.03,-0.91,0.50,2309.180,0.434,30.283,0.04,63
14:13:40,1007,23.4,-0.03,-0.91,0.50,2367.119,0.474,32.153,0.04,60
14:13:41,1062,23.4,-0.03,-0.91,0.50,2428.331,0.593,37.207,0.04,56
14:13:42,970,23.4,-0.03,-0.91,0.50,2491.624,0.642,39.100,0.04,62
14:13:43,923,23.4,-0.03,-0.88,0.50,2543.790,0.694,40.973,0.02,65
14:13:44,964,23.4,-0.03,-0.91,0.50,2586.911,0.747,42.752,0.04,62
14:13:45,1083,23.4,-0.03,-0.91,0.50,2627.049,0.798,44.386,0.04,55
14:13:46,999,23.4,-0.03,-0.91,0.50,2663.909,0.851,45.973,0.04,60
14:13:47,1007,23.4,-0.03,-0.91,0.50,2664.149,0.960,48.978,0.04,60
14:13:48,1056,23.4,-0.03,-0.91,0.50,2682.189,1.002,50.052,0.04,57
14:13:49,1027,23.4,-0.03,-0.91,0.50,2693.459,1.039,50.951,0.04,58
14:13:49,922,23.4,-0.03,-0.91,0.50,2647.792,1.143,53.346,0.04,65
14:13:50,814,23.5,-0.03,-0.88,0.50,2628.476,1.176,54.053,0.02,74
14:13:51,844,23.5,-0.03,-0.91,0.50,2602.927,1.204,54.630,0.04,71
14:13:52,1006,23.5,-0.03,-0.91,0.50,2565.876,1.227,55.092,0.04,60
14:13:53,1004,23.5,-0.03,-0.91,0.50,2517.261,1.246,55.470,0.04,60
14:13:54,919,23.6,-0.03,-0.91,0.54,2473.180,1.249,55.530,0.06,65
14:13:56,987,23.6,-0.03,-0.91,0.50,2419.875,1.241,55.386,0.04,61
14:13:57,1050,23.6,-0.03,-0.91,0.50,2362.210,1.227,55.092,0.04,57
14:13:58,1017,23.6,-0.03,-0.91,0.50,2316.162,1.198,54.499,0.04,59
14:13:58,925,23.6,-0.03,-0.91,0.50,2141.360,1.218,54.913,0.04,65
14:13:59,827,23.6,-0.03,-0.91,0.54,2067.503,1.189,54.308,0.06,73
14:14:00,813,23.6,-0.03,-0.91,0.50,2007.186,1.147,53.429,0.04,74
14:14:01,856,23.6,-0.03,-0.91,0.47,2061.746,1.080,51.917,0.03,70
14:14:01,881,23.6,-0.03,-0.91,0.50,2004.960,1.038,50.938,0.04,68
14:14:02,836,23.7,-0.03,-0.91,0.50,1943.885,0.999,49.981,0.04,72
14:14:03,829,23.7,-0.03,-0.91,0.50,1896.325,0.962,49.023,0.04,72
14:14:04,1050,23.7,-0.03,-0.91,0.50,1863.013,0.919,47.881,0.04,57
14:14:05,1021,23.7,-0.03,-0.91,0.50,1848.679,0.869,46.487,0.04,59
14:14:06,945,23.7,-0.03,-0.88,0.50,1848.561,0.821,45.089,0.02,63
14:14:07,900,23.7,-0.03,-0.91,0.54,1847.014,0.790,44.145,0.06,67
14:14:08,958,23.7,-0.03,-0.91,0.50,1850.162,0.765,43.348,0.04,63
14:14:09,944,23.7,-0.03,-0.91,0.50,1835.727,0.748,42.776,0.04,64
14:14:10,877,23.7,-0.03,-0.91,0.50,1867.820,0.745,42.680,0.04,68
14:14:11,874,23.8,-0.03,-0.91,0.50,1904.426,0.751,42.893,0.04,69
14:14:12,978,23.8,-0.03,-0.91,0.50,1945.418,0.765,43.333,0.04,61
14:14:13,982,23.8,-0.03,-0.91,0.50,1997.066,0.789,44.102,0.04,61
14:14:14,907,23.8,-0.03,-0.91,0.50,2049.335,0.819,45.018,0.04,66
14:14:15,935,23.8,-0.03,-0.91,0.50,2096.773,0.849,45.930,0.04,64
14:14:16,960,23.8,-0.03,-0.91,0.50,2144.437,0.883,46.899,0.04,62
14:14:16,866,23.8,-0.03,-0.88,0.50,2192.700,0.923,48.010,0.02,69
14:14:17,801,23.8,-0.03,-0.88,0.50,2236.486,0.962,49.037,0.02,75
14:14:18,857,23.9,-0.03,-0.91,0.50,2273.977,0.997,49.929,0.04,70
14:14:19,931,23.9,-0.03,-0.91,0.50,2310.308,1.034,50.843,0.04,64
14:14:20,833,23.9,-0.03,-0.88,0.50,2344.865,1.070,51.700,0.02,72
14:14:20,789,23.9,-0.03,-0.91,0.54,2370.901,1.103,52.455,0.06,76
14:14:21,842,23.9,-0.03,-0.91,0.50,2386.741,1.134,53.132,0.04,71
14:14:22,939,23.9,-0.03,-0.91,0.50,2412.589,1.175,54.029,0.04,64
14:14:23,862,23.9,-0.03,-0.91,0.50,2417.281,1.205,54.640,0.04,70
14:14:24,865,23.9,-0.03,-0.91,0.50,2420.467,1.233,55.216,0.04,69
14:14:25,927,23.9,-0.03,-0.91,0.50,2413.867,1.261,55.770,0.04,65
