í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2020/12/11
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
13:58:20,789,28.1,0.06,-0.91,0.44,90.091,0.706,41.383,0.02,76
13:58:21,792,28.1,0.06,-0.94,0.47,91.357,0.709,41.496,0.06,76
13:58:21,754,28.1,0.06,-0.91,0.47,92.790,0.711,41.544,0.03,80
13:58:22,750,28.1,0.06,-0.91,0.47,94.419,0.706,41.380,0.03,80
13:58:23,777,28.1,0.06,-0.94,0.44,96.028,0.707,41.422,0.04,77
13:58:24,790,28.1,0.06,-0.94,0.44,97.887,0.707,41.421,0.04,76
13:58:24,790,28.1,0.06,-0.94,0.47,99.656,0.709,41.490,0.06,76
13:58:25,773,28.1,0.06,-0.94,0.47,101.413,0.709,41.497,0.06,78
13:58:26,771,28.1,0.06,-0.91,0.47,103.098,0.711,41.570,0.03,78
13:58:27,785,28.1,0.06,-0.94,0.44,104.700,0.718,41.792,0.04,76
13:58:27,787,28.1,0.06,-0.91,0.44,106.426,0.721,41.886,0.02,76
13:58:28,750,28.1,0.06,-0.91,0.47,107.813,0.725,42.020,0.03,80
13:58:29,740,28.1,0.06,-0.94,0.44,107.403,0.746,42.727,0.04,81
13:58:30,759,28.1,0.06,-0.91,0.47,108.706,0.753,42.948,0.03,79
13:58:30,752,28.1,0.06,-0.94,0.44,109.925,0.759,43.143,0.04,80
13:58:31,770,28.1,0.06,-0.91,0.44,111.013,0.765,43.337,0.02,78
13:58:32,737,28.1,0.06,-0.94,0.44,111.796,0.770,43.489,0.04,81
13:58:33,721,28.1,0.06,-0.91,0.47,112.684,0.775,43.677,0.03,83
13:58:33,746,28.1,0.06,-0.91,0.44,113.166,0.782,43.897,0.02,80
13:58:34,765,28.1,0.06,-0.94,0.47,113.828,0.786,44.011,0.06,78
13:58:35,794,28.1,0.06,-0.94,0.44,114.162,0.790,44.133,0.04,76
13:58:36,791,28.1,0.06,-0.91,0.47,114.486,0.795,44.299,0.03,76
13:58:36,729,28.1,0.06,-0.91,0.47,114.756,0.802,44.506,0.03,82
13:58:37,713,28.1,0.06,-0.91,0.47,115.117,0.805,44.607,0.03,84
13:58:38,742,28.1,0.06,-0.94,0.47,115.427,0.806,44.643,0.06,81
13:58:39,747,28.1,0.06,-0.94,0.47,115.543,0.807,44.659,0.06,80
13:58:39,731,28.1,0.06,-0.91,0.44,115.996,0.808,44.690,0.02,82
13:58:40,705,28.1,0.06,-0.91,0.47,116.018,0.800,44.448,0.03,85
13:58:41,726,28.1,0.06,-0.91,0.47,116.447,0.794,44.264,0.03,83
13:58:42,753,28.1,0.06,-0.91,0.47,117.230,0.789,44.090,0.03,80
13:58:42,803,28.1,0.06,-0.94,0.44,118.159,0.780,43.821,0.04,75
13:58:43,757,28.1,0.06,-0.91,0.47,119.492,0.770,43.505,0.03,79
13:58:44,741,28.1,0.06,-0.91,0.47,121.074,0.755,43.010,0.03,81
13:58:45,774,28.1,0.06,-0.94,0.44,123.011,0.736,42.393,0.04,78
13:58:45,768,28.1,0.06,-0.91,0.44,125.468,0.715,41.691,0.02,78
13:58:46,753,28.1,0.06,-0.91,0.44,128.429,0.692,40.899,0.02,80
13:58:47,744,28.1,0.06,-0.91,0.47,131.894,0.668,40.042,0.03,81
13:58:48,696,28.1,0.06,-0.91,0.47,135.683,0.645,39.228,0.03,86
13:58:48,699,28.1,0.06,-0.91,0.47,140.155,0.622,38.364,0.03,86
13:58:49,694,28.1,0.06,-0.94,0.47,145.109,0.603,37.605,0.06,86
13:58:50,718,28.1,0.06,-0.94,0.44,150.530,0.585,36.892,0.04,84
13:58:50,762,28.1,0.06,-0.94,0.47,156.846,0.567,36.178,0.06,79
13:58:51,728,28.1,0.06,-0.91,0.47,163.553,0.552,35.557,0.03,82
13:58:52,751,28.1,0.06,-0.91,0.47,171.150,0.540,35.078,0.03,80
13:58:53,798,28.1,0.06,-0.91,0.44,179.068,0.532,34.727,0.02,75
13:58:54,843,28.1,0.06,-0.94,0.44,187.901,0.526,34.468,0.04,71
13:58:55,863,28.1,0.06,-0.91,0.44,197.479,0.523,34.361,0.02,70
13:58:56,846,28.1,0.06,-0.91,0.47,207.200,0.525,34.424,0.03,71
13:58:57,854,28.1,0.06,-0.91,0.47,217.512,0.533,34.773,0.03,70
13:58:57,847,28.1,0.06,-0.94,0.44,227.632,0.546,35.322,0.04,71
13:58:58,855,28.1,0.06,-0.94,0.44,237.841,0.568,36.216,0.04,70
13:58:59,813,28.1,0.06,-0.91,0.47,247.631,0.594,37.277,0.03,74
13:59:00,769,28.1,0.06,-0.91,0.47,257.170,0.630,38.659,0.03,78
13:59:00,763,28.1,0.06,-0.91,0.47,265.990,0.665,39.957,0.03,79
13:59:01,778,28.1,0.06,-0.91,0.44,274.312,0.711,41.568,0.02,77
13:59:02,775,28.1,0.06,-0.91,0.44,281.981,0.764,43.319,0.02,77
13:59:03,770,28.1,0.03,-0.91,0.47,289.020,0.826,45.243,0.03,78
13:59:03,746,28.1,0.06,-0.91,0.47,295.647,0.895,47.219,0.03,80
13:59:04,767,28.1,0.06,-0.91,0.47,301.150,0.983,49.569,0.03,78
13:59:05,800,28.1,0.03,-0.91,0.44,306.250,1.075,51.819,0.01,75
13:59:06,810,28.1,0.06,-0.94,0.47,310.268,1.185,54.239,0.06,74
13:59:07,803,28.1,0.06,-0.91,0.47,312.860,1.322,56.930,0.03,75
13:59:07,801,28.1,0.03,-0.91,0.47,314.899,1.466,59.447,0.03,75
13:59:08,811,28.1,0.06,-0.94,0.44,316.006,1.624,61.888,0.04,74
13:59:09,831,28.1,0.06,-0.91,0.44,316.358,1.793,64.197,0.02,72
13:59:10,822,28.1,0.06,-0.91,0.47,315.275,1.992,66.577,0.03,73
13:59:11,796,28.1,0.06,-0.91,0.47,313.884,2.199,68.741,0.03,75
13:59:11,798,28.1,0.06,-0.91,0.47,310.676,2.444,70.961,0.03,75
13:59:12,807,28.1,0.06,-0.91,0.44,307.441,2.689,72.894,0.02,74
13:59:13,810,28.1,0.06,-0.94,0.44,303.457,2.952,74.698,0.04,74
13:59:14,794,28.1,0.06,-0.91,0.47,299.054,3.224,76.327,0.03,76
13:59:15,767,28.1,0.06,-0.91,0.47,293.983,3.508,77.817,0.03,78
13:59:15,789,28.1,0.06,-0.91,0.44,289.084,3.781,79.084,0.02,76
13:59:16,812,28.1,0.06,-0.94,0.44,282.972,4.083,80.328,0.04,74
