í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2020/12/11
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
14:15:08,888,28.6,0.06,-1.04,0.06,174.283,1.436,58.957,0.04,68
14:15:09,878,28.6,0.06,-1.07,0.06,172.219,1.573,61.135,0.07,68
14:15:10,836,28.6,0.06,-1.07,0.06,169.960,1.714,63.159,0.07,72
14:15:11,854,28.6,0.06,-1.04,0.06,167.257,1.863,65.070,0.04,70
14:15:12,859,28.6,0.06,-1.04,0.06,164.542,2.022,66.914,0.04,70
14:15:12,857,28.6,0.06,-1.04,0.06,161.828,2.189,68.638,0.04,70
14:15:13,860,28.6,0.06,-1.04,0.06,158.909,2.362,70.256,0.04,70
14:15:14,830,28.6,0.06,-1.07,0.09,155.974,2.541,71.761,0.08,72
14:15:15,841,28.6,0.06,-1.04,0.06,152.994,2.707,73.022,0.04,71
14:15:16,843,28.6,0.06,-1.04,0.06,150.521,2.878,74.211,0.04,71
14:15:17,838,28.6,-0.06,-1.10,0.06,148.337,3.043,75.266,0.11,72
14:15:17,818,28.6,0.03,-1.04,0.09,146.037,3.208,76.234,0.04,73
14:15:18,835,28.6,0.03,-1.04,0.06,144.062,3.372,77.128,0.04,72
14:15:19,857,28.6,0.03,-1.04,0.06,142.286,3.527,77.912,0.04,70
14:15:20,872,28.6,-0.03,-1.04,0.06,140.612,3.673,78.602,0.04,69
14:15:21,858,28.6,0.03,-1.04,0.09,138.949,3.812,79.219,0.04,70
14:15:22,846,28.6,0.03,-1.04,0.06,137.339,3.937,79.745,0.04,71
14:15:23,840,28.6,-0.03,-1.07,0.06,135.797,4.048,80.188,0.07,71
14:15:23,832,28.6,0.03,-1.07,0.06,134.513,4.128,80.499,0.07,72
14:15:24,798,28.6,0.03,-1.04,0.06,133.336,4.185,80.715,0.04,75
14:15:25,766,28.6,0.03,-1.04,0.06,132.084,4.225,80.861,0.04,78
14:15:26,772,28.6,0.03,-1.04,0.09,130.578,4.254,80.968,0.04,78
14:15:26,782,28.6,0.03,-1.04,0.06,129.090,4.259,80.985,0.04,77
14:15:27,797,28.6,-0.03,-1.04,0.06,127.751,4.238,80.908,0.04,75
14:15:28,763,28.6,0.03,-1.07,0.09,126.407,4.193,80.744,0.08,79
14:15:29,786,28.6,0.03,-1.04,0.09,124.920,4.153,80.593,0.04,76
14:15:29,780,28.6,0.03,-1.04,0.09,123.411,4.102,80.402,0.04,77
14:15:30,802,28.6,-0.09,-1.04,0.09,121.747,4.040,80.157,0.05,75
14:15:31,782,28.6,-0.09,-1.07,0.16,120.220,3.979,79.916,0.09,77
14:15:32,770,28.6,-0.09,-1.04,0.13,118.790,3.906,79.617,0.05,78
14:15:32,713,28.6,-0.13,-1.07,0.13,117.281,3.845,79.361,0.09,84
14:15:33,685,28.6,-0.03,-1.07,0.06,115.631,3.780,79.078,0.07,88
14:15:34,694,28.6,0.03,-1.04,0.06,113.765,3.727,78.843,0.04,86
14:15:34,724,28.6,0.06,-1.07,0.13,111.976,3.668,78.577,0.08,83
14:15:35,677,28.6,0.06,-1.04,0.16,110.188,3.617,78.341,0.05,89
14:15:36,699,28.6,0.06,-1.04,0.16,108.281,3.578,78.157,0.05,86
14:15:37,739,28.6,0.06,-1.04,0.13,110.054,3.490,77.728,0.05,81
14:15:38,801,28.6,0.09,-1.04,0.13,108.263,3.452,77.537,0.05,75
14:15:38,789,28.6,0.06,-1.04,0.19,106.814,3.416,77.357,0.06,76
