í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2020/12/11
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
15:45:58,735,28.4,0.03,-1.04,-0.06,-,-,-,0.04,82
15:45:59,856,28.4,-0.03,-1.04,0.06,-,-,-,0.04,70
15:45:59,698,28.4,-0.03,-1.04,0.06,-,-,-,0.04,86
15:46:00,724,28.4,-0.03,-1.04,0.09,-,-,-,0.04,83
15:46:01,785,28.4,0.00,-1.04,0.06,-,-,-,0.04,76
15:46:02,795,28.4,0.03,-1.04,0.06,-,-,-,0.04,75
15:46:02,730,28.4,0.03,-1.04,0.09,-,-,-,0.04,82
15:46:03,726,28.4,0.03,-1.04,0.09,-,-,-,0.04,83
15:46:04,801,28.4,0.03,-1.04,0.06,-,-,-,0.04,75
15:46:05,773,28.4,0.03,-1.04,-0.03,-,-,-,0.04,78
15:46:05,714,28.4,0.03,-1.07,0.06,-,-,-,0.07,84
15:46:06,727,28.4,0.03,-1.04,0.09,-,-,-,0.04,83
15:46:07,796,28.4,-0.06,-1.04,0.06,-,-,-,0.04,75
15:46:08,725,28.4,-0.06,-1.07,0.22,-,-,-,0.10,83
15:46:08,777,28.4,-0.06,-0.98,0.44,-,-,-,0.07,77
15:46:09,673,28.4,-0.09,-0.94,0.50,-,-,-,0.08,89
15:46:09,611,28.4,-0.09,-0.91,0.50,-,-,-,0.05,98
15:46:10,737,28.4,-0.06,-0.94,0.50,-,-,-,0.07,81
15:46:11,705,28.5,-0.09,-0.94,0.44,-,-,-,0.05,85
15:46:12,678,28.5,-0.09,-0.94,0.44,-,-,-,0.05,88
15:46:12,689,28.5,-0.09,-0.91,0.47,-,-,-,0.03,87
15:46:13,720,28.5,-0.06,-0.91,0.47,-,-,-,0.03,83
15:46:14,735,28.5,-0.09,-0.94,0.47,-,-,-,0.06,82
15:46:15,729,28.5,-0.06,-1.04,0.35,-,-,-,0.10,82
15:46:15,677,28.5,-0.03,-1.04,-0.16,-,-,-,0.05,89
15:46:16,702,28.5,-0.03,-1.04,-0.13,-,-,-,0.05,85
15:46:17,780,28.5,0.00,-1.04,-0.13,-,-,-,0.05,77
15:46:18,786,28.5,-0.03,-1.04,-0.16,-,-,-,0.05,76
15:46:18,811,28.5,0.06,-1.07,-0.19,-,-,-,0.09,74
15:46:19,759,28.5,-0.03,-1.04,-0.16,-,-,-,0.05,79
15:46:20,725,28.5,-0.03,-1.04,-0.13,3984.010,0.260,20.626,0.05,83
15:46:21,754,28.5,-0.03,-1.04,-0.13,2582.375,0.289,22.399,0.05,80
15:46:21,793,28.5,-0.06,-1.07,-0.16,2187.539,0.298,22.960,0.08,76
15:46:22,774,28.5,-0.03,-1.04,-0.16,3540.818,0.271,21.345,0.05,78
15:46:23,737,28.5,-0.03,-1.04,-0.09,2303.976,0.310,23.661,0.04,81
15:46:24,769,28.5,0.03,-1.04,-0.09,1974.875,0.321,24.321,0.04,78
15:46:25,853,28.5,-0.03,-1.04,-0.13,2199.221,0.318,24.114,0.05,70
15:46:26,864,28.5,-0.03,-1.04,-0.16,1906.054,0.328,24.677,0.05,69
15:46:27,907,28.5,-0.03,-1.04,-0.13,1701.489,0.334,25.063,0.05,66
15:46:27,843,28.5,-0.03,-1.07,-0.09,1480.158,0.330,24.787,0.08,71
15:46:28,852,28.5,0.03,-1.04,-0.09,1363.438,0.317,24.076,0.04,70
15:46:29,878,28.5,0.03,-1.04,-0.13,1345.598,0.319,24.179,0.05,68
15:46:30,881,28.5,0.00,-1.04,-0.13,1363.246,0.325,24.554,0.05,68
15:46:31,828,28.5,0.03,-1.04,-0.13,1345.355,0.326,24.601,0.05,72
15:46:32,804,28.6,-0.03,-1.07,-0.09,1325.901,0.332,24.909,0.08,75
