t,RRI
0,856.0
1,695.93775033538
2,771.0621265042557
3,795.1109192339877
4,716.3733780662335
5,781.0705560587724
6,775.797105047608
7,706.5091066040835
8,787.6454690158317
9,724.9290328006424
10,757.4900517149182
11,608.4685651626778
12,743.957334896487
13,680.1340431209679
14,694.466526794525
15,730.1572597220123
16,731.5714491389152
17,674.8650810938058
18,764.6054387032177
19,786.1363742045232
20,803.9636595967264
21,731.343334367856
22,751.4180167820662
23,794.0489506965881
24,750.5937949826913
25,758.9003772814413
26,854.5120244352884
27,872.4153950299681
28,892.9566793305462
29,837.649970909063
30,869.8611642106117
31,886.1423497311172
32,829.1215133137247
33,797.9064118999327
34,840.3823892809655
35,856.4981929799145
36,792.1165144404913
37,804.4593217718678
38,848.74738722715
39,801.1912275082569
40,798.7959440445843
41,820.5289465018054
42,873.8991145985415
43,779.0799792462527
44,815.0581160689798
45,806.8651901358776
46,795.177759279272
47,773.2653618468075
48,819.1258524925107
49,764.7315384635266
50,785.489727967806
51,870.0284719009628
52,796.2830175158177
53,799.4259218881317
54,790.0729415049095
55,745.9954781557514
56,782.6660311285723
57,817.1280868298768
58,766.3655339306758
59,819.4684562770249
60,801.2724259686812
61,747.5592039718841
62,820.2690541204755
63,743.7641756167238
64,742.133824756314
65,791.4025851899604
66,806.9804059828821
67,721.0129762848438
68,821.9985648754869
69,788.2639624134139
70,755.0484177301125
71,810.7016408496374
72,772.4860114285825
73,688.5888026836363
74,770.5498313552505
75,703.3304655511074
76,723.3958670225333
77,759.4067473009273
78,785.3622070501568
79,758.3923337057099
80,786.9959107890755
81,803.1020470523242
82,779.8373632162392
83,721.3171077013093
84,822.5898596296905
85,768.0053162265988
86,707.7911158331625
87,780.459700275456
88,800.2802774518427
89,752.4218002450161
90,745.6112842623112
91,803.2651934557373
92,786.3908298689294
93,715.7936700569728
94,740.0915078366902
95,783.443903788833
96,696.3400451732243
97,704.7550139805466
98,728.4274024662138
99,720.0526867965656
100,731.8306090807276
101,762.2015427951716
102,748.8763138380136
103,732.8229082628708
104,756.4106650092403
105,730.2847692378447
106,689.1992535164924
107,715.4011277352068
108,694.1737739689883
109,710.5746788894868
110,745.2403353667278
111,768.4500011220571
112,698.9978984660669
113,745.4754929655437
114,694.0664447723148
115,632.7833016002913
116,697.954779965839
117,750.055641014218
118,776.037892982167
119,741.8484388684138
120,714.1769937579162
121,770.9992714618684
122,694.2193072995595
123,666.8893405681978
124,730.6439689206974
125,723.9459351943283
126,694.1250410806493
127,751.847870660844
128,754.1460846461587
129,808.6654402123338
