,reading,task1,task2,task3,task4
mean,752.8106735805062,747.2775174794549,765.1323413615238,733.3503297963465,749.845940052196
SDNN,74.61692541378436,44.45820175469911,52.17996275770296,48.15244393750683,53.858220643111636
pNN50,0.37209302325581395,0.3333333333333333,0.3953488372093023,0.31983805668016196,0.34759358288770054
RMSSD,53.08448441133043,51.65375123146884,52.930582367816044,47.722722032830255,48.34095888781298
VLF,1712.568797232929,312.343070375768,615.2927471560233,474.8140467490631,501.6322695505561
LF,386.80419160167037,176.56185606914042,183.11441153577775,185.4195587184163,361.02389021982367
HF,467.5126013395232,352.5667209458591,315.65885871675084,390.55456739533827,331.7871163115286
LF/HF,0.8273663436951089,0.500789908915577,0.5801022416421115,0.4747596730336677,1.088119075367723
totalPow,2566.8855901741226,841.4716473907674,1114.066017408552,1050.7881728628176,1194.4432760819084
LPS,6940.21506469075,3536.0556452472197,4193.230434607126,3753.153206958853,4411.132937189296
