í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2020/12/16
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
13:45:28,1013,23.4,0.06,-1.04,-0.03,146379.504,2.273,69.448,0.04,59
13:45:29,996,23.5,0.09,-1.04,-0.03,149586.380,1.834,64.717,0.04,60
13:45:30,997,23.5,0.09,-1.04,-0.03,157451.805,1.159,53.690,0.04,60
13:45:31,1001,23.5,0.09,-1.04,-0.03,162668.210,1.493,59.887,0.04,60
13:45:32,1024,23.5,0.09,-1.04,-0.03,166690.508,1.105,52.498,0.04,59
13:45:33,1025,23.6,0.09,-1.04,-0.03,170383.382,0.647,39.290,0.04,59
13:45:34,994,23.6,0.09,-1.04,0.03,174883.602,0.922,47.963,0.04,60
13:45:35,999,23.6,0.13,-1.04,-0.03,174983.897,0.666,39.965,0.05,60
13:45:36,1000,23.6,0.09,-1.04,-0.06,169881.307,0.399,28.536,0.05,60
13:45:37,993,23.7,0.09,-1.04,-0.03,176587.192,0.572,36.405,0.04,60
13:45:38,994,23.7,0.06,-1.04,-0.06,168707.845,0.447,30.890,0.04,60
13:45:39,1032,23.7,0.09,-1.04,-0.06,153267.490,0.306,23.458,0.05,58
13:45:40,994,23.7,0.09,-1.04,-0.06,163482.613,0.393,28.237,0.05,60
13:45:41,952,23.7,0.09,-1.04,-0.03,147431.551,0.361,26.529,0.04,63
13:45:41,965,23.7,0.06,-1.04,-0.03,136488.276,0.256,20.403,0.04,62
13:45:42,877,23.7,0.09,-1.04,0.06,140624.715,0.366,26.801,0.05,68
13:45:43,942,23.7,0.13,-1.04,0.06,133075.615,0.317,24.077,0.05,64
13:45:44,954,23.8,0.09,-1.04,0.06,121591.883,0.310,23.654,0.05,63
13:45:45,999,23.8,0.13,-1.04,0.06,118013.100,0.303,23.259,0.05,60
13:45:46,944,23.8,0.09,-1.04,0.03,106053.166,0.297,22.877,0.04,64
13:45:47,983,23.8,0.13,-1.04,-0.03,87886.759,0.302,23.174,0.05,61
13:45:48,983,23.8,0.13,-1.04,-0.03,81907.604,0.295,22.770,0.05,61
13:45:49,897,23.8,0.13,-1.04,-0.03,57882.650,0.323,24.416,0.05,67
13:45:50,924,23.8,0.16,-1.07,-0.13,48150.504,0.327,24.668,0.09,65
13:45:51,873,23.8,0.16,-1.04,-0.06,52656.499,0.302,23.197,0.05,69
13:45:52,917,23.8,0.09,-1.04,-0.06,43507.039,0.309,23.605,0.05,65
13:45:52,891,23.9,0.06,-1.04,-0.03,36861.715,0.315,23.932,0.04,67
13:45:54,909,23.9,0.06,-1.04,-0.03,42577.174,0.296,22.821,0.04,66
13:45:54,968,23.9,0.06,-1.04,-0.06,34943.638,0.308,23.531,0.04,62
13:45:55,985,23.9,0.06,-1.04,-0.06,29250.056,0.317,24.041,0.04,61
13:45:56,925,23.9,0.06,-1.04,-0.03,24078.932,0.328,24.690,0.04,65
13:45:57,954,23.9,0.06,-1.04,-0.03,19279.859,0.342,25.501,0.04,63
13:45:58,1020,23.9,0.06,-1.04,-0.03,16778.194,0.347,25.767,0.04,59
13:46:00,1031,23.9,0.06,-1.04,-0.03,9531.242,0.397,28.423,0.04,58
13:46:01,1021,24.0,0.06,-1.04,-0.03,6876.969,0.426,29.859,0.04,59
13:46:02,1046,24.0,0.06,-1.04,-0.06,4931.563,0.459,31.469,0.04,57
13:46:02,947,24.0,0.06,-1.04,-0.03,3444.890,0.502,33.442,0.04,63
13:46:03,933,24.0,0.06,-1.04,-0.03,2353.454,0.562,35.963,0.04,64
13:46:04,972,24.1,0.06,-1.04,-0.03,1590.491,0.642,39.104,0.04,62
13:46:05,975,24.1,0.06,-1.04,-0.06,1168.709,0.728,42.116,0.04,62
13:46:06,954,24.1,0.06,-1.04,-0.06,804.443,0.870,46.524,0.04,63
13:46:07,978,24.1,0.06,-1.04,-0.03,538.036,1.105,52.492,0.04,61
13:46:09,1064,24.1,0.06,-1.04,-0.03,471.437,1.251,55.573,0.04,56
13:46:10,1061,24.1,0.06,-1.04,-0.06,441.683,1.364,57.691,0.04,57
13:46:11,1014,24.1,0.06,-1.04,-0.06,423.112,1.478,59.637,0.04,59
13:46:11,895,24.1,0.06,-1.04,-0.06,373.834,1.781,64.038,0.04,67
13:46:12,829,24.2,0.06,-1.04,-0.06,363.783,1.922,65.781,0.04,72
13:46:13,847,24.2,0.06,-1.04,-0.06,357.307,2.047,67.176,0.04,71
13:46:13,839,24.2,0.06,-1.04,-0.06,372.078,2.027,66.969,0.04,72
13:46:14,760,24.2,0.06,-1.04,-0.06,370.728,2.119,67.943,0.04,79
13:46:15,713,24.2,0.06,-1.07,-0.06,372.017,2.193,68.677,0.07,84
13:46:16,834,24.2,0.03,-1.04,-0.06,374.262,2.253,69.258,0.04,72
13:46:17,1056,24.2,0.06,-1.04,-0.06,381.498,2.295,69.650,0.04,57
13:46:18,1075,24.2,0.06,-1.04,-0.06,395.659,2.326,69.938,0.04,56
13:46:19,1032,24.2,0.06,-1.04,-0.06,412.350,2.363,70.262,0.04,58
13:46:20,964,24.3,0.06,-1.04,-0.06,430.992,2.409,70.662,0.04,62
13:46:21,992,24.3,0.03,-1.04,-0.06,450.878,2.463,71.119,0.04,60
13:46:22,1048,24.3,0.06,-1.04,-0.06,473.672,2.529,71.666,0.04,57
13:46:23,1022,24.3,0.06,-1.04,-0.06,500.633,2.626,72.419,0.04,59
13:46:24,944,24.4,0.06,-1.04,-0.06,531.377,2.732,73.204,0.04,64
13:46:25,875,24.4,0.06,-1.04,-0.06,565.249,2.834,73.917,0.04,69
13:46:26,890,24.4,0.06,-1.04,-0.06,602.148,2.925,74.521,0.04,67
13:46:27,996,24.4,0.06,-1.04,-0.06,646.648,3.022,75.138,0.04,60
13:46:28,1030,24.4,0.06,-1.04,-0.06,701.598,3.124,75.753,0.04,58
13:46:29,978,24.4,0.06,-1.04,-0.06,765.815,3.208,76.237,0.04,61
13:46:30,989,24.4,0.06,-1.07,-0.06,839.147,3.271,76.588,0.07,61
13:46:31,1028,24.4,0.06,-1.04,-0.06,920.154,3.309,76.793,0.04,58
13:46:32,1068,24.4,0.06,-1.04,-0.06,1020.823,3.326,76.885,0.04,56
13:46:33,1040,24.4,0.06,-1.04,-0.06,1125.547,3.312,76.808,0.04,58
13:46:34,943,24.4,0.06,-1.04,-0.06,1244.631,3.277,76.619,0.04,64
13:46:35,967,24.4,0.06,-1.04,-0.06,1358.729,3.238,76.403,0.04,62
13:46:36,1006,24.5,0.06,-1.04,-0.06,1483.882,3.180,76.074,0.04,60
13:46:37,1019,24.5,0.06,-1.04,-0.06,1614.212,3.108,75.660,0.04,59
13:46:38,1002,24.5,0.06,-1.04,-0.06,1750.883,3.024,75.151,0.04,60
13:46:39,920,24.5,0.06,-1.04,-0.06,1882.660,2.937,74.602,0.04,65
13:46:40,943,24.6,0.06,-1.04,-0.06,2004.882,2.850,74.024,0.04,64
13:46:41,1021,24.6,0.06,-1.04,-0.06,2121.250,2.764,73.432,0.04,59
13:46:42,1019,24.6,0.06,-1.04,-0.06,2234.639,2.665,72.711,0.04,59
13:46:43,948,24.6,0.06,-1.07,-0.06,2340.297,2.563,71.933,0.07,63
13:46:44,917,24.6,0.06,-1.04,-0.06,2430.852,2.465,71.136,0.04,65
13:46:45,912,24.6,0.06,-1.04,-0.06,2509.262,2.367,70.302,0.04,66
13:46:45,927,24.6,0.06,-1.04,-0.06,2572.500,2.276,69.473,0.04,65
13:46:46,865,24.6,0.06,-1.04,-0.06,2620.158,2.173,68.480,0.04,69
13:46:47,836,24.6,0.06,-1.04,-0.06,2651.556,2.076,67.490,0.04,72
13:46:48,887,24.7,0.06,-1.04,-0.03,2669.011,1.988,66.530,0.04,68
13:46:49,962,24.7,0.06,-1.04,-0.06,2668.938,1.890,65.400,0.04,62
13:46:50,1002,24.7,0.06,-1.04,-0.09,2654.670,1.790,64.164,0.05,60
13:46:51,942,24.7,0.06,-1.04,-0.06,2631.104,1.693,62.868,0.04,64
13:46:52,968,24.8,0.06,-1.04,-0.06,2587.236,1.592,61.425,0.04,62
13:46:53,937,24.8,0.06,-1.04,-0.06,2537.795,1.497,59.953,0.04,64
13:46:54,895,24.8,0.06,-1.04,-0.03,2469.744,1.398,58.302,0.04,67
13:46:55,849,24.8,0.06,-1.04,-0.06,2395.562,1.306,56.628,0.04,71
13:46:55,896,24.8,0.06,-1.04,-0.06,2311.923,1.216,54.884,0.04,67
13:46:56,892,24.8,0.06,-1.04,-0.06,2228.066,1.133,53.108,0.04,67
13:46:57,868,24.8,0.06,-1.04,-0.06,2130.596,1.047,51.153,0.04,69
13:46:58,827,24.8,0.06,-1.04,-0.06,2034.494,0.970,49.251,0.04,73
13:46:59,870,24.8,0.06,-1.04,-0.06,2008.494,0.946,48.625,0.04,69
13:47:00,949,24.8,0.06,-1.04,-0.09,1907.633,0.880,46.822,0.05,63
13:47:01,993,24.8,0.06,-1.04,-0.06,1807.308,0.824,45.182,0.04,60
13:47:02,966,24.8,0.06,-1.04,-0.06,1717.821,0.783,43.930,0.04,62
13:47:03,932,24.8,0.06,-1.04,-0.06,1627.969,0.754,43.000,0.04,64
13:47:04,987,24.9,0.06,-1.04,-0.06,1548.423,0.738,42.455,0.04,61
13:47:05,1006,24.9,0.06,-1.04,-0.06,1470.879,0.733,42.300,0.04,60
13:47:06,955,24.9,0.06,-1.04,-0.06,1398.186,0.740,42.544,0.04,63
13:47:07,845,24.9,0.06,-1.04,-0.06,1332.892,0.759,43.157,0.04,71
13:47:07,845,24.9,0.06,-1.04,-0.06,1274.809,0.788,44.087,0.04,71
13:47:08,845,24.9,0.06,-1.04,-0.06,1219.755,0.827,45.264,0.04,71
13:47:09,958,24.9,0.06,-1.04,-0.06,1171.107,0.872,46.583,0.04,63
13:47:11,969,24.9,0.06,-1.04,-0.06,1134.821,0.919,47.893,0.04,62
13:47:12,997,24.9,0.06,-1.04,-0.06,1102.515,0.973,49.328,0.04,60
13:47:13,1010,24.9,0.06,-1.04,-0.09,1075.372,1.032,50.785,0.05,59
13:47:13,976,24.9,0.06,-1.04,-0.06,1050.638,1.096,52.291,0.04,61
13:47:14,955,24.9,0.06,-1.04,-0.06,1031.886,1.158,53.664,0.04,63
13:47:15,927,24.9,0.06,-1.04,-0.06,1017.186,1.219,54.927,0.04,65
13:47:16,910,25.0,0.06,-1.04,-0.09,967.502,1.360,57.634,0.05,66
13:47:17,892,25.0,0.03,-1.04,-0.09,947.221,1.446,59.121,0.04,67
13:47:18,811,25.0,0.06,-1.04,-0.09,930.713,1.529,60.457,0.05,74
13:47:19,808,25.0,0.06,-1.04,-0.06,944.175,1.526,60.413,0.04,74
13:47:19,894,25.0,0.06,-1.04,-0.06,932.291,1.598,61.511,0.04,67
13:47:20,983,25.1,0.06,-1.04,-0.09,923.836,1.669,62.528,0.05,61
13:47:22,987,25.1,0.06,-1.04,-0.06,918.751,1.737,63.459,0.04,61
13:47:22,928,25.1,0.06,-1.04,-0.09,916.151,1.799,64.267,0.05,65
13:47:23,897,25.1,0.06,-1.07,-0.09,916.752,1.849,64.896,0.08,67
13:47:24,904,25.1,0.06,-1.04,-0.09,919.583,1.891,65.410,0.05,66
13:47:25,864,25.1,0.06,-1.04,-0.09,923.973,1.930,65.866,0.05,69
13:47:26,882,25.1,0.06,-1.04,-0.09,927.974,1.967,66.298,0.05,68
13:47:27,827,25.1,0.06,-1.04,-0.06,945.440,1.954,66.145,0.04,73
13:47:27,822,25.1,0.06,-1.04,-0.06,949.074,1.989,66.541,0.04,73
13:47:28,858,25.1,0.06,-1.04,-0.06,954.944,2.017,66.852,0.04,70
13:47:29,924,25.1,0.06,-1.04,-0.09,962.486,2.041,67.111,0.05,65
13:47:30,941,25.1,0.06,-1.04,-0.09,971.460,2.063,67.355,0.05,64
13:47:31,864,25.1,0.06,-1.04,-0.06,980.509,2.085,67.589,0.04,69
13:47:32,818,25.2,0.06,-1.04,-0.06,988.939,2.105,67.798,0.04,73
13:47:33,827,25.2,0.06,-1.04,-0.06,995.688,2.123,67.976,0.04,73
13:47:33,812,25.2,0.06,-1.04,-0.09,1002.806,2.140,68.157,0.05,74
13:47:34,814,25.2,0.06,-1.04,-0.06,1004.392,2.146,68.210,0.04,74
13:47:35,840,25.2,0.06,-1.04,-0.09,1006.843,2.166,68.417,0.05,71
13:47:36,864,25.2,0.06,-1.04,-0.06,1010.211,2.186,68.611,0.04,69
13:47:37,885,25.2,0.03,-1.04,-0.09,1013.105,2.203,68.781,0.04,68
13:47:38,812,25.2,0.06,-1.04,-0.06,1012.029,2.217,68.916,0.04,74
13:47:38,767,25.2,0.06,-1.04,-0.06,1010.099,2.230,69.041,0.04,78
13:47:39,758,25.2,0.06,-1.04,-0.06,1005.756,2.236,69.093,0.04,79
13:47:40,730,25.2,0.06,-1.04,-0.06,1001.967,2.246,69.189,0.04,82
13:47:40,696,25.2,0.06,-1.04,-0.06,999.312,2.252,69.247,0.04,86
13:47:41,746,25.2,0.06,-1.04,-0.06,992.436,2.254,69.266,0.04,80
13:47:42,866,25.2,0.06,-1.04,-0.06,988.058,2.253,69.263,0.04,69
13:47:43,980,25.2,0.06,-1.04,-0.06,982.878,2.249,69.223,0.04,61
13:47:45,1022,25.3,0.06,-1.04,-0.09,973.848,2.240,69.135,0.05,59
13:47:46,995,25.3,0.06,-1.04,-0.06,964.865,2.227,69.013,0.04,60
13:47:47,925,25.3,0.06,-1.04,-0.06,956.810,2.214,68.888,0.04,65
13:47:47,913,25.3,0.06,-1.04,-0.06,948.436,2.201,68.762,0.04,66
13:47:48,928,25.3,0.06,-1.04,-0.09,940.727,2.190,68.648,0.05,65
13:47:49,882,25.3,0.06,-1.04,-0.09,931.713,2.179,68.547,0.05,68
13:47:50,889,25.3,0.06,-1.04,-0.09,922.697,2.176,68.511,0.05,67
13:47:51,906,25.3,0.06,-1.04,-0.09,915.406,2.181,68.561,0.05,66
13:47:52,928,25.4,0.06,-1.04,-0.09,908.299,2.195,68.703,0.05,65
13:47:53,922,25.4,0.06,-1.04,-0.09,903.765,2.222,68.967,0.05,65
13:47:54,901,25.4,0.06,-1.04,-0.09,901.456,2.261,69.339,0.05,67
13:47:54,879,25.4,0.06,-1.04,-0.06,901.039,2.311,69.801,0.04,68
13:47:56,975,25.4,0.06,-1.04,-0.09,900.847,2.382,70.430,0.05,62
13:47:56,930,25.4,0.06,-1.04,-0.09,907.236,2.462,71.116,0.05,65
13:47:57,912,25.4,0.06,-1.04,-0.06,916.706,2.552,71.844,0.04,66
13:47:58,946,25.4,0.06,-1.04,-0.06,877.402,2.836,73.932,0.04,63
13:47:59,962,25.4,0.06,-1.04,-0.09,883.110,2.997,74.981,0.05,62
13:48:00,974,25.4,0.06,-1.04,-0.09,885.299,3.186,76.113,0.05,62
13:48:01,926,25.4,0.06,-1.04,-0.09,902.337,3.346,76.992,0.05,65
13:48:02,917,25.4,0.06,-1.04,-0.06,914.626,3.512,77.838,0.04,65
13:48:03,948,25.4,0.06,-1.04,-0.09,920.403,3.702,78.731,0.05,63
13:48:04,934,25.5,0.06,-1.04,-0.09,926.869,3.885,79.529,0.05,64
13:48:05,829,25.5,0.06,-1.04,-0.09,940.801,4.017,80.070,0.05,72
13:48:05,754,25.5,0.03,-1.04,-0.09,952.896,4.117,80.458,0.04,80
13:48:06,716,25.5,0.06,-1.04,-0.06,1025.336,3.846,79.366,0.04,84
13:48:07,769,25.5,0.06,-1.04,-0.06,1027.355,3.936,79.742,0.04,78
13:48:08,930,25.5,0.06,-1.04,-0.09,1029.762,4.012,80.049,0.05,65
13:48:09,951,25.5,0.06,-1.04,-0.09,1042.153,4.034,80.134,0.05,63
13:48:10,916,25.5,0.06,-1.04,-0.09,1053.294,4.031,80.122,0.05,66
13:48:11,866,25.5,0.06,-1.04,-0.06,1053.488,4.047,80.186,0.04,69
13:48:12,885,25.5,0.06,-1.04,-0.06,1050.958,4.039,80.153,0.04,68
13:48:13,977,25.6,0.06,-1.04,-0.06,1047.718,4.010,80.039,0.04,61
13:48:14,1012,25.6,0.06,-1.04,-0.06,1052.372,3.914,79.651,0.04,59
13:48:15,958,25.6,0.06,-1.07,-0.09,1062.964,3.758,78.983,0.08,63
13:48:15,923,25.6,0.06,-1.04,-0.06,1065.745,3.628,78.390,0.04,65
13:48:16,952,25.6,0.06,-1.04,-0.06,1073.773,3.446,77.508,0.04,63
13:48:17,948,25.6,0.06,-1.04,-0.09,1084.079,3.266,76.560,0.05,63
13:48:18,868,25.6,0.06,-1.04,-0.06,1095.848,3.080,75.492,0.04,69
13:48:19,835,25.6,0.06,-1.04,-0.09,1104.848,2.902,74.370,0.05,72
13:48:20,902,25.6,0.06,-1.04,-0.06,1115.602,2.721,73.124,0.04,67
13:48:21,970,25.6,0.06,-1.04,-0.06,1135.781,2.529,71.660,0.04,62
13:48:22,989,25.6,0.06,-1.04,-0.06,1167.912,2.328,69.951,0.04,61
13:48:23,945,25.6,0.09,-1.04,-0.06,1209.967,2.128,68.034,0.05,63
13:48:24,939,25.7,0.06,-1.04,-0.09,1257.998,1.948,66.077,0.05,64
13:48:25,950,25.7,0.09,-1.04,-0.13,1309.063,1.805,64.351,0.05,63
13:48:25,834,25.7,0.03,-1.04,-0.16,1368.537,1.669,62.527,0.05,72
13:48:26,870,25.7,0.03,-1.04,-0.16,1426.376,1.568,61.064,0.05,69
13:48:27,921,25.7,0.03,-1.04,-0.16,1489.765,1.477,59.634,0.05,65
13:48:28,974,25.7,0.03,-1.04,-0.16,1558.558,1.403,58.393,0.05,62
13:48:29,951,25.7,0.03,-1.04,-0.16,1635.041,1.334,57.153,0.05,63
13:48:30,842,25.7,0.06,-1.04,-0.09,1712.608,1.282,56.171,0.05,71
13:48:31,868,25.7,0.06,-1.04,-0.09,1782.422,1.244,55.446,0.05,69
13:48:32,990,25.8,0.06,-1.04,-0.13,1849.077,1.216,54.878,0.05,61
13:48:33,1007,25.8,0.06,-1.04,-0.13,1915.413,1.186,54.264,0.05,60
13:48:34,1000,25.8,0.03,-1.04,-0.13,2015.316,1.178,54.085,0.05,60
13:48:35,920,25.8,0.03,-1.04,-0.13,2069.178,1.159,53.672,0.05,65
13:48:36,899,25.8,0.06,-1.04,-0.13,2115.266,1.142,53.305,0.05,67
13:48:37,933,25.8,0.03,-1.04,-0.13,2155.176,1.127,52.990,0.05,64
13:48:38,979,25.8,0.06,-1.04,-0.13,2187.001,1.111,52.621,0.05,61
13:48:39,996,25.8,0.06,-1.04,-0.13,2211.796,1.090,52.147,0.05,60
13:48:40,921,25.8,0.06,-1.04,-0.09,2228.534,1.084,52.021,0.05,65
13:48:41,931,25.8,0.06,-1.04,-0.09,2235.422,1.055,51.342,0.05,64
13:48:42,948,25.8,0.06,-1.04,-0.13,2234.805,1.021,50.524,0.05,63
13:48:43,971,25.8,0.06,-1.04,-0.09,2200.180,1.013,50.313,0.05,62
13:48:44,974,25.8,0.06,-1.04,-0.13,2175.836,0.978,49.436,0.05,62
13:48:44,937,25.8,0.06,-1.04,-0.09,2148.741,0.940,48.453,0.05,64
13:48:45,949,25.8,0.06,-1.04,-0.13,2157.912,0.884,46.932,0.05,63
13:48:46,943,25.8,0.06,-1.04,-0.13,2131.552,0.845,45.799,0.05,64
13:48:47,914,25.8,0.06,-1.04,-0.09,2101.782,0.798,44.383,0.05,66
13:48:48,841,25.9,0.06,-1.04,-0.09,2075.838,0.762,43.236,0.05,71
13:48:49,793,25.9,0.06,-1.04,-0.09,2047.781,0.721,41.894,0.05,76
13:48:49,822,25.9,0.06,-1.04,-0.09,2021.425,0.685,40.666,0.05,73
13:48:50,885,25.9,0.06,-1.04,-0.09,1996.359,0.647,39.283,0.05,68
13:48:51,934,25.9,0.06,-1.04,-0.09,1970.583,0.601,37.523,0.05,64
13:48:52,780,25.9,0.06,-1.04,-0.09,1948.393,0.555,35.705,0.05,77
13:48:53,769,25.9,0.06,-1.04,-0.09,1927.956,0.518,34.108,0.05,78
13:48:53,806,25.9,0.06,-1.04,-0.09,1910.428,0.482,32.526,0.05,74
13:48:54,834,25.9,0.06,-1.04,-0.09,1895.505,0.446,30.863,0.05,72
13:48:55,874,25.9,0.06,-1.04,-0.09,1880.717,0.412,29.171,0.05,69
13:48:56,890,25.9,0.06,-1.04,-0.09,1863.253,0.378,27.443,0.05,67
13:48:57,900,25.9,0.06,-1.04,-0.09,1849.776,0.350,25.950,0.05,67
13:48:58,933,25.9,0.06,-1.04,-0.09,1826.827,0.327,24.615,0.05,64
13:48:59,916,25.9,0.06,-1.04,-0.09,1804.669,0.304,23.325,0.05,66
13:49:00,881,25.9,0.06,-1.04,-0.09,1786.161,0.288,22.380,0.05,68
13:49:01,857,25.9,0.06,-1.04,-0.09,1762.192,0.276,21.660,0.05,70
13:49:02,916,25.9,0.06,-1.04,-0.09,1742.781,0.270,21.287,0.05,66
13:49:03,934,25.9,0.06,-1.04,-0.09,1715.743,0.270,21.254,0.05,64
13:49:04,957,26.0,0.06,-1.04,-0.09,1688.531,0.276,21.607,0.05,63
13:49:05,937,26.0,0.06,-1.04,-0.09,1661.266,0.285,22.188,0.05,64
13:49:06,932,26.0,0.06,-1.04,-0.09,1632.284,0.297,22.906,0.05,64
13:49:07,955,26.0,0.06,-1.04,-0.09,1601.832,0.317,24.094,0.05,63
13:49:08,937,26.0,0.06,-1.04,-0.09,1567.989,0.344,25.607,0.05,64
13:49:08,916,26.0,0.06,-1.04,-0.16,1542.790,0.376,27.302,0.05,66
13:49:09,836,26.0,0.06,-1.04,-0.16,1515.790,0.411,29.113,0.05,72
13:49:10,823,26.0,0.06,-1.04,-0.16,1491.012,0.448,30.959,0.05,73
13:49:11,889,26.0,0.06,-1.04,-0.16,1469.704,0.491,32.910,0.05,67
13:49:12,951,26.0,0.06,-1.04,-0.16,1443.683,0.541,35.118,0.05,63
13:49:13,974,26.0,0.03,-1.04,-0.16,1422.007,0.593,37.218,0.05,62
13:49:14,917,26.0,0.06,-1.04,-0.13,1401.737,0.642,39.092,0.05,65
13:49:15,943,26.0,0.06,-1.04,-0.16,1382.276,0.691,40.872,0.05,64
13:49:16,967,26.1,0.06,-1.04,-0.16,1362.112,0.741,42.557,0.05,62
13:49:17,956,26.1,0.06,-1.04,-0.13,1342.048,0.789,44.107,0.05,63
