t,RRI
0,1015.0
1,962.8688516950973
2,1001.8869351793488
3,980.7449274420728
4,880.4749457981281
5,786.768015501745
6,843.4967440985536
7,986.4338928295507
8,1049.7319266182164
9,1008.8411390923497
10,1007.1557835600034
11,1016.1818315226551
12,980.6904857620691
13,982.4926693922366
14,1001.1272213233982
15,989.6879677074681
16,960.8405135898571
17,950.2230076085
18,990.3588172804184
19,881.8321321516943
20,863.6468621908522
21,751.9574841275731
22,783.3234342891218
23,801.1789238323445
24,802.2184085272787
25,866.305763673488
26,951.1395372210928
27,967.6230985592842
28,904.3795997088037
29,882.5637240214652
30,875.0359813210657
31,892.1048380661928
32,838.0529860804997
33,767.8898167127292
34,828.1437739069906
35,958.4156411803962
36,991.7856515887426
37,955.6557967669721
38,982.3400714803263
39,1020.8601758514975
40,928.3609014833846
41,955.339128731661
42,1048.5222603272787
43,1093.9901654022858
44,1067.5549488903298
45,1049.340891585702
46,1072.8242613156003
47,1083.816060190885
48,1062.0821195226902
49,1066.3043093363501
50,1121.6118032067177
51,1088.612862915797
52,1045.3985182138238
53,1062.6428672183995
54,1106.3267749536337
55,1087.0441964958216
56,1080.8421101954864
57,1103.789850103915
58,1104.029624371627
59,1021.9943054422573
60,1023.1979007871126
61,1102.9729775382416
62,1083.2647051668496
63,1055.5278461959374
64,1082.5008177564519
65,1084.7881213620512
66,1033.5812698300324
67,1078.1747333805095
68,1091.3348516713431
69,1085.8042738427014
70,1076.5543981368896
71,1098.9445948294897
72,1073.0598039728852
73,1064.5111439605848
74,1088.397767078225
75,1084.5529513388701
76,1096.051629381542
77,1084.2632718266148
78,1012.1549102289581
79,1036.6493373108792
80,1015.9830057968995
81,910.572048582178
82,981.2909216389934
83,1057.108290283354
84,1076.4734698381046
85,1000.1127980416776
86,870.5976921278974
87,902.6093865538329
88,995.3471607630418
89,956.1177883239976
90,773.2117323144053
91,753.404334983196
92,789.413010812981
93,906.8143744597106
94,889.3215534571584
95,885.8836591611785
96,889.5686802322296
97,839.9548127015472
98,852.5484019091124
99,844.2049382858329
100,852.6715189962977
101,816.7789690746778
102,744.7404789535209
103,838.8100857704661
104,883.5761558133754
105,943.6898597365426
106,1042.2364371984886
107,1036.299699765253
108,1048.4470400478963
109,1094.3182721452579
110,1085.1402216612362
111,1033.8003411527736
112,1049.2545548924297
113,992.2399884201468
114,1011.6216701976108
115,1025.0117035832832
116,1069.9506844111297
117,1030.1078231148213
118,1051.0840518511693
119,1062.0666909395895
120,1042.9196301264294
121,1090.2298842970558
122,1040.9368975576372
123,1002.1816954092308
124,1016.8863468602308
125,983.3406715066769
126,968.6057573194669
127,1012.0097371948003
128,966.7570614142385
129,991.118609517729
130,1003.5017403873286
131,992.3005105221744
132,1023.8182135229092
133,1009.2970864996568
134,1029.4874455374495
135,1007.7314150855854
136,1028.2027412078912
137,1041.5025050661116
138,1067.413806098744
139,1062.281884904288
140,1065.1167673561936
141,1077.5478044938063
142,1042.5948406149998
143,1041.9555063646658
144,1029.9324567648712
145,1028.6752563198459
146,1031.7072057103162
147,1002.7684228367393
148,1063.8401810932
149,1022.1148032432742
150,1064.3132141315334
151,1051.9653714925792
152,996.1568554373802
153,1050.4855175369764
154,1049.491311074014
155,1088.4609260469344
156,1105.193102877552
157,1094.5452043923945
158,1095.4725467783508
159,1068.7241861873879
160,1089.4155718964967
161,1095.3886196552196
162,1063.03369105075
163,1089.042599936176
164,1040.847046853183
165,1088.8735166989525
166,1056.378250099965
167,1069.9738915755233
168,1056.6772646136844
169,1098.2772551455416
170,1064.0118820496555
171,1094.4592782888824
172,1087.6511545841106
173,1060.9845025954933
174,1073.4456008916518
175,1046.5075428711054
176,1032.411079969474
177,1040.1210950622271
178,1006.5321723838633
179,1029.5415781324023
180,1055.3700157718672
181,1001.4482298484965
182,1022.092286078772
183,1106.0826903317436
184,1085.5461460398874
185,1050.4377370959037
186,1042.1380306211868
187,997.9794068587503
188,906.4647248803756
189,969.4402046314077
190,1015.6679995170803
