í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2020/12/16
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
15:08:39,832,19.8,0.06,-1.07,0.16,-,-,-,0.08,72
15:08:40,804,19.8,-0.03,-1.04,0.22,-,-,-,0.06,75
15:08:41,795,19.8,0.03,-1.04,0.25,-,-,-,0.07,75
15:08:42,825,19.8,0.03,-1.04,0.19,-,-,-,0.06,73
15:08:43,856,19.8,0.03,-1.04,0.19,-,-,-,0.06,70
15:08:43,851,19.9,0.03,-1.07,0.25,-,-,-,0.10,71
15:08:45,684,19.9,-0.06,-1.17,0.25,-,-,-,0.19,88
15:08:46,1643,19.9,-0.09,-1.07,-0.38,-,-,-,0.14,37
15:08:47,832,19.9,0.13,-1.04,-0.41,-,-,-,0.12,72
15:08:47,843,20.1,-0.09,-1.07,0.19,123078.866,0.457,31.374,0.09,71
15:08:48,823,20.1,-0.16,-1.07,-0.22,118785.176,0.456,31.306,0.10,73
15:08:49,830,20.1,-0.03,-1.07,-0.25,110893.467,0.480,32.431,0.10,72
15:08:50,833,20.1,-0.03,-1.07,-0.13,107858.869,0.471,32.024,0.08,72
15:08:51,808,20.1,-0.09,-1.07,-0.13,103082.251,0.470,31.974,0.08,74
15:08:51,712,20.2,-0.03,-1.04,0.16,96846.571,0.481,32.460,0.05,84
15:08:52,687,20.2,-0.03,-1.04,0.06,90160.128,0.496,33.149,0.04,87
15:08:53,729,20.2,-0.03,-1.07,0.16,85856.242,0.501,33.387,0.08,82
15:08:53,818,20.2,-0.03,-1.07,-0.09,80817.259,0.509,33.711,0.08,73
15:08:55,861,20.2,-0.03,-1.07,-0.06,69396.856,0.560,35.889,0.07,70
15:08:55,834,20.3,-0.03,-1.04,0.13,57828.054,0.604,37.659,0.05,72
15:08:56,831,20.3,-0.03,-1.04,0.09,51272.221,0.626,38.483,0.04,72
15:08:57,883,20.3,-0.03,-1.07,0.09,52078.875,0.604,37.663,0.08,68
15:08:58,921,20.3,-0.03,-1.04,-0.09,46590.338,0.625,38.444,0.04,65
15:08:59,910,20.3,-0.06,-1.07,0.13,40730.606,0.650,39.403,0.08,66
15:09:00,875,20.4,0.03,-1.04,0.13,36900.118,0.664,39.907,0.05,69
15:09:01,885,20.4,-0.03,-1.07,0.06,33468.413,0.677,40.385,0.07,68
15:09:02,896,20.4,-0.03,-1.07,-0.09,30591.115,0.689,40.805,0.08,67
15:09:03,926,20.4,-0.03,-1.04,-0.13,26732.710,0.714,41.654,0.05,65
15:09:04,917,20.6,-0.03,-1.04,0.13,24978.394,0.717,41.745,0.05,65
15:09:05,886,20.6,-0.09,-1.10,0.16,23642.704,0.718,41.784,0.12,68
15:09:05,892,20.6,-0.13,-1.07,-0.09,21216.936,0.718,41.781,0.08,67
15:09:06,900,20.6,-0.03,-1.04,-0.13,20861.806,0.707,41.419,0.05,67
15:09:07,912,20.6,-0.06,-1.07,-0.13,20763.325,0.695,41.008,0.08,66
15:09:08,863,20.7,-0.03,-1.04,0.09,20959.822,0.694,40.968,0.04,70
15:09:09,872,20.7,-0.03,-1.04,0.06,21083.285,0.684,40.611,0.04,69
15:09:10,894,20.7,-0.06,-1.07,-0.16,21350.335,0.674,40.275,0.08,67
15:09:11,892,20.7,-0.06,-1.10,-0.13,21721.653,0.667,40.004,0.11,67
15:09:11,823,20.8,-0.03,-1.04,-0.06,22121.664,0.662,39.814,0.04,73
15:09:12,849,20.8,-0.03,-1.04,-0.09,22232.309,0.660,39.744,0.04,71
15:09:13,882,20.8,-0.03,-1.04,-0.13,23360.840,0.655,39.579,0.05,68
15:09:14,863,20.8,-0.03,-1.04,-0.16,23510.713,0.659,39.712,0.05,70
15:09:15,818,20.8,-0.03,-1.04,-0.16,23508.474,0.663,39.885,0.05,73
15:09:15,736,20.9,-0.03,-1.10,-0.09,22896.242,0.668,40.065,0.11,82
15:09:16,745,20.9,-0.03,-1.04,0.06,22714.097,0.674,40.273,0.04,81
15:09:17,802,20.9,-0.03,-1.07,-0.03,22481.553,0.682,40.553,0.07,75
15:09:18,861,20.9,0.03,-1.04,-0.13,21797.101,0.687,40.716,0.05,70
15:09:19,893,20.9,0.03,-1.04,-0.13,21093.630,0.696,41.027,0.05,67
15:09:20,876,21.1,0.03,-1.04,-0.09,20026.029,0.703,41.264,0.04,68
15:09:21,866,21.1,0.03,-1.04,-0.06,19267.579,0.706,41.390,0.04,69
15:09:22,898,21.1,0.03,-1.04,-0.09,18053.588,0.714,41.662,0.04,67
15:09:23,930,21.1,0.03,-1.04,-0.13,16858.297,0.722,41.942,0.05,65
15:09:24,901,21.2,0.03,-1.04,0.06,15471.649,0.732,42.278,0.04,67
