t,RRI
0,678.0
1,771.1274680539703
2,897.7672957474932
3,943.9600329397367
4,963.1781174443383
5,973.5344880875875
6,973.3361350187997
7,957.4932134431473
8,932.5817773925093
9,891.4463152162191
10,783.7300262504607
11,820.2000268881483
12,866.3901097758235
13,910.991551500881
14,943.0569614115126
15,957.705733475656
16,962.2181604165166
17,963.4776280782609
18,965.672638063954
19,949.7037414017337
20,962.4308218121289
21,968.2732270142554
22,985.3822292023033
23,982.3355338102451
24,971.3090960122439
25,950.1882692246563
26,951.1278850918018
27,897.0467139471289
28,931.6457212648966
29,938.2777741462538
30,949.9873720348678
31,918.6524433559814
32,924.0851969622454
33,966.1521191693312
34,989.1757850780019
35,953.8125724387367
36,932.8909411250527
37,958.688120668247
38,969.3080881585665
39,943.2072898225605
40,972.2183489347145
41,969.4612728022917
42,964.036973728902
43,1007.8720083708364
44,991.6835511087955
45,946.6937342372187
46,957.7447000439778
47,960.5773073128762
48,960.7391524773744
49,949.1837170770739
50,950.3732643193201
51,931.2068396579102
52,963.8057724059001
53,930.2346330608826
54,941.0510960483731
55,965.0636212221068
56,917.6150954122782
57,904.3563892150331
58,911.6888805036039
59,927.1852425243845
60,893.7806607289472
61,893.3492250734009
62,810.3835619947782
63,748.2343388052723
64,729.6594270421214
65,772.6229718165425
66,852.0493326994313
67,898.1899899840505
68,902.2326559227729
69,848.7220035099814
70,759.8478121892783
71,784.7216522626089
72,831.6634245020817
73,884.0813725013286
74,907.5710133560145
75,861.1906107674899
76,874.4622989707016
77,918.5911216937656
78,901.5385523611615
79,837.1999776932001
80,855.4043378123263
81,845.5120304714419
82,797.2144813549997
83,785.3221549501973
84,799.6596899199913
85,740.9634364127049
86,803.6872991331709
87,755.0469377498089
88,757.7293741578163
89,853.3449476673085
90,898.8817840038281
91,865.7607103862052
92,937.8157522845257
93,943.6095567577755
94,871.9551635873888
95,875.1387259566367
96,863.8873523996695
97,761.9876905824923
98,705.3467992834915
99,713.7631077394716
100,728.3104991344247
101,792.4727662617283
102,868.3191585489202
103,876.6800715154116
104,868.0486116035252
105,875.5806899166743
106,860.7772502306998
107,764.1743685420452
108,679.9348810175766
109,676.5703630115211
110,753.6479336981272
111,828.654756221186
112,803.2450224563288
113,847.1240601410514
114,890.780974260148
115,933.1788484981605
116,928.7829078249671
117,909.9048426482686
118,872.8698206756866
119,901.7717019166274
120,854.0608468558048
121,846.2404021887489
122,911.9872527917626
123,916.0786104465788
124,896.5905838308787
125,937.3741141407019
126,952.3488339462589
127,960.2812571845309
128,916.9205467019922
129,895.3799113002922
130,930.9108037042926
131,900.5110489100622
132,896.5412848646882
133,903.9490944485925
134,880.4621276123336
135,836.8408456267499
136,897.9804427437098
137,909.7755080998985
138,869.4419482018695
139,921.2228107473745
140,944.0694370522007
141,879.1074691366248
142,896.2051067877753
143,910.0000047324359
144,881.100137402059
145,885.008592674424
146,897.1645932346679
147,879.1150841056256
148,880.5122724709594
149,908.7232424233521
150,882.0110279454871
151,911.9072922930426
152,892.8933595071546
153,933.6003909403731
154,916.3781147524436
155,915.626694781176
156,935.8365975107596
157,923.6352330224574
158,943.8108975907973
159,928.5047113579111
160,934.295583411713
161,961.2620801810542
162,901.2783358162886
163,914.8324444901627
164,930.930866786514
165,947.7323524709416
166,899.2335606988067
167,944.4007617613933
168,915.3366248687475
169,916.1478082719129
170,921.8261477761417
171,882.7689269762876
172,907.4989904347407
173,878.6310248731043
174,910.8071402399453
175,885.4359728862146
176,775.4479267398916
177,818.2307626122423
178,871.3611456478999
179,910.3961070468089
180,923.2091532172238
181,892.1471792244168
182,863.7384024642286
183,913.6126840885629
184,941.6956326152181
185,919.5967044613488
186,908.2107977722245
187,921.5183137503954
188,845.6933821578806
189,727.0301894035144
190,730.1382396795
191,844.6333465352808
192,929.920544659196
