,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
0,82.25,80.5,80.5,0.1170287975720591,0.0903563040072165,0.026672493564842595,1.75,1.75
1,129.25,128.5,128.5,0.11328880881077528,0.10182137725144368,0.011467431559331609,0.75,0.0
2,131.0,129.75,129.75,0.12631743643953858,0.11075567396430934,0.015561762475229238,1.25,1.25
3,148.5,146.25,146.25,0.12394500376605222,0.11250003068649982,0.011444973079552404,2.25,0.0
4,151.0,150.5,150.5,0.13085644924056913,0.12068074502783221,0.010175704212736919,0.5,0.5
5,156.75,155.25,155.25,0.13551438390060813,0.12277487655997248,0.012739507340635656,1.5,8.0
6,186.25,183.0,183.0,0.1854993774451056,0.1334578574142511,0.05204152003085452,3.25,0.0
7,190.5,188.0,188.0,0.24082513339122488,0.17279932425095687,0.06802580914026801,2.5,0.0
8,194.25,191.0,191.0,0.36190778396811035,0.2376585316000187,0.12424925236809164,3.25,0.0
9,250.5,239.75,239.75,1.0813928569636755,0.3334926336193419,0.7479002233443336,10.75,0.0
10,251.75,250.75,250.75,1.210110411700199,1.0660581078003402,0.1440523038998589,1.0,0.0
11,253.5,252.0,252.0,1.3058329679166472,1.2055117342021462,0.10032123371450097,1.5,0.0
12,255.25,253.75,253.75,1.3735523350033325,1.3003895890811126,0.07316274592221994,1.5,1.5
13,259.5,257.0,257.0,1.5849611522473126,1.3186628023746267,0.26629834987268586,2.5,2.5
14,265.0,262.75,262.75,1.6649640164800823,1.415694597416219,0.24926941906386335,2.25,2.0
