í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2020/12/18
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
13:33:48,739,18.5,-0.09,-1.01,0.22,905.006,1.188,54.297,0.04,81
13:33:49,713,18.5,-0.09,-1.04,0.25,861.767,1.306,56.641,0.07,84
13:33:50,845,18.5,-0.09,-1.04,0.19,828.563,1.414,58.578,0.06,71
13:33:51,840,18.7,-0.09,-1.04,0.13,775.889,1.569,61.070,0.05,71
13:33:52,752,18.7,-0.09,-1.04,0.25,753.535,1.708,63.067,0.07,80
13:33:52,735,18.7,-0.09,-1.01,0.25,714.468,1.850,64.912,0.04,82
13:33:53,855,18.7,-0.09,-1.04,0.13,707.632,1.950,66.097,0.05,70
13:33:54,851,18.7,-0.09,-1.04,0.22,692.192,2.109,67.836,0.07,71
13:33:55,764,18.7,-0.09,-1.04,0.25,679.303,2.268,69.400,0.07,79
13:33:56,821,18.8,-0.06,-1.04,-0.06,636.171,2.518,71.572,0.04,73
13:33:56,788,18.8,-0.06,-1.07,0.19,622.061,2.682,72.840,0.09,76
13:33:57,716,18.8,-0.09,-1.04,0.22,610.170,2.830,73.889,0.07,84
13:33:58,789,18.8,-0.09,-1.07,0.16,598.925,2.956,74.720,0.09,76
13:33:59,862,18.8,-0.06,-1.04,0.19,590.231,3.072,75.440,0.06,70
13:34:00,769,18.9,-0.09,-1.04,0.25,586.661,3.160,75.960,0.07,78
13:34:01,917,18.9,-0.09,-1.04,0.19,565.586,3.331,76.909,0.06,65
13:34:02,867,18.9,-0.09,-1.04,0.19,569.491,3.343,76.975,0.06,69
13:34:02,854,18.9,-0.06,-1.04,0.06,578.027,3.301,76.751,0.04,70
13:34:03,749,19.1,-0.09,-1.04,0.25,576.346,3.282,76.644,0.07,80
13:34:03,709,19.1,-0.09,-1.04,0.25,591.151,3.159,75.953,0.07,85
13:34:04,780,19.1,-0.06,-1.04,0.06,606.182,3.037,75.228,0.04,77
13:34:05,787,19.1,-0.09,-1.04,0.22,628.381,2.872,74.174,0.07,76
13:34:06,722,19.1,-0.09,-1.04,0.22,654.712,2.691,72.904,0.07,83
13:34:07,821,19.1,-0.09,-1.04,0.13,681.355,2.519,71.587,0.05,73
13:34:08,853,19.2,-0.09,-1.07,-0.06,713.047,2.280,69.509,0.08,70
13:34:08,799,19.2,-0.06,-1.04,0.13,755.744,2.061,67.332,0.05,75
13:34:09,769,19.2,-0.06,-1.04,0.13,796.358,1.875,65.212,0.05,78
13:34:12,802,19.3,-0.06,-1.07,0.22,838.628,1.706,63.047,0.10,75
13:34:13,713,19.3,-0.06,-1.04,0.22,886.875,1.538,60.600,0.06,84
13:34:14,749,19.3,-0.09,-1.07,-0.76,930.555,1.399,58.318,0.31,80
13:34:15,734,19.3,-0.19,-1.07,-0.54,965.054,1.339,57.247,0.21,82
13:34:15,702,19.4,-0.09,-1.04,0.22,1010.959,1.214,54.832,0.07,85
13:34:16,821,19.4,-0.03,-1.04,0.13,1055.130,1.110,52.609,0.05,73
13:34:17,843,19.4,-0.06,-1.07,0.25,1103.414,1.008,50.211,0.10,71
13:34:18,753,19.4,-0.06,-1.04,0.25,1150.722,0.922,47.960,0.07,80
13:34:19,851,19.4,-0.06,-1.07,0.13,1192.303,0.853,46.039,0.08,71
13:34:19,827,19.6,-0.06,-1.07,0.19,1253.364,0.751,42.877,0.09,73
13:34:20,730,19.6,-0.09,-1.04,0.22,1291.023,0.710,41.535,0.07,82
13:34:21,775,19.6,-0.06,-1.04,0.13,1321.181,0.682,40.542,0.05,77
13:34:22,782,19.6,-0.06,-1.07,0.09,1331.882,0.685,40.639,0.08,77
13:34:22,722,19.6,-0.06,-1.04,0.19,1356.556,0.666,39.975,0.06,83
13:34:23,710,19.7,-0.09,-1.04,0.19,1376.823,0.654,39.544,0.06,85
13:34:24,742,19.7,-0.09,-1.04,0.09,1390.135,0.651,39.420,0.05,81
13:34:24,751,19.7,-0.16,-1.04,0.13,1397.622,0.654,39.554,0.06,80
