t,RRI
0,713.0
1,854.338127425678
2,805.2347451910765
3,725.9950350380839
4,851.9373710919401
5,835.632353901128
6,779.8073273369486
7,812.4538461327427
8,715.5678982373547
9,826.6541741792216
10,807.300657494481
11,868.3792860298752
12,880.6510283353946
13,855.7075304767566
14,723.2557002868937
15,753.1796609485707
16,790.980209798618
17,735.6000973892725
18,853.5748273269511
19,818.7349358649723
20,768.5193204483811
21,782.8896465770802
22,728.1650582165205
23,734.9053617485081
24,732.1476361175684
25,859.4530577714888
26,759.0063503007804
27,852.7479929216055
28,797.7465286326225
29,747.094707450659
30,786.9015093088807
31,712.6764340681906
32,727.9410428832917
33,752.4067258459737
34,691.8971095059226
35,711.6142739827636
36,718.5497041602156
37,710.1930305350854
38,827.8342916802073
39,769.7148699190493
40,823.7361518470113
41,785.4597215875685
42,746.6279698880251
43,772.1627374241154
44,714.8613689392824
45,799.153024650044
46,791.683393610466
47,826.0829427435037
48,878.7901645254638
49,772.0245545057758
50,828.6678167986261
51,813.4052999516593
52,716.0591141310632
53,773.087121475966
54,739.4825141681981
55,700.4123369793209
56,782.8143779979916
57,776.54600738521
58,799.8544105503562
59,838.4452253883499
60,771.1588579688037
61,901.3554633032418
62,821.1075975057284
63,816.7103410697939
64,863.4778067090065
65,845.840745605406
66,806.4174768863567
67,907.5733151760274
68,867.9532312677453
69,793.2277876361146
70,815.7781167189496
71,828.9778983550839
72,813.583621244128
73,906.2552871111666
74,814.0428779313594
75,824.7681806138012
76,760.7902324520003
77,799.1033477061532
78,776.8615653789084
79,723.2236458248118
80,782.480166183417
81,714.4999366360984
82,790.8219351909828
83,745.1372785112379
84,776.3310416660619
85,837.1429257939841
86,787.8471477233071
87,925.1570965099118
88,909.9663748123861
89,801.9141180862691
90,804.8789908392957
91,811.0137065453367
92,816.0392515130678
93,791.2831906904247
96,840.700578956541
97,876.6879998455051
98,911.8317222771408
99,870.5013128031441
100,842.4989136638117
101,747.6293560394306
102,769.5557847984028
103,811.8791144695782
104,752.7736898220985
105,851.2539815817062
106,754.7112691527167
107,794.5544144643676
108,749.4952703328776
109,710.6298603598167
110,791.2141740555065
111,784.7006649528456
112,766.6371517369934
113,705.8571226867758
114,720.8824130917658
115,695.672954930638
116,775.8579725955891
117,761.4647855384626
118,703.9583955997582
119,750.4729413331403
120,704.67543294156
121,698.0201471739205
122,755.6492783203164
123,707.8264417774317
124,750.1016128726941
125,803.6008586438854
126,738.3939652759312
127,811.3025426012175
128,760.987358727461
