t,RRI
0,677.0
1,662.3642061870516
2,632.9813345611764
3,633.2604372746819
4,668.6831657366544
5,683.5049057024273
6,671.7306866680605
7,683.4358107568694
8,669.8390337884492
9,677.7047162052256
10,630.628025866952
11,625.5160202941468
12,598.2747676817154
13,606.0011689157469
14,608.5420544621045
15,623.8344506408822
16,621.3452951623481
17,628.1380790318191
18,619.5593692388725
19,618.3617324832103
20,625.3183081646265
21,621.2968020668926
22,634.5111111354374
23,638.2002333477682
24,634.2312803100724
25,672.696248052867
26,681.973051286488
27,704.6007250804823
28,686.3928812928419
29,691.6051036373045
30,672.7639755583372
31,679.4489662401038
32,682.8037309585762
33,691.7782743039857
34,699.3408212655567
35,685.4421305978262
36,674.517719739449
37,675.312925906494
38,669.7194217738468
39,644.174886804102
40,643.5844806602677
41,640.5199511021591
42,663.733126386777
43,665.691514974107
44,661.8850381533041
45,696.0271960473124
46,685.708615130498
47,733.3245507623246
48,691.4010405803233
49,669.0499282489609
50,642.5191062454552
51,623.1821479541949
52,618.3801673782652
53,658.3045968480717
54,693.6771315048782
55,758.631947955253
56,734.9270680821322
57,758.1070395654372
58,718.9942922256228
59,715.4053229713617
60,684.1143773065966
61,626.5808164949981
62,656.5091900599284
63,744.5669884849083
64,742.610110235746
65,756.1983599407964
67,755.2089409644707
68,692.2098961336944
69,706.3600437060239
70,711.2934732868865
71,726.0829967579203
72,760.0336021542574
73,731.9852152830969
74,752.5975320240586
75,712.4682864837222
76,688.4256060696072
77,685.88205177359
78,684.2549541266037
79,708.1156508695964
80,701.7112944601971
81,737.9335901035874
82,694.4063115124851
83,692.5902410981842
84,701.4534891951726
85,657.4757917427538
86,679.3887244868155
87,630.5810490419037
88,610.3331806228479
89,607.6185798878084
90,653.3144249609901
91,648.4916817803645
92,710.2105208632545
93,692.0014556936122
94,698.9025357700226
95,663.5072574791046
96,675.3614861422802
97,652.3391715250704
98,671.4185303724449
99,679.9652287622318
100,670.7029082158413
101,690.108199987453
102,667.4411852067085
103,701.2754599123786
104,675.8042652005088
105,726.7675407841164
106,694.6631094520419
107,724.1407918275448
108,703.3447137642378
109,714.74067875208
110,731.0893988338551
111,719.7275130620483
112,759.2216968130093
113,710.198442150505
114,729.6231189559763
115,692.6907058250811
116,707.1545137184477
117,707.873172532226
118,690.9887797014203
119,701.191097720927
120,672.0776879984659
121,709.7913996680793
122,692.1678325425156
123,713.142650808592
124,671.8599013193
125,687.4732057452886
126,693.5852834224702
127,703.4024083116472
128,725.6009071838249
129,712.0483220129029
130,720.8142496313847
131,681.2711700057639
132,677.3973256555291
133,676.3653010700554
134,678.1826636929057
135,709.1012683080987
136,689.5473930678859
137,688.9766960488413
138,680.726476873367
139,688.9431460395493
140,693.1400374865883
141,689.5274953999099
142,679.3492964922303
143,650.8943636167307
144,649.3940791743875
145,625.9122252714807
146,646.2574937920052
147,638.8539152377111
148,718.4300863329263
149,713.7638313290629
150,719.1399792837617
151,712.2285298431652
152,680.040342035068
153,679.3088255844003
154,668.8726308530297
155,687.5996868199701
156,661.5851857573517
157,701.2593783396327
158,696.8198959418812
159,698.6717708668052
160,690.6962581520157
161,695.8985958981256
162,699.8958104874985
163,670.7268168083671
164,671.6179102404444
165,663.0033624564251
166,693.6546571270779
167,692.2900416072926
168,702.800092973024
169,723.1634036620435
170,719.6596798451328
171,730.6058199097113
172,687.3880370996229
173,701.28267126546
174,680.3426471694702
175,704.1815998238321
176,726.1397205722161
177,723.4158601877167
178,742.0198992596039
179,713.313146192389
180,714.8233335522723
181,684.6630416912521
182,685.0754239821567
183,674.5880637380202
184,669.3870560171914
185,689.3237499675339
186,667.9956617947993
187,705.6008023837201
188,696.8973885978484
189,687.0818241642812
190,670.0326710588309
191,659.4499762808751
192,646.0393382489617
193,635.0469866631954
194,655.3562575211213
195,646.049072023326
196,665.472994685949
197,656.3651041522007
198,659.6520172972986
199,663.671730342511
200,643.7945693669695
201,641.7785934118444
202,634.5805200979312
203,654.2001489998386
204,636.0976108499401
205,647.250507562885
206,641.5373729133389
207,647.7337257614561
208,653.3484029847943
209,675.1116633086872
210,693.4884353559447
211,711.5219471345029
212,705.1189626126916
213,680.3047191012552
214,663.2008359380272
215,643.0462857130024
216,649.5614107860978
217,643.2526902955492
218,667.1512316046745
219,678.856515614003
220,704.451475623245
221,700.4254968702515
222,692.034402561236
223,695.8836229901922
224,675.9120672267098
225,681.0365161082151
226,686.7464099415665
227,708.745611968647
228,721.7217854577112
229,700.6256058159423
230,711.3576730350567
231,700.9140605096293
232,708.1040609350289
233,673.523506809608
234,674.9554705859902
235,694.5815088916396
236,687.7970960844614
237,690.0116047317878
238,673.9832953746806
239,676.8384519129027
240,689.6373290575218
241,668.5476357004011
242,667.645962266458
243,653.6706061008392
244,664.3940448548188
245,674.754427954836
246,664.1493535963862
247,661.9686816835255
248,649.6771884911409
249,667.7860159304007
250,665.9129080133566
251,672.3467111322011
252,673.3840451732407
253,661.4124636569193
254,657.5956376377186
255,646.0609075573589
256,669.86383605808
257,664.9845624896615
258,677.5190969228059
259,675.5180848775684
260,671.3803575577
261,663.8872470937167
262,648.0452665508966
263,655.8317231202818
264,641.8201173979586
265,650.6820596616985
266,642.8543542709438
267,653.4235136984237
268,647.7267121385062
269,656.3477587146938
270,653.5694909271457
271,649.9568798411693
272,655.455800820727
273,642.7456547595061
274,643.170238341074
275,637.8105398134869
276,675.9500589582198
277,692.4328932712871
278,701.1044354517129
279,666.845976911628
280,665.0981482721932
281,630.2807788848631
282,626.8820862089973
283,627.3186848755003
284,631.6542585140314
285,664.797332078309
286,673.6451465004416
287,718.3397432572162
288,706.2853512320961
289,688.5240065684827
290,692.4207199386129
291,677.3758269780253
292,674.8917243345229
293,691.3854780345056
294,716.1971527306805
295,703.7466557754838
296,699.3479925186026
297,695.8524466007154
