,A,B,pNN50,RMSSD,CVRR,SDNN,HR,LPS,CSI,SCL,EDA
62,a1,b1,0.26666666666666666,49.8975248831011,0.09690459420372637,70.30920505445785,76.47371626628566,6912.031606066632,3.9780037145139335,0.1405049447171999,0.14223392570876695
77,a1,b1,0.4,54.77165110526966,0.07924107463602073,47.090093917680505,84.19143305383336,3573.2141829502907,2.333053932711448,0.14205781429403785,0.14535363994563275
92,a1,b1,0.3,42.38785934062839,0.05442196136272648,27.479042762402788,77.95709617588507,1111.860955951033,1.6780297431277498,0.14368450044913034,0.1446419312746304
107,a1,b1,0.3,42.651564961479345,0.04875385623842049,26.168971009652534,76.40782375718392,899.1835354531643,1.4306854983146151,0.1450579928500111,0.14631390395787236
122,a1,b1,0.3,44.0145054066749,0.062217090947726414,27.406530889358226,84.75926325355566,1147.8483644755474,1.4874173794800232,0.14685283052377088,0.14722525116738586
137,a1,b1,0.06666666666666668,34.88746995894686,0.0496753013665051,29.936008722375302,78.35780717652194,1318.8499884552555,2.7874101064099417,0.14834207867459082,0.148692450331941
152,a1,b1,0.2,38.308158413242545,0.06037426548385439,34.11471759889087,82.81664447483163,1836.8907329726794,2.6917276264829533,0.14894307621231767,0.14791970978842686
167,a1,b1,0.43333333333333335,47.20172047154925,0.06293742767036505,32.820681566341506,80.42785638117856,1822.4917262143606,1.9116432860241055,0.14932172990379985,0.15201899882854425
182,a1,b1,0.2,34.56772231675849,0.033402167856366245,22.660639062623183,84.07754797007404,1117.250719082284,1.2950632841704242,0.1504290065606419,0.15349632624678095
8,a1,b2,0.4666666666666667,62.31407764955878,0.07536851729412285,53.84781356693611,73.33526493857048,5322.79522553629,2.347687455806934,0.4593575315274812,0.4122793184781629
23,a1,b2,0.5666666666666667,75.37980277605273,0.07770731304013079,58.837137244545296,80.60429857502305,5625.0127306357435,2.351658437547423,0.4127733409456495,0.3693415367129554
38,a1,b2,0.6666666666666666,67.58014011796624,0.059241462795545624,40.12137085416784,79.77988373951864,1871.260848938068,1.510978000362478,0.37382886943659294,0.34061803331895696
53,a1,b2,0.5333333333333333,52.64684099670621,0.05482049181074,37.66396076126339,75.53467174230445,2021.9747671703208,2.3617351228012584,0.3414772699152513,0.31173851695723337
68,a1,b2,0.26666666666666666,43.795327135176706,0.047822887391733536,36.17050000381528,82.11471842171001,2359.496840750337,2.2732414949734903,0.3149941249723761,0.29515225166919884
