í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2020/12/18
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
15:29:42,838,27.8,0.09,-1.04,-0.35,4349.040,0.278,21.751,0.10,72
15:29:42,835,27.8,0.06,-1.04,-0.35,4476.839,0.255,20.319,0.10,72
15:29:43,828,27.8,-0.13,-1.01,-0.50,4574.872,0.236,19.105,0.13,72
15:29:44,805,27.8,-0.09,-0.98,-0.50,4431.581,0.229,18.605,0.10,75
15:29:45,810,27.8,-0.09,-0.94,-0.50,4499.182,0.213,17.572,0.08,74
15:29:46,873,27.8,-0.09,-0.94,-0.50,4530.916,0.200,16.660,0.08,69
15:29:47,963,27.8,-0.06,-0.98,-0.50,4485.481,0.191,16.032,0.10,62
15:29:48,1019,27.8,0.16,-1.07,-0.50,4401.667,0.185,15.623,0.19,59
15:29:49,1059,27.8,0.06,-0.94,-0.50,4278.804,0.184,15.511,0.07,57
15:29:50,953,27.8,0.03,-0.94,-0.54,4102.957,0.187,15.789,0.09,63
15:29:51,990,27.8,-0.03,-0.94,-0.54,3916.725,0.195,16.321,0.09,61
15:29:52,1028,27.8,-0.06,-0.94,-0.57,3682.064,0.210,17.343,0.10,58
15:29:53,948,27.8,-0.03,-1.01,-0.54,3400.388,0.237,19.149,0.14,63
15:29:54,938,27.8,-0.13,-1.04,-0.41,3120.684,0.270,21.257,0.12,64
15:29:55,945,27.8,-0.13,-1.07,-0.22,2856.374,0.312,23.809,0.10,63
15:29:56,899,27.8,-0.09,-1.07,-0.13,2593.768,0.369,26.971,0.08,67
15:29:56,842,27.8,-0.13,-1.04,-0.09,2359.126,0.436,30.385,0.05,71
15:29:57,828,27.8,-0.16,-1.04,-0.09,2129.756,0.524,34.400,0.06,72
15:29:58,778,27.8,-0.09,-1.04,-0.16,2052.996,0.584,36.857,0.06,77
15:29:59,765,27.8,-0.13,-1.07,-0.13,1875.115,0.691,40.866,0.09,78
15:29:59,743,27.8,-0.09,-1.07,-0.09,1713.659,0.818,44.988,0.08,81
15:30:00,735,27.8,-0.09,-1.07,-0.09,1564.182,0.970,49.246,0.08,82
15:30:01,795,27.8,-0.09,-1.04,-0.09,1415.995,1.169,53.905,0.05,75
15:30:02,807,27.8,-0.09,-1.04,-0.16,1273.437,1.420,58.675,0.06,74
15:30:03,821,27.9,-0.09,-1.04,-0.16,1148.057,1.716,63.175,0.06,73
15:30:04,897,27.9,-0.13,-1.04,-0.13,1042.721,2.061,67.327,0.05,67
15:30:05,945,27.9,-0.13,-1.04,-0.16,954.924,2.449,71.010,0.06,63
15:30:06,921,27.9,-0.13,-1.04,-0.13,889.189,2.848,74.011,0.05,65
15:30:07,1004,27.9,-0.13,-1.07,-0.16,846.450,3.234,76.381,0.09,60
15:30:08,1033,27.9,-0.13,-1.04,-0.16,819.495,3.606,78.289,0.06,58
15:30:09,958,27.9,-0.13,-1.04,-0.16,751.270,4.336,81.259,0.06,63
15:30:10,994,27.9,-0.13,-1.07,-0.16,761.605,4.590,82.112,0.09,60
15:30:11,1036,27.9,-0.13,-1.07,-0.13,776.790,4.820,82.817,0.09,58
15:30:12,966,27.9,-0.09,-1.07,-0.09,793.697,5.044,83.453,0.08,62
15:30:13,971,27.9,-0.09,-1.07,-0.13,808.520,5.260,84.026,0.08,62
15:30:14,1036,27.9,-0.13,-1.10,-0.09,818.512,5.483,84.575,0.11,58
15:30:15,979,27.9,-0.03,-1.04,-0.09,799.262,6.055,85.826,0.04,61
15:30:16,1031,27.9,-0.06,-1.07,-0.06,797.849,6.373,86.437,0.07,58
15:30:17,1079,27.9,-0.06,-1.04,-0.06,811.251,6.452,86.582,0.04,56
15:30:18,1003,27.9,-0.06,-1.07,-0.06,776.270,7.085,87.632,0.07,60
15:30:19,1060,27.9,-0.06,-1.07,-0.06,764.988,7.397,88.091,0.07,57
15:30:20,1089,27.9,-0.06,-1.07,-0.06,751.349,7.711,88.520,0.07,55
15:30:21,1014,27.9,-0.06,-1.07,-0.09,735.747,8.015,88.907,0.08,59
15:30:22,1009,27.9,-0.09,-1.07,-0.06,718.390,8.314,89.263,0.08,59
15:30:23,1022,27.9,-0.06,-1.04,-0.06,700.703,8.597,89.581,0.04,59
15:30:24,1001,27.9,-0.06,-1.04,-0.06,655.555,9.175,90.172,0.04,60
15:30:25,988,27.9,-0.06,-1.07,-0.06,637.693,9.407,90.391,0.07,61
15:30:26,1051,27.9,-0.06,-1.04,-0.06,620.099,9.571,90.540,0.04,57
15:30:28,1087,27.9,-0.03,-1.04,-0.09,586.264,9.730,90.680,0.04,55
15:30:29,1003,27.9,-0.06,-1.04,-0.13,578.244,9.604,90.570,0.05,60
15:30:30,1077,27.9,-0.06,-1.04,-0.09,572.092,9.349,90.337,0.05,56
15:30:31,1120,27.9,-0.06,-1.04,-0.09,569.517,8.981,89.980,0.05,54
15:30:32,1056,27.9,-0.03,-1.07,-0.09,570.392,8.544,89.522,0.08,57
15:30:33,1022,27.9,-0.06,-1.04,-0.09,573.359,7.998,88.886,0.05,59
15:30:34,1065,27.9,-0.03,-1.07,-0.09,579.191,7.371,88.053,0.08,56
15:30:35,1090,27.9,-0.06,-1.04,-0.09,587.859,6.702,87.016,0.05,55
15:30:36,991,28.0,-0.06,-1.07,-0.09,598.591,6.026,85.767,0.08,61
15:30:37,1005,28.0,-0.03,-1.04,-0.03,620.142,4.923,83.116,0.04,60
15:30:38,1007,28.0,-0.06,-1.04,-0.09,634.613,4.370,81.377,0.05,60
15:30:39,946,28.0,-0.16,-1.07,-0.06,649.287,3.839,79.336,0.08,63
15:30:40,987,28.0,-0.28,-1.07,-0.19,665.041,3.372,77.125,0.12,61
15:30:41,1013,28.0,-0.31,-1.04,-0.19,681.548,2.946,74.657,0.10,59
15:30:42,987,28.0,-0.28,-1.01,-0.19,696.511,2.577,72.046,0.06,61
15:30:43,1074,28.0,-0.28,-1.01,-0.16,710.838,2.256,69.288,0.06,56
15:30:44,1117,28.0,-0.28,-1.01,-0.19,725.716,1.969,66.320,0.06,54
15:30:45,1092,28.0,-0.28,-1.01,-0.19,739.606,1.721,63.243,0.06,55
15:30:46,1007,28.0,-0.28,-1.01,-0.16,761.032,1.363,57.681,0.06,60
15:30:47,1045,28.0,-0.28,-1.01,-0.22,772.946,1.193,54.406,0.07,57
15:30:48,1073,28.0,-0.28,-1.01,-0.19,784.857,1.047,51.157,0.06,56
15:30:49,1003,28.0,-0.28,-1.01,-0.19,795.687,0.931,48.203,0.06,60
15:30:50,1070,28.0,-0.28,-1.04,-0.22,803.735,0.859,46.199,0.10,56
15:30:51,1072,28.0,-0.25,-1.07,-0.16,812.330,0.813,44.844,0.11,56
15:30:52,1007,28.0,-0.19,-1.04,-0.06,818.499,0.794,44.246,0.06,60
