t,RRI
0,950.0
1,980.4711447715011
2,984.2755965065558
3,960.8180264207932
4,977.0088155383926
5,950.832949968614
6,904.5624915146177
7,929.1901958959033
8,953.8489183240582
9,948.2177758794875
10,979.374310178495
11,949.4059334607975
12,901.4245337794717
13,935.0337837041518
14,972.7189800691315
15,940.2861287175457
16,941.5268382841555
17,951.5468481127541
18,922.7045965770026
19,979.8352519795998
20,980.0825343295292
21,920.7800279082466
22,951.7507940505935
23,950.1091674999141
24,941.1421596207736
25,969.5190840552468
26,1030.8533656946884
27,977.0023716399465
28,930.9725942893107
29,908.6948563812995
30,855.5548441614526
31,929.2948696750718
32,1009.3589126350661
33,955.9559974361928
34,930.9471129270254
35,950.155843298834
36,967.1001845763268
37,983.2980153337899
38,951.3256203924067
39,909.2738664891381
40,972.8173381836441
41,1031.4508483660634
42,950.3861408727915
43,884.4541143261026
44,925.74989525951
45,934.6402217150626
46,907.8283693810278
47,890.4989031831942
48,910.1170273927946
49,941.4403665691642
50,974.8012021654534
51,1013.7615606253021
52,899.6605896294345
53,925.3179098340156
54,956.9264815470955
55,898.4280876080877
56,810.602626914209
57,890.9722876580217
58,886.3949077701992
59,907.1276840048143
60,998.9270405450083
61,1032.9941014747767
62,1000.6591327053136
63,932.4161666181495
64,826.4802707344229
65,805.609865087791
66,752.2311274442378
67,816.6235087469622
68,816.0134400998104
69,877.3370536814866
70,931.6020145052623
71,880.1755013261322
72,841.2065380822506
73,849.6630104192831
74,922.7852715980343
75,962.3699859058554
76,990.2243000394282
77,917.7246339984529
78,907.0620584352795
79,905.7686250055891
80,899.2754177887233
81,825.2388599559098
82,819.1889334674277
83,833.7177593990017
84,862.3371106041603
85,861.6348184729959
86,914.4439731027281
87,962.5568834853138
88,979.5790759390526
89,1033.5705685514133
90,1096.1058747376517
91,1123.3367464843168
92,1061.7704017937797
93,995.1600674899673
94,1034.8888245418837
95,1074.1212624016823
96,1123.5497900261212
97,1069.8882711793476
98,1045.7937639192585
99,1083.2786236797804
100,1110.2767759187543
101,1127.780914392422
102,1088.1797055122431
103,945.7898713679801
104,971.9073748399663
105,1180.2594835361056
106,1183.1336146614094
107,1057.8154142632789
108,1170.2523313925985
109,1070.8507386563576
110,963.7841440310241
111,1023.1563927247483
112,1067.6479115152918
113,1026.237013830503
114,1081.76622794225
115,1083.7782065537053
116,1064.4313541405234
117,1124.8862703697746
118,1188.2127459530022
119,1177.0077561929427
120,1143.5187815661918
121,1186.6749704258318
122,1165.9615519240358
123,1207.7627568841242
124,1165.0474796670992
125,1137.8696627210752
126,1240.6400644973794
127,1104.4140727292363
128,1018.7993301963685
129,1179.778419753529
130,1302.2105673163296
131,1251.698161716074
132,1156.1334953602718
133,1140.9182677261815
134,1085.8443191167478
135,965.6648977708954
136,1013.3833242701338
137,1040.815754554178
138,1002.9187507343407
139,1054.2943105672575
140,1096.9362688907347
141,1055.1693652819617
142,1050.287870439062
143,1084.3091161146256
144,1072.6363194408982
145,1052.8523926383157
146,1086.2989927497333
147,1063.4268097862052
148,1046.3742736382917
149,1108.0814208154277
150,1099.4931000117103
151,1088.071008151153
152,1138.5878814621303
153,1071.686009078898
154,1090.7319080956547
155,1122.164844785694
156,1060.5224582381838
157,1063.3347835162403
158,1044.6468563305236
159,1074.6204941073584
160,1157.4523705279282
161,1115.0418645948134
162,1073.356310181389
163,1163.732289791123
164,1108.5309138061373
165,1087.397997432892
166,1121.3294429337454
167,1069.6122132932353
168,1090.6215131703805
169,1094.2656432742647
170,1103.545669240982
171,1134.987381711866
172,1119.5163952240289
173,1124.9888333918714
174,1108.8151798449126
175,1095.5582315834667
176,1124.402676113519
177,1006.2700299426149
178,1059.9724473425229
179,1154.1966531344037
180,1105.461813973446
181,1089.0689405037415
182,1107.4129945894613
183,1068.994816088629
184,1102.2975150755876
185,1117.886414097228
186,1040.4679791329147
187,1078.7131925064584
188,1070.5902834364779
189,1088.1653935332909
190,1105.5031887641978
191,1101.5992548729553
192,1099.069282325915
193,1114.6681290673112
194,1147.7558727403957
195,1129.9209887886518
196,1083.4647626377007
197,1151.0796734468963
198,1096.3471109515867
199,1103.1039591865924
200,1050.7342244875892
201,1017.2709838448218
202,1076.0286699964197
203,1050.6823037077045
204,1093.866667485218
205,1106.9379474357102
206,1078.1494827626757
207,1154.741684406512
208,1142.9190722519236
209,1068.4457576448508
210,1127.8667015734538
211,1065.6538624126622
212,1129.6198933133421
213,1151.9539484098646
214,1146.0916678442136
215,1137.7369956449218
216,1095.9230535707811
217,1103.0893972669357
218,1128.541187958388
219,1103.019568019763
220,1157.7068938449243
221,1117.035944577086
222,1134.593104430111
223,1121.470539239634
224,1067.2283740101038
225,1088.2385815221974
226,1024.6435655161824
227,917.6106801992706
228,923.7840667690992
229,990.5170163904854
230,972.5065590131624
231,967.2571801156517
232,1030.273479559816
233,995.7853778076517
234,973.3850433028479
235,982.3671459124354
236,941.8405338050396
237,963.0422196592003
238,995.8632330692484
239,996.211907590405
240,1059.2595928515184
241,1093.593441502956
242,1083.1725659826213
243,1098.041683001121
244,1096.19172697767
