,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
2,47.5,45.5,45.5,0.604368433422663,0.533128435072003,0.07123999835065997,2.0,3.0
3,66.0,65.0,65.0,0.5173525622179408,0.5057022384632865,0.011650323754654246,1.0,0.75
4,71.0,69.75,69.75,0.511488314752445,0.4978809628740267,0.013607351878418328,1.25,0.5
5,76.0,75.0,75.0,0.5688777421680352,0.480265054499556,0.08861268766847924,1.0,11.0
6,132.5,131.0,131.0,0.45679183292048803,0.42755626050258044,0.029235572417907585,1.5,2.0
7,183.0,181.5,181.5,0.436375190829391,0.3575935219583658,0.07878166887102522,1.5,0.75
8,371.75,370.0,370.0,0.19743150258057246,0.18546635406884077,0.011965148511731694,1.75,0.5
9,379.0,377.75,377.75,0.1884801788531977,0.17777474164118198,0.010705437212015723,1.25,1.25
10,388.25,387.5,387.5,0.183825290845676,0.17313576948722306,0.010689521358452941,0.75,0.5
11,409.75,408.25,408.25,0.17221234441257874,0.16114855551919238,0.011063788893386356,1.5,1.75
