,A,B,pNN50,RMSSD,CVRR,SDNN,HR,LPS,CSI,SCL,EDA
56,a1,b1,0.4,48.343629797899645,0.1503994191105411,64.78574407913793,62.33397841667968,5594.456047106391,4.207319577771292,0.10717193777894936,0.11157887897723284
71,a1,b1,0.3,42.496596188810244,0.11059506666585152,100.34824932666771,55.137951660066996,6859.191293793281,8.476853286795501,0.1084055271580474,0.11177055049745792
86,a1,b1,0.43333333333333335,72.83936942381844,0.06725350931879744,61.92763959768771,53.3387255053586,7003.376042046108,2.209474666947597,0.10959552416714748,0.10747509244129463
101,a1,b1,0.5333333333333333,87.13178576385643,0.1128960768766184,86.62495688863577,51.89712108574705,11928.274428043991,2.919237310155661,0.11030831318307208,0.11326702324219995
116,a1,b1,0.36666666666666653,67.49199602418946,0.11318713122024487,78.59604820501448,56.42137234819441,9044.248977570502,3.6353395636870913,0.1105179129251643,0.10978195018986428
131,a1,b1,0.26666666666666666,44.7687564677255,0.05847045103798251,42.70286634192932,55.899424478960256,2807.644793253733,2.791392606264636,0.11044070169923652,0.11120095416141776
146,a1,b1,0.26666666666666666,40.124724458490704,0.06948743552788472,29.901704339059854,59.626142302401334,1631.8030145898629,1.8849174400230624,0.11051523125374768,0.11131468111900056
161,a1,b1,0.2333333333333333,44.80935635155336,0.06940068276700816,31.12332772283103,54.59164491707426,1999.9394213984106,1.5388509885397101,0.11115933208081916,0.10814618248186
176,a1,b1,0.2333333333333333,40.67245072065514,0.06523298665695068,34.593980076528005,51.95967272181522,1875.9497065486976,2.3409420383558945,0.11130956782521133,0.11933225792447047
191,a1,b1,0.3333333333333333,43.0081568074909,0.0798123855537034,35.00952519766939,52.88239437180178,1928.4553320647005,2.6153683525145315,0.11169395521775832,0.11080132497422623
206,a1,b1,0.3333333333333333,44.38034563593536,0.07899369734186559,75.89343877474636,62.30256449320851,5782.459226153302,5.503424588623277,0.1116256577396068,0.10966703692499442
221,a1,b1,0.2,38.558390736442725,0.06274998684554878,64.48942207082685,54.951463572387674,4670.690563981373,5.059210844717488,0.10959256616429526,0.10795998915324856
25,a1,b2,0.2,50.72019858174907,0.06392318511159369,67.66165513548732,54.83126371091872,6177.007202682215,3.9644208509472527,0.3294089007644938,0.30047748156523424
40,a1,b2,0.16666666666666666,70.83404475337338,0.092679104109356,84.83145447166673,56.93533975621008,13461.637598482772,2.8706264867901163,0.2970946704129945,0.2615438896717399
55,a1,b2,0.4,96.0175847800914,0.10840116369811242,102.3951534444523,71.91943622712317,18379.389373022437,2.651379755364813,0.2672655962759441,0.2410530706112259
