t,RRI
0,861.0
1,880.4720634916126
2,883.010378085124
3,864.3233422032592
4,842.9385597347324
5,844.6231838903539
6,869.352463719345
7,871.7981131920578
8,889.1720921661093
9,898.7680219970438
10,902.0028787745866
11,888.3644508243699
12,877.8603516651914
13,851.0282458487948
14,846.085001112034
15,843.8939852703023
16,850.2280798051365
17,873.045159313334
18,868.2054246295831
19,884.7404804998729
20,882.1806237185789
21,877.1716272901274
22,876.0913273853423
23,856.900885847211
24,855.2924207842666
25,847.1269040877304
26,846.2889471202561
27,835.4822286256037
28,855.8728679011981
29,857.8657320090667
30,863.3337369018749
31,867.4342590576327
32,870.4921575695045
33,854.6096154944463
34,858.1962545230358
35,855.5693648047574
36,854.0278627059345
37,836.4478491984394
38,823.7158429087707
39,818.6471257071821
40,815.2397496175684
41,816.7283682788767
42,818.9412127291544
43,805.5144309998711
44,812.7127570944685
45,814.6309685320332
46,832.7812370190804
47,835.0896087953165
48,839.2938178244702
49,834.1127495501261
50,839.4002784434208
51,840.2703858868545
52,845.0946381427784
53,831.9387477026224
54,838.3235049256145
55,840.7411197951241
56,839.7294299180464
57,848.4651072839471
58,852.5943626288067
59,854.9820584179109
60,866.2981361028468
61,856.5881829386983
62,870.4397129771303
63,853.2773036281291
64,848.5047001492906
65,840.7474367503794
66,827.5018948893643
67,824.0922955765468
68,809.6299435297545
69,819.4530961878551
70,816.2100546018991
71,807.287849349849
72,817.7953877796443
73,813.3567011339696
74,807.6294798910476
75,817.8186068961797
76,826.043793193286
77,807.9798769261915
78,823.4688331660301
79,804.6228703233635
80,817.7779820500497
81,819.2628688639958
82,809.0797282675015
83,813.9906912087712
84,808.5260794162496
85,807.0221513953212
86,829.3426847224076
87,813.1830821598497
88,793.5460608966984
89,792.6307887232716
90,757.9347313619832
91,697.561862933371
96,700.9000747521233
97,709.4171281773447
98,728.9755786390323
99,762.7277826715642
100,768.4746872661505
101,739.7952623415493
102,725.0610384532123
110,736.3686893799588
111,795.0946331937496
112,792.6329021777148
113,792.0174117797368
114,772.2623070131788
115,763.743087114957
116,769.0632565077285
117,771.1037311106398
118,782.6895393969502
119,793.1413667018287
120,789.2062885467527
121,792.1631713278745
122,787.578005686472
123,788.7180137423882
124,801.351773000124
125,817.1586008423805
126,829.8298335217846
127,813.2008275379734
128,818.0422839551587
129,817.9792676857763
130,835.2263312704457
131,825.6723732641473
132,835.7511584629515
133,849.9333129370622
134,841.7080305183441
135,855.5279818273038
136,859.7818451344206
137,817.3030028092405
138,812.9756596082707
139,801.9161702032071
140,785.1030674222529
141,762.6787503700027
142,825.1140586185439
143,782.6827353067883
144,861.1290436103352
145,839.6091488419236
146,835.2240072225181
147,837.912051405286
148,833.3105919529258
149,802.5847111795023
150,810.7374806431385
151,813.3053577402391
152,803.7739030608337
153,824.3905378716852
154,819.6473528483415
155,819.7807880095648
156,841.8867889361745
157,844.940055797596
158,840.6341653781183
159,848.5449143470978
160,855.5691759992251
161,814.0225189007626
162,822.4334593068234
163,815.3861307280927
164,802.6057950644777
165,809.4742167666814
166,827.509494122422
167,804.0129509029241
168,806.0230691028332
169,788.7983122533553
