,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
1,38.75,38.0,38.0,0.6424158416202075,0.6321707027337304,0.010245138886477045,0.75,0.25
2,80.0,79.5,79.5,0.6425378141129716,0.6314242418086404,0.011113572304331187,0.5,0.5
3,87.0,86.5,86.5,0.642683790493495,0.6326590785787868,0.010024711914708218,0.5,1.0
4,146.25,145.75,144.75,0.6523259906149235,0.6422321011904716,0.010093889424451885,1.5,0.5
5,147.5,146.75,146.75,0.6526337180586314,0.6407567187348561,0.011876999323775284,0.75,0.25
6,156.5,156.0,155.0,0.6523881795011863,0.640648604455589,0.011739575045597306,1.5,0.5
7,166.5,166.0,166.0,0.652136719494812,0.6406790915483327,0.01145762794647931,0.5,0.5
8,213.25,212.75,212.75,0.6697982742076177,0.6587664649584999,0.011031809249117841,0.5,0.5
9,264.5,263.75,263.75,0.6917009615924642,0.6791777076225765,0.012523253969887738,0.75,1.25
10,265.25,265.0,263.75,0.6898292953444519,0.6791777076225765,0.010651587721875466,1.5,0.0
11,287.25,286.25,286.25,0.7397656946991669,0.6991051152292407,0.040660579469926184,1.0,0.5
12,290.25,288.75,288.75,0.7420726338154391,0.7117572358387197,0.030315397976719338,1.5,7.75
13,291.0,290.5,288.75,0.7467370808753856,0.7117572358387197,0.034979845036665846,2.25,6.0
14,300.0,299.0,299.0,0.7417904470949543,0.7286795659421648,0.013110881152789577,1.0,1.75
