,Unnamed: 0,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
0,3,46.75,45.5,45.5,0.7591298474381787,0.7435665334008198,0.015563314037358887,1.25,1.75
1,4,51.75,51.25,51.25,0.7653905635623846,0.7538330606651357,0.011557502897248884,0.5,0.5
2,5,59.75,59.25,59.25,0.7561414853677259,0.7456722239285768,0.010469261439149058,0.5,0.5
3,6,73.75,73.25,73.25,0.7647434356685769,0.7544238693583581,0.010319566310218908,0.5,0.5
4,7,100.5,99.75,99.75,0.7585967988680673,0.7468770467668501,0.011719752101217229,0.75,1.25
5,8,101.25,101.0,99.75,0.7572815968407323,0.7468770467668501,0.01040455007388219,1.5,0.5
6,9,161.75,161.0,161.0,0.7933739580898855,0.7755218745437137,0.01785208354617185,0.75,0.5
7,10,163.0,162.25,162.25,0.7915759149391434,0.7803174090208205,0.011258505918322892,0.75,4.5
8,11,164.25,163.25,163.25,0.8097000588985342,0.7887550296832346,0.020945029215299612,1.0,1.0
9,12,182.0,181.25,181.25,0.7838965982514695,0.7726994449994848,0.01119715325198467,0.75,0.0
10,13,185.25,184.25,184.25,0.8106686015518898,0.7897057930829186,0.02096280846897125,1.0,0.25
