,A,B,pNN50,RMSSD,CVRR,SDNN,HR,LPS,CSI,SCL,EDA
26,a1,b1,0.3,48.45184268254992,0.10533775132435187,78.7637470488398,76.85556516816989,6946.813644634105,4.9587288994043135,0.7332565290727492,0.7332735011518295
41,a1,b1,0.43333333333333335,54.61497091807209,0.09932371940344156,73.91874690913029,82.8831770471397,6642.351242697424,4.601835263269568,0.7308847455783224,0.7297086786161948
56,a1,b1,0.2333333333333333,42.36388378133168,0.06491896139172786,41.07028718026186,85.26655893238178,2518.6413849058413,3.0630135247149277,0.7273958313819828,0.7156062970249867
71,a1,b1,0.2,45.184487909240275,0.09699777972115377,70.96858348826093,77.44581134212586,5796.596294069145,4.837437581385667,0.7224880605990692,0.7207880227490943
86,a1,b1,0.26666666666666666,51.13714184381767,0.10229000536502507,76.00973121554398,82.31092261680769,6752.947504667073,4.930681551137994,0.7192273293362105,0.7191103842644508
101,a1,b1,0.1,36.69104135641458,0.0570324258166155,37.94058608003697,79.29229065438535,2513.1003413100584,2.8758503342291366,0.7152280026771017,0.7115115016736826
116,a1,b1,0.03333333333333333,25.650541869731413,0.04460173314235755,26.258598487690502,80.32489993516405,1165.7359667139967,2.8318298459932887,0.7127922778213758,0.7146638630477236
131,a1,b1,0.06666666666666668,29.059582301328263,0.04102920046956235,27.13461902182504,74.38635984771565,1214.9369028601136,2.3133698364324666,0.7121589811293512,0.7117828257283519
146,a1,b1,0.13333333333333333,33.2520562476323,0.05087624680596065,34.999013859012784,82.9026088713605,2059.1273376191866,2.961677019073853,0.7120862412217641,0.7141985171434931
161,a1,b1,0.1,27.74859962791347,0.04818512485025719,33.43009502963313,80.7230091517293,1699.9069238118939,3.4068297764241704,0.7110655061850825,0.7143479735208718
14,a1,b2,0.03333333333333333,28.8466147529805,0.06692597178942332,48.93625648894506,73.57135322762359,2363.741124602369,5.5560973939331575,0.7980910603720063,0.7993977227731709
29,a1,b2,0.03333333333333333,27.495988124546603,0.06725864032598165,52.94645582900277,75.474489992558,2671.2942387005382,6.146538137773701,0.7979311510596996,0.7942216570124679
44,a1,b2,0.06666666666666668,28.291010670818228,0.07241749880734079,41.681164224118575,74.20032769121022,2273.1443010966163,4.399704659383987,0.7998810916570613,0.7996605388046174
59,a1,b2,0.2,38.73185082679604,0.08521506209432403,63.504513456199646,73.11785148740823,4876.8343324687485,4.864008397944066,0.8016095998792506,0.8013971084021928
74,a1,b2,0.2333333333333333,46.237437479394636,0.0979657418082852,73.74755488411051,84.90318124468091,6832.568024338833,4.591600517196817,0.8008774160069069,0.7970967543031976
89,a1,b2,0.06666666666666668,35.52815874150284,0.08083184829525054,46.409306498012924,74.6641601224441,3307.9066907185315,3.2744198367591135,0.7976771631678246,0.8002339647428949
104,a1,b2,0.1,31.539210194511327,0.04707077708608867,38.170078956051135,68.69578963435626,2081.251377654976,3.2641293929124817,0.7961984193795301,0.7943799763232154
119,a1,b2,0.1,29.435580735329385,0.044411501012811584,31.083707385977764,79.66653751446377,1630.860136406241,2.967977061954813,0.7958484326163142,0.7941483670504521
134,a1,b2,0.06666666666666668,29.17990753887492,0.04064796217191974,32.1518358618582,73.62572406273998,1396.9719125090558,3.264930325486811,0.7944428232650769,0.7946026837552649
149,a1,b2,0.06666666666666668,31.952918800453997,0.032980773987046214,25.993926064406963,80.21203888311271,1069.5966735052973,2.4828803546629628,0.792453866632192,0.7896997701073771
15,a2,b1,0.16666666666666666,39.35669889115708,0.0602566062615539,46.34092106970069,78.43004062118703,3377.0093942731482,3.3947047881530548,0.7406340636751547,0.7602080388064881
30,a2,b1,0.13333333333333333,38.101401324540674,0.08025483815152386,60.67322000676139,92.28519895561607,4508.094671038897,4.5220966382800825,0.7494990388718359,0.7588643804801465
45,a2,b1,0.16666666666666666,39.89257158049524,0.1254859731677895,77.7118321022364,81.59844143534289,6362.887980014089,5.634422472264581,0.7568826200519407,0.7570031662136112
60,a2,b1,0.16666666666666666,34.700270707782984,0.1053917875684669,80.48881926527676,75.02202220071456,4878.47629499729,7.916498914047485,0.7580408658336923,0.7568362514547531
75,a2,b1,0.16666666666666666,35.509369597689926,0.09486751782685862,70.81130125035416,70.0935046180286,4301.174732368716,7.109299349887182,0.7568784268089604,0.7553943425212895
90,a2,b1,0.2,39.59815053387935,0.0916049938069458,67.94751826060401,75.3090798921268,5304.862125217722,5.1130056396764525,0.7543224084651677,0.7531654457456766
105,a2,b1,0.13333333333333333,32.17952128660459,0.055498840429690964,32.853995758507665,73.54622063769857,1824.1016303006588,2.7352144656095767,0.7561407923706726,0.7590324214509272
120,a2,b1,0.1,28.955163754849533,0.061166584252558685,29.69881095854721,69.30340061694217,1518.5573896245678,2.8887065031687613,0.7589295465862073,0.7686206115178831
135,a2,b1,0.13333333333333333,34.03771676299661,0.07310590762461247,29.77758808983181,81.54766606649719,1672.8784918199551,2.229171383446837,0.7713448585667441,0.7873260143198039
150,a2,b1,0.16666666666666666,39.152693386529705,0.059600162477701474,41.5173295991137,78.3127488886466,2775.5492266893925,2.9260702034492896,0.7806573172551882,0.7851835766864971
5,a2,b2,0.03333333333333333,24.263216743256702,0.05343295672485509,31.855053501132737,82.98075716918177,1273.6473423455436,3.949690480738469,0.8181442572941441,0.8186690676722264
20,a2,b2,0.13333333333333333,36.661489627429305,0.06221231487662034,37.542657390265454,81.88017036041856,2468.280544070768,2.825077018947136,0.8171023539873199,0.8126623734524593
35,a2,b2,0.13333333333333333,35.11416320485925,0.06106932767980485,44.33918512554989,88.53409345785498,3308.017737748655,3.276711029743532,0.8157109020152078,0.8123931788818519
50,a2,b2,0.03333333333333333,24.997248592692753,0.06114301588912718,26.351312015931715,83.82389874676129,1149.2820638822395,2.8353053923670064,0.8151516027839965,0.8190866221808776
65,a2,b2,0.03333333333333333,21.98317300599563,0.05662676993966976,24.923208070482172,88.53984827068169,978.2826060903587,3.3013809250450765,0.8158901710934178,0.8162159344998955
80,a2,b2,0.0,14.707139529414189,0.06926655531636415,24.308672348695666,81.9217644251135,664.0921662423091,5.126626023400527,0.8171746935301754,0.8143588377737527
95,a2,b2,0.06666666666666668,29.1876660584192,0.07497740294627292,48.35326285755429,83.86877142825938,2888.968469438001,4.753978206258352,0.8164227577740996,0.8153986484533751
110,a2,b2,0.1,31.768701458687488,0.05079212926145359,33.40009771790133,81.35481657719298,1947.0783115596134,2.877676530842228,0.8174332204625442,0.8273090336791341
125,a2,b2,0.06666666666666668,25.598518096302854,0.048970141287294856,30.93602116115107,82.84545208666657,1617.0418856665199,3.115694742013825,0.8232988111193874,0.8325148818384126
140,a2,b2,0.06666666666666668,30.006031210160547,0.057328204660121534,34.784525359020556,79.4365934061276,1872.2041548341683,3.423836745678221,0.8289948711953741,0.8283908886154593
