í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2021/01/17
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
13:54:46,727,20.0,-0.09,-1.07,0.09,-,-,-,0.08,83
13:54:46,463,20.0,0.16,-1.20,0.25,-,-,-,0.23,130
13:54:47,809,20.0,0.47,-1.83,-0.25,-,-,-,0.90,74
13:54:52,1555,20.0,-0.09,-1.10,0.16,-,-,-,0.12,39
13:54:56,3200,20.1,-0.13,-1.10,0.09,-,-,-,0.11,19
13:54:57,888,20.1,0.35,-2.96,-0.69,-,-,-,2.06,68
13:54:53,528,20.2,-0.09,-1.45,0.38,-,-,-,0.50,114
13:54:53,453,20.2,-0.09,-1.29,0.47,-,-,-,0.38,132
13:54:54,502,20.2,-0.13,-1.20,0.44,-,-,-,0.28,120
13:54:58,394,20.2,0.19,-1.01,0.50,-,-,-,0.14,152
13:54:59,1422,20.2,-0.13,-1.17,0.50,-,-,-,0.28,42
13:55:02,3199,20.3,0.06,-1.07,0.38,-,-,-,0.14,19
13:55:06,1009,20.3,-0.06,-1.04,0.41,-,-,-,0.12,59
13:55:09,3200,20.4,0.06,-1.04,0.35,-,-,-,0.10,19
13:55:12,3200,20.6,0.03,-1.04,0.35,-,-,-,0.10,19
13:55:17,3200,20.7,0.09,-1.04,0.25,-,-,-,0.07,19
13:55:20,3200,20.8,-0.09,-1.17,0.31,-,-,-,0.21,19
13:55:22,2354,20.8,-0.35,-1.29,-0.31,-,-,-,0.37,25
13:55:18,1441,20.8,-0.06,-1.10,0.22,292794.239,1.768,63.874,0.13,42
13:55:19,731,20.9,0.06,-1.07,0.19,337082.968,1.580,61.235,0.09,82
13:55:19,751,20.9,0.03,-1.04,0.19,359760.616,1.535,60.557,0.06,80
13:55:19,707,20.9,0.03,-1.04,0.19,382064.605,1.420,58.677,0.06,85
13:55:20,749,20.9,0.06,-1.04,0.19,402646.438,1.392,58.202,0.06,80
13:55:21,783,20.9,0.03,-1.04,0.19,423059.831,1.364,57.701,0.06,77
13:55:22,816,21.1,0.03,-1.04,0.16,443960.757,1.265,55.846,0.05,74
13:55:23,797,21.1,0.03,-1.04,0.16,464248.684,1.227,55.106,0.05,75
13:55:23,753,21.1,0.03,-1.04,0.19,478457.127,1.217,54.896,0.06,80
13:55:24,793,21.1,0.03,-1.04,0.19,491345.512,1.195,54.443,0.06,76
13:55:25,859,21.1,0.06,-1.04,0.19,499671.619,1.188,54.290,0.06,70
13:55:26,731,21.1,0.03,-1.01,0.19,507506.931,1.160,53.700,0.03,82
13:55:27,787,21.1,0.03,-1.04,0.16,508569.918,1.158,53.662,0.05,76
13:55:28,810,21.1,0.06,-1.04,0.19,507536.067,1.147,53.414,0.06,74
13:55:28,875,21.1,0.06,-1.04,0.19,502661.015,1.137,53.211,0.06,69
13:55:29,843,21.1,-0.03,-1.04,0.16,512649.079,1.048,51.179,0.05,71
13:55:30,768,21.2,0.03,-1.04,0.16,502520.121,1.046,51.118,0.05,78
13:55:31,791,21.2,0.03,-1.04,0.16,489180.555,1.047,51.139,0.05,76
13:55:32,839,21.2,0.03,-1.04,0.16,472804.525,1.051,51.239,0.05,72
13:55:33,848,21.2,0.03,-1.04,0.16,452063.906,1.059,51.426,0.05,71
13:55:33,859,21.2,0.06,-1.04,0.13,428490.729,1.071,51.717,0.05,70
13:55:34,780,21.4,0.03,-1.04,0.16,404084.048,1.081,51.941,0.05,77
13:55:35,820,21.4,0.06,-1.04,0.16,377224.340,1.103,52.442,0.05,73
13:55:36,839,21.4,0.03,-1.04,0.19,348642.038,1.131,53.064,0.06,72
13:55:37,826,21.4,0.06,-1.04,0.16,345161.870,1.089,52.129,0.05,73
13:55:38,904,21.4,0.03,-1.04,0.16,314387.237,1.128,53.009,0.05,66
13:55:39,950,21.4,0.06,-1.04,0.16,290476.688,1.151,53.504,0.05,63
13:55:40,954,21.4,0.06,-1.04,0.16,208152.244,1.406,58.431,0.05,63
13:55:41,903,21.4,0.06,-1.10,0.25,182393.326,1.478,59.648,0.13,66
13:55:42,887,21.4,0.03,-1.04,0.22,157541.346,1.576,61.182,0.06,68
13:55:42,839,21.6,0.03,-1.04,0.19,153293.743,1.566,61.025,0.06,72
13:55:43,793,21.6,0.03,-1.07,0.22,133955.214,1.680,62.688,0.09,76
13:55:44,830,21.6,0.03,-1.04,0.25,115778.595,1.823,64.581,0.07,72
13:55:45,875,21.6,0.03,-1.04,0.19,99591.205,1.996,66.627,0.06,69
13:55:46,887,21.6,0.06,-1.04,0.19,83457.341,2.233,69.068,0.06,68
13:55:47,887,21.7,0.06,-1.04,0.19,70146.999,2.509,71.503,0.06,68
13:55:47,802,21.7,0.06,-1.04,0.19,51483.711,3.127,75.771,0.06,75
13:55:48,839,21.7,0.06,-1.04,0.19,34534.601,4.156,80.606,0.06,72
13:55:49,859,21.7,0.06,-1.04,0.22,16345.749,6.763,87.118,0.06,70
13:55:50,791,21.8,0.06,-1.04,0.19,15376.072,7.095,87.647,0.06,76
13:55:50,831,21.8,0.13,-1.07,0.28,11599.430,8.625,89.610,0.11,72
13:55:51,813,21.8,0.06,-1.07,0.28,9611.603,9.797,90.739,0.11,74
13:55:52,796,21.8,0.06,-1.01,0.28,12370.438,8.484,89.456,0.05,75
13:55:53,829,21.8,0.09,-1.04,0.25,9354.647,10.242,91.104,0.07,72
13:55:54,871,21.9,0.09,-1.04,0.25,7853.646,11.423,91.950,0.07,69
13:55:55,871,21.9,0.06,-1.07,0.25,5931.424,13.333,93.023,0.10,69
13:55:55,722,21.9,0.06,-1.04,0.19,5269.780,13.964,93.317,0.06,83
13:55:56,731,21.9,0.09,-1.04,0.25,3668.013,16.409,94.256,0.07,82
13:55:56,728,21.9,0.06,-1.07,0.16,2576.339,14.508,93.552,0.08,82
13:55:57,654,21.9,0.06,-1.04,0.16,2173.095,13.313,93.014,0.05,92
13:55:58,667,21.9,0.03,-1.04,0.16,1590.546,8.963,89.962,0.05,90
13:55:59,699,21.9,0.06,-1.04,0.16,2139.655,16.110,94.155,0.05,86
13:55:59,768,21.9,0.06,-1.04,0.16,1855.631,14.361,93.490,0.05,78
13:56:00,850,21.9,0.06,-1.04,0.19,1535.204,8.333,89.285,0.06,71
13:56:01,883,21.9,0.09,-1.04,0.16,1550.275,7.928,88.799,0.06,68
13:56:02,811,22.1,0.16,-1.04,0.19,1098.395,4.364,81.356,0.07,74
13:56:03,830,22.1,0.09,-1.04,0.16,907.107,1.729,63.361,0.06,72
13:56:04,822,22.1,0.09,-1.04,0.13,1307.886,8.260,89.201,0.05,73
13:56:04,763,22.1,0.06,-1.07,0.16,1162.608,3.591,78.218,0.08,79
13:56:05,772,22.1,0.06,-1.04,0.13,899.910,1.833,64.706,0.05,78
13:56:06,817,22.1,0.06,-1.07,0.13,1024.262,3.801,79.173,0.08,73
13:56:07,876,22.1,0.06,-1.04,0.13,990.334,1.560,60.943,0.05,68
13:56:08,924,22.1,0.06,-1.04,0.13,848.233,1.448,59.146,0.05,65
13:56:11,849,22.2,0.09,-1.07,0.16,834.622,1.782,64.049,0.09,71
13:56:12,809,22.2,0.06,-1.04,0.13,977.477,1.252,55.594,0.05,74
13:56:13,771,22.2,0.06,-1.04,0.16,876.222,1.517,60.272,0.05,78
13:56:14,823,22.3,0.03,-1.04,0.13,1129.703,1.122,52.882,0.05,73
13:56:15,806,22.3,0.03,-1.04,0.09,1022.504,1.337,57.209,0.04,74
13:56:16,831,22.3,-0.03,-1.04,0.09,988.969,1.459,59.340,0.04,72
