t,RRI
0,809.0
1,844.3023926781017
2,861.4719615498706
3,841.5750928770428
4,720.4908765725579
5,751.1086163669825
6,826.4839328474155
7,779.224654358641
8,739.2865350000369
9,803.8992577748337
10,874.2547153482195
11,917.5507474557546
12,824.495842229967
13,757.6679370098735
14,789.4543046451528
15,852.7953133487592
16,920.7634837821105
17,942.3645906766757
18,935.5539807337494
19,853.0527679455054
20,847.6899168378002
21,871.6749775456535
22,919.7713738072482
23,951.6592013899766
24,894.5153516433983
25,837.0368440302635
26,871.0917788944025
27,909.0500171998726
28,929.5571825101747
29,853.5364680872731
30,864.7038326594724
31,827.5797282213782
32,833.9301568393714
33,890.3073732751619
34,828.0837841823561
35,691.6421827249733
36,687.8471749005606
37,702.9865991402237
38,698.8012264856588
39,661.2525479748155
40,712.9172872586548
41,763.6956900814362
42,738.2748617760943
43,703.7807626553968
44,701.0735003623016
45,725.9126949678773
46,748.0380333623096
47,778.2640281374477
48,806.7903374294651
49,775.8275747114164
50,809.6761834037752
51,804.4296461193019
52,805.720217535297
53,812.9548726920835
54,809.4526511331649
55,730.3537444296562
56,703.337797414118
57,795.8624584842288
58,893.4004213798374
59,942.2920795075398
60,902.7931061589155
61,888.8923766129712
62,918.5144403615013
63,882.2522664977906
64,781.5678508470378
65,814.3643610728543
66,908.8846678196342
67,982.1849980072188
68,994.5629066174048
69,942.5732562462213
70,870.7679933884499
71,930.3201000525594
72,797.6362649762966
73,797.0848604085294
74,763.1774822350484
75,705.6585471230557
76,666.5085915799568
77,674.2402540114571
78,644.9360223109735
79,731.6208861741824
80,792.3213306776014
81,735.031893634604
82,762.2109231705688
83,650.220450070965
84,647.0328205350066
85,655.4461157673101
86,648.528777544121
87,704.4671657095192
88,748.6444761257069
89,712.5891289100347
90,761.4204755438085
91,804.2499480382911
92,829.1372569920278
93,846.8494101648613
94,866.3697178792319
95,873.3308535545699
96,859.11310701842
97,863.8379172663957
98,772.8536491026013
99,740.9974070751895
100,776.1341052346687
101,809.043316340066
102,869.4003950340275
103,890.4583176459034
104,719.7256407248129
105,658.1848477822816
106,620.5527312093258
107,676.6830652519873
108,829.8383114876293
109,909.1733566679246
110,893.9681302658795
111,859.2566956416083
112,901.7328118174103
113,907.3426906062042
114,895.3911310066682
115,831.7797816719536
116,760.41159317146
117,769.6922723292738
118,812.1387960462838
119,769.8576335263589
120,763.1191486833184
121,807.4405052290352
122,882.16902228827
123,912.1694480416093
124,886.7034856945232
125,851.7117611522506
126,880.3856107137459
127,814.3746565909485
128,771.6963841799189
129,808.1453414173478
130,878.0798178931841
131,892.4463523082637
132,894.8061978943148
133,797.2043956506147
134,780.5529620578869
135,801.4754593521052
136,849.4474510795034
137,833.0400619758598
138,741.7933181295298
139,762.6995448889783
140,815.8082814663318
141,858.5176718714536
142,898.0603926844506
143,794.1284815031106
144,715.4771543622294
145,775.1961405273385
146,817.9198470546258
147,739.8018777205638
148,810.1916316585732
149,856.2239095585815
150,858.7154424822772
151,759.6528709054865
152,799.4677452519472
153,834.2346303712021
154,783.9933575296842
155,828.7404227982103
156,868.480104423913
157,890.6192209842577
158,891.7457324368639
159,820.3473030281168
160,775.1249740614152
161,795.3166949434686
162,821.6325406003557
163,792.9363728332845
164,802.4406454050195
165,860.5123371240946
166,822.2943104110711
167,763.5092153884938
168,783.3496253372867
169,840.5385189966546
170,859.0096487149201
171,812.9368271781104
172,768.6299368015169
173,809.4969844950833
174,839.6381932002837
175,830.4909959194915
176,856.2284561076441
177,827.2128927976789
178,865.2718925881587
179,862.4008052293456
180,845.7299014521988
181,752.8239743129809
182,826.0878310535995
183,817.5212554536873
184,856.1238099959976
185,830.9580254989563
186,826.8725816173127
187,701.9568060881948
188,668.1269196158598
189,656.1949695904635
190,741.5120878558196
191,733.2503324565884
192,803.703386126374
193,825.2547390848193
194,799.2022810506807
195,863.0735281113659
