í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2021/01/17
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
15:28:45,590,18.3,-0.13,-1.35,0.47,219.150,0.604,37.670,0.44,102
15:28:46,639,18.3,-0.13,-1.07,-0.28,229.186,0.504,33.515,0.11,94
15:28:47,1164,18.3,-0.13,-1.20,-0.16,234.810,0.467,31.811,0.21,52
15:28:48,665,18.3,-0.13,-1.04,0.06,221.631,0.527,34.512,0.05,90
15:28:48,325,18.3,-0.19,-1.10,0.16,240.853,0.438,30.439,0.13,185
15:28:50,1901,18.4,-0.16,-1.04,0.31,246.287,0.423,29.742,0.10,32
15:28:50,691,18.4,-0.09,-1.04,0.22,268.307,0.356,26.275,0.07,87
15:28:51,707,18.4,-0.09,-1.04,0.19,307.908,0.335,25.076,0.06,85
15:28:52,700,18.4,-0.06,-1.10,0.19,367.122,0.316,24.015,0.12,86
15:28:52,714,18.4,-0.09,-1.04,0.13,478.996,0.320,24.253,0.05,84
15:28:53,688,18.6,-0.06,-1.07,0.19,702.508,0.343,25.554,0.09,87
15:28:54,613,18.6,0.06,-1.04,0.16,1025.662,0.368,26.890,0.05,98
15:28:54,660,18.6,0.09,-1.04,0.16,1330.662,0.393,28.191,0.06,91
15:28:55,664,18.6,0.06,-1.04,0.19,1927.602,0.414,29.266,0.06,90
15:28:56,672,18.6,-0.03,-1.07,0.16,2654.841,0.430,30.061,0.08,89
15:28:56,676,18.6,-0.03,-1.04,0.13,3404.171,0.451,31.071,0.05,89
15:28:57,682,18.7,-0.09,-1.07,0.09,4643.684,0.463,31.651,0.08,88
15:28:58,681,18.7,0.06,-1.07,-0.06,6131.541,0.473,32.098,0.07,88
15:28:59,532,18.7,-0.13,-1.04,0.22,7392.417,0.487,32.753,0.07,113
15:28:59,755,18.7,-0.13,-1.01,0.35,9244.416,0.493,33.024,0.07,79
15:29:01,1256,18.7,-0.19,-1.32,-0.41,11884.258,0.499,33.299,0.40,48
15:29:00,563,18.8,-0.28,-1.86,-0.41,17789.800,0.505,33.552,0.92,107
15:29:01,422,18.8,-0.16,-1.20,0.44,20991.059,0.508,33.672,0.29,142
15:29:01,644,18.8,-0.16,-1.04,0.57,24241.388,0.510,33.755,0.19,93
15:29:04,1445,18.8,-0.13,-0.94,0.63,28520.341,0.512,33.870,0.14,42
15:29:04,616,18.8,-0.13,-0.98,0.47,37110.446,0.521,34.261,0.09,97
15:29:05,605,18.8,-0.09,-1.13,0.28,42253.370,0.523,34.334,0.17,99
15:29:05,631,19.0,-0.09,-1.04,0.22,44765.194,0.527,34.509,0.07,95
15:29:06,654,19.0,-0.06,-1.01,0.22,50847.760,0.530,34.627,0.03,92
15:29:06,635,19.0,-0.06,-1.07,0.28,56963.235,0.532,34.718,0.11,94
15:29:08,694,19.0,-0.19,-1.04,0.31,59719.480,0.536,34.889,0.10,86
15:29:08,357,19.0,-0.16,-1.04,0.31,66127.498,0.538,34.970,0.10,168
15:29:10,1572,19.1,-0.13,-1.07,0.41,71825.479,0.538,34.990,0.15,38
15:29:10,646,19.1,-0.09,-1.10,0.25,86108.102,0.545,35.283,0.13,93
15:29:10,651,19.1,-0.09,-1.07,0.31,92832.007,0.547,35.375,0.12,92
15:29:11,624,19.1,-0.09,-1.01,0.31,99440.280,0.549,35.448,0.06,96
15:29:11,611,19.1,-0.13,-1.04,0.31,101073.482,0.551,35.515,0.09,98
15:29:12,619,19.1,-0.06,-1.04,0.16,107324.203,0.552,35.581,0.05,97
15:29:13,619,19.2,-0.06,-1.04,0.16,113229.023,0.554,35.643,0.05,97
15:29:13,630,19.2,-0.06,-1.04,0.13,114257.895,0.554,35.656,0.05,95
15:29:14,655,19.2,-0.06,-1.04,0.16,119889.326,0.555,35.708,0.05,92
15:29:15,620,19.2,-0.06,-1.04,0.16,125312.207,0.557,35.757,0.05,97
15:29:15,679,19.2,-0.06,-1.04,0.16,130241.758,0.558,35.803,0.05,88
15:29:16,698,19.2,-0.06,-1.04,0.16,134675.884,0.558,35.834,0.05,86
15:29:17,665,19.3,-0.06,-1.04,0.19,138679.499,0.559,35.855,0.06,90
15:29:18,729,19.3,-0.06,-1.04,0.16,138382.787,0.556,35.731,0.05,82
15:29:18,728,19.3,-0.09,-1.04,0.16,141932.348,0.556,35.731,0.06,82
15:29:19,681,19.3,-0.06,-1.04,0.19,144531.224,0.555,35.698,0.06,88
15:29:20,709,19.3,-0.06,-1.04,0.19,146361.350,0.554,35.654,0.06,85
15:29:20,699,19.3,-0.06,-1.04,0.16,147601.071,0.553,35.591,0.05,86
15:29:21,669,19.4,-0.03,-1.04,0.19,148139.945,0.551,35.511,0.06,90
15:29:22,692,19.4,-0.03,-1.04,0.19,147400.287,0.545,35.259,0.06,87
15:29:22,658,19.4,-0.06,-1.04,0.19,147202.252,0.542,35.130,0.06,91
15:29:23,641,19.4,-0.06,-1.04,0.16,146503.904,0.538,34.995,0.05,94
15:29:24,649,19.4,-0.06,-1.04,0.16,145416.080,0.536,34.880,0.05,92
15:29:24,624,19.4,-0.06,-1.04,0.19,143781.724,0.533,34.751,0.06,96
15:29:25,679,19.6,-0.06,-1.04,0.19,141502.690,0.529,34.604,0.06,88
15:29:26,675,19.6,-0.09,-1.07,0.19,140801.193,0.520,34.207,0.09,89
15:29:26,679,19.6,-0.09,-1.07,0.22,138307.914,0.515,33.976,0.10,88
15:29:27,713,19.6,-0.03,-1.04,0.19,135057.533,0.508,33.687,0.06,84
15:29:28,739,19.6,-0.06,-1.04,0.19,131914.902,0.503,33.454,0.06,81
15:29:29,755,19.6,-0.03,-1.04,0.22,128149.722,0.495,33.119,0.06,79
15:29:29,694,19.7,-0.03,-1.01,0.22,124195.256,0.486,32.697,0.03,86
15:29:30,718,19.7,-0.06,-1.04,0.22,123200.345,0.473,32.117,0.06,84
15:29:31,729,19.7,-0.06,-1.07,0.22,119256.871,0.464,31.716,0.10,82
15:29:31,687,19.7,-0.06,-1.01,0.25,115416.848,0.457,31.372,0.04,87
15:29:34,727,19.8,-0.06,-1.01,0.25,111042.596,0.448,30.926,0.04,83
15:29:35,751,19.8,-0.06,-1.01,0.25,107051.050,0.439,30.503,0.04,80
15:29:36,751,19.8,-0.06,-1.04,0.25,102647.179,0.429,30.041,0.07,80
15:29:37,726,19.8,-0.06,-1.01,0.28,98381.437,0.420,29.595,0.05,83
15:29:37,746,19.9,-0.06,-1.04,0.28,94130.451,0.412,29.168,0.08,80
15:29:38,754,19.9,-0.06,-1.04,0.25,90157.275,0.404,28.779,0.07,80
15:29:39,756,19.9,-0.06,-1.01,0.28,89203.169,0.392,28.187,0.05,79
15:29:40,759,19.9,-0.06,-1.01,0.28,84806.608,0.384,27.751,0.05,79
15:29:41,778,19.9,-0.06,-1.04,0.22,80737.600,0.378,27.442,0.06,77
15:29:41,759,19.9,-0.06,-1.01,0.28,76694.713,0.373,27.184,0.05,79
15:29:42,775,19.9,-0.06,-1.01,0.28,72923.688,0.370,27.000,0.05,77
