t,RRI
0,780.0
1,765.4986776563535
2,787.6870637773638
3,789.6196500412318
4,773.6231725954752
5,765.1974339874427
6,787.2865109543826
7,740.6774676341535
8,771.6856066560147
9,769.6418574358094
10,740.0043157166784
11,775.2416150566219
12,757.1314299565881
13,776.0099120006621
14,803.2934640069453
15,783.949308493719
16,790.3371288778387
17,806.1619995168155
18,756.6584481296295
19,788.7132133827116
20,750.178786269155
21,764.1613762492724
22,757.541205797116
23,709.1524995800069
24,710.4944451687267
25,702.5975369218651
26,665.8295403360905
27,672.4040081803886
28,684.3602228245226
29,681.3640241574344
30,710.5661567322799
31,725.1067954305693
32,719.8072374858709
33,699.0720482065453
34,693.694162248275
35,683.066839631413
36,666.781132109579
37,667.337578315793
38,655.425673792334
39,668.882770205878
40,677.9879434249009
41,691.0129676465189
42,673.9866800484804
43,685.1539885403997
44,669.305758871487
45,672.8754454555104
46,665.391710967505
47,682.4814247763554
48,687.633198677914
49,697.1577286091367
50,638.3417544004424
51,656.5089610763863
52,654.3873202537953
53,648.0280215384646
54,695.7387735880706
55,693.2351157598441
56,631.7225693348279
57,646.0979251994801
58,634.364241847361
59,626.3280151340538
60,607.7761525745437
61,603.0014526004848
62,592.1468508880035
63,588.7955229927752
64,586.3550965670291
65,567.9902587808547
66,578.1018180339478
67,611.1438150066529
68,724.916568126066
69,770.4539470410709
70,804.8225945386575
71,747.9530015329632
72,740.7200809032767
73,768.5479929846384
74,783.3000832159693
75,794.0697526196265
76,771.0631415434515
77,796.3586657047449
78,781.9796177352875
79,789.5653247285816
80,778.381669176654
81,764.0538456048807
82,749.9393414779082
83,738.5615261713496
84,684.7677701343991
85,617.5942009659892
86,669.3675600753501
87,751.5302982050499
88,781.8251539147114
89,808.1084306694886
90,735.1071360272641
91,759.4351915069294
92,810.905391501195
93,822.22735355467
94,841.8715832393698
95,814.8432961635154
96,786.2150859000877
97,786.5281003343457
98,807.8230751647214
99,852.6821392143638
100,841.4978102288154
101,832.9984896374053
102,836.4240476030824
103,756.5553219316862
104,744.3270012966901
105,732.602916769308
106,754.2636774482035
107,770.7685927164191
108,749.4454297830106
109,797.013991849853
110,822.5266808668567
111,853.1328807175328
112,814.4459479707152
113,837.0271675373514
114,847.1414825963506
115,865.995200774204
116,835.74108987411
117,764.0975450268928
118,807.326536530327
119,851.3539288101072
120,866.9644244135798
121,825.3568068598865
122,881.2237860909424
123,876.6260260006961
124,829.9089098463149
125,903.0246412659276
126,869.6107441054364
127,782.6149841940652
128,757.7618188054537
129,774.4801183229665
130,826.9173793912198
131,844.0789709208433
132,840.0850302464826
133,872.302471992394
134,877.4037960515222
135,860.2992458194876
136,904.2927353275533
137,893.5431694561923
138,841.9512698741627
139,921.5108631553107
