t,RRI
0,849.0
1,871.5655626176404
2,834.3367848290952
3,854.5584840749976
4,840.3718978673519
5,850.0667942064312
6,865.5494365172565
7,852.5526795947238
8,813.2735276070969
9,835.9242505332735
10,823.9911862851495
11,854.4508269778054
12,827.562535803003
13,772.3567903246517
14,799.3543555426909
15,770.0242811016069
16,771.6459904437564
17,815.2182069528533
18,805.3855049679975
19,786.1981184668653
20,771.2332421956683
21,794.4220690303429
22,802.3067383570774
23,821.6165250538733
24,840.3282388788857
25,834.1076126820433
26,848.0806934325188
27,785.0094677646591
28,814.8790410872343
29,774.4469860682096
30,771.0455170374953
31,758.342554237621
32,755.5002175789751
33,736.3507060080443
34,720.5624488298486
35,714.0560764988024
36,699.1421223242655
37,666.39131138053
38,678.9687606400774
39,665.6186797242801
40,676.6586384030443
41,705.3441680733939
42,697.630811373531
43,752.9478722667691
44,763.3654428432274
45,754.9888189811323
46,799.3170078853844
47,803.6571847815279
48,791.6521285816752
49,791.2458926312477
50,737.1066295050958
51,755.3611601277871
52,731.9169243220831
53,803.6727394766283
54,772.0281641024801
55,751.6633951581657
56,730.4380742841879
57,739.6535113242173
58,755.5656447708154
59,761.3369341947543
60,749.4109949035179
61,780.7288445407496
62,772.500331630481
63,764.6767264244125
64,774.9697733833094
65,736.7032781925267
66,739.4071653392383
67,737.1291931773765
68,704.5145102712157
69,713.4254405744631
70,736.1766613178387
71,714.3555196004088
72,771.4670759571856
73,752.0846390007846
74,777.0326022598571
75,774.9851354980246
76,755.8729196226323
77,772.0009255750069
78,751.6085045294833
79,746.131246649052
80,752.6866034755482
81,729.6593651730155
82,754.3193020229361
83,713.1792931073318
84,756.7477589465511
85,719.0667035392635
86,751.5278288046044
87,717.6265168007266
88,724.4087456483753
89,710.2872937384192
90,712.930816255996
91,727.7994693589847
92,711.0454118621199
93,728.8647151781895
94,714.3607085965814
95,701.3166710987633
96,709.8575579868982
97,697.3410493234749
98,718.7669579355961
99,714.4445769436634
100,717.5530584574134
101,722.0262157627265
102,702.1194349094637
103,718.0952202476299
104,696.1095063405668
105,710.0873176125015
106,707.3503392521802
107,670.9821592529743
108,694.3979393513653
109,682.4303087873185
110,697.2872792344092
111,687.9888702107443
112,662.0650729409554
113,684.4268605294297
114,650.4726053859132
115,659.518234014167
116,665.1011558041571
117,656.5726514507452
118,678.9826048763384
119,674.2419461344864
120,702.1323480237711
121,701.6052513197064
122,708.9275512067088
123,712.7416678631151
124,694.5026996365897
125,708.8419122992917
126,675.7444363134539
127,692.1233682713134
128,673.2728981426793
129,690.1232331304776
130,686.0919588677358
131,678.8099380080318
132,694.7793689510414
133,680.0708387269668
134,704.7052762673085
135,675.069170426439
136,679.6255033082278
137,665.2491755617492
138,680.1680881227918
139,693.2475279990746
140,676.1824178050603
141,711.0081499326194
142,666.332538893721
143,707.5038016974066
144,695.0222114150985
145,683.6028665765887
146,721.1534601365655
147,675.9169693301864
148,727.9725311820291
149,699.4223131482369
150,672.5763069276663
151,700.7331390323358
152,705.5145247389631
153,700.8888368916528
154,732.1467286979482
155,719.9497729715979
156,733.0547422629505
157,713.0885949133523
158,697.6290863198293
159,725.9199547002403
160,721.0561025687188
161,738.3947386684625
162,740.1531096297433
163,716.9408872036986
164,743.5667612260129
165,694.0088951726066
166,733.5471508002913
167,708.1011802309132
168,719.0656568345719
169,727.439184530406
170,687.254871250688
171,731.6733082003153
172,701.0603140727733
173,713.5762311412827
174,709.1035482354735
175,709.8792493803736
176,711.5041498708171
177,683.5806170382156
178,706.7714544540503
179,674.4005434193303
180,700.7934646776645
181,674.1477813430105
182,712.9094331148577
183,715.5061495539485
184,719.8026798313557
185,735.5034293011221
186,704.7457167532127
187,720.2441063218498
188,700.9525015754425
189,707.9769082445071
190,695.6202120889128
191,705.7717955417554
192,714.5716626731778
193,689.6964511371863
194,667.2172460856539
195,653.2795882549317
196,668.7174578764874
197,674.9663251455962
198,703.1873194481595
199,717.7425273918624
200,694.6582414472861
201,722.6312144826999
202,676.6249388008433
203,712.2128208358383
204,669.9142871803754
205,707.2815513051925
206,696.9591431320185
207,720.8562919668892
208,728.4694113868185
209,732.3730147174244
210,740.1727331428065
211,725.7479324521628
212,720.7186479966787
213,707.5389097931115
214,699.81824386744
215,724.7430276902876
216,725.1965787694238
217,725.3057728307936
218,724.8109167315212
219,719.802129282531
220,741.9998714200373
221,755.7673448870859
222,740.3469757673201
223,753.9198168198548
224,730.5690095483292
225,728.6304424053498
226,722.1838324387018
227,696.5620089593729
228,706.1124453656234
229,710.12167930318
230,725.5158746525209
231,752.1358746758301
232,736.9830533367236
233,742.3592607315954
234,750.7978281685611
235,753.4572844704277
236,745.6654121970062
237,659.6732784970886
238,679.4843992700474
239,707.4866845198467
240,742.8107459258287
241,754.7952463583924
242,757.501676462633
243,731.9731015147723
244,733.4822486687908
245,704.8657773684234
246,719.8137337287812
247,716.9417571172052
248,709.3419997405
249,727.5312223237744
250,718.1384215634171
251,711.6472889799894
252,702.4001311532693
253,694.571921395894
254,686.9042946737659
255,682.9907121366722
256,706.125459018491
257,691.079588256436
258,730.2128858266703
259,697.0836236976845
260,729.1338313656818
261,703.6216238829444
262,729.6064279840891
263,710.0704672455665
264,734.6875729262705
265,717.8612863182263
266,735.5007100870976
267,728.7449395646887
268,725.2383111163696
269,731.3592802384485
270,729.1160788076988
271,713.3650102427473
272,722.9539336272048
273,742.8941287553357
274,756.8883091302964
275,753.8248130057503
276,740.4525626557335
277,746.8145791639757
278,711.7567376234837
279,738.4498898006061
280,736.2682320175201
281,743.3042414311996
282,767.4660212149411
283,792.5683624234932
284,799.6761436563705
285,780.54259421788
286,781.8796254572244
287,761.6984377052305
288,750.9120298950928
289,758.8474927643716
290,722.2893803454405
291,744.509380993495
292,720.729567451623
293,743.6436595202571
294,740.9863610303408
295,740.045245268801
296,748.524633209069
297,744.8595362919083
298,740.157345346834
299,732.0090855137707
300,716.8428669746831
301,718.19131410591
302,697.5310099292338
