,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
8,92.5,91.75,91.75,0.9872736913797158,0.9480242372091486,0.03924945417056713,0.75,3.75
9,118.25,117.0,117.0,0.9271417526127468,0.9167792976345941,0.010362454978152691,1.25,0.5
10,153.0,152.5,152.5,0.8398651241115891,0.8281773559243399,0.011687768187249148,0.5,0.5
11,205.5,204.0,204.0,0.7264330138951964,0.7044316048840543,0.022001409011142115,1.5,0.5
12,303.5,302.0,302.0,0.5637398669531963,0.531573157179699,0.03216670977349734,1.5,3.25
13,319.75,318.75,318.75,0.5573205969238928,0.5203710973239242,0.03694949959996863,1.0,0.75
14,333.25,332.5,332.5,0.5427979825441509,0.5095108161319084,0.0332871664122425,0.75,0.5
15,338.5,336.75,336.75,0.5247344230293478,0.507459621726226,0.017274801303121756,1.75,0.5
16,340.75,340.0,340.0,0.5277066608282156,0.503127607912762,0.024579052915453592,0.75,0.5
17,362.0,361.5,361.5,0.48768413474365163,0.4715810295707213,0.016103105172930343,0.5,0.5
18,368.5,367.0,367.0,0.49555392351315036,0.46566859610831085,0.029885327404839512,1.5,0.75
19,376.25,375.5,375.5,0.5529128909745923,0.4660952332010147,0.08681765777357758,0.75,18.25
20,377.25,376.75,376.75,0.5484207131890557,0.5325926014954513,0.01582811169360443,0.5,0.5
21,401.0,399.75,399.75,0.5315078718339293,0.5060390112609968,0.025468860572932517,1.25,1.25
22,426.5,425.0,425.0,0.510664417958759,0.4845557156521293,0.02610870230662976,1.5,0.0
