,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
7,30.25,25.75,25.75,1.0620703968287863,1.0230612675103405,0.0390091293184458,4.5,0.0
8,36.5,34.0,34.0,1.080364385988407,1.059260736374438,0.021103649613968933,2.5,0.0
9,45.25,38.0,38.0,1.1711499838448407,1.0807950917263647,0.09035489211847603,7.25,191.75
10,48.75,46.75,46.75,1.2366171954962983,1.1738700091405823,0.06274718635571608,2.0,157.5
11,58.25,56.0,56.0,1.2549981958448804,1.2302289711161392,0.024769224728741213,2.25,132.75
12,62.5,60.25,60.25,1.2815397569061526,1.2431996340299891,0.03834012287616351,2.25,117.25
13,69.0,62.75,62.75,1.37296761969341,1.2812292408493708,0.09173837884403913,6.25,82.0
14,78.25,74.75,74.75,1.4007681655323536,1.3436632011283778,0.05710496440397583,3.5,14.25
15,79.0,78.75,74.75,1.3973737307866345,1.3436632011283778,0.053710529658256734,4.25,14.75
16,106.5,104.25,104.25,1.398800903219634,1.3488292036767415,0.04997169954289249,2.25,6.25
17,107.25,107.0,104.25,1.3944396056246118,1.3488292036767415,0.04561040194787025,3.0,7.75
18,259.5,258.5,258.5,1.127219983423202,1.1154198131743154,0.011800170248886577,1.0,19.5
19,271.5,268.5,268.5,1.1350953841219988,1.123626466167346,0.011468917954652769,3.0,3.25
20,282.75,279.0,279.0,1.158826329642881,1.1198857303130951,0.038940599329785774,3.75,8.0
