,Unnamed: 0,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
0,5,38.25,36.25,36.25,1.6273527574250242,1.6135293655996124,0.013823391825411813,2.0,109.5
1,6,41.5,38.75,38.75,1.6747061048111236,1.6253994056254506,0.04930669918567298,2.75,106.25
2,7,46.5,42.0,42.0,1.7583091652111231,1.6678511284146758,0.09045803679644736,4.5,101.0
3,8,49.5,47.75,47.75,1.7585411141941554,1.7480333892659083,0.010507724928247029,1.75,1.5
4,9,68.75,66.25,66.25,1.776157511862115,1.7535067174061136,0.022650794456001263,2.5,78.5
5,10,83.75,82.75,82.75,1.7982963173719957,1.7878245640650572,0.010471753306938723,1.0,0.5
6,11,87.0,85.25,85.25,1.8070523939294256,1.7967131064297894,0.010339287499636196,1.75,1.25
7,12,90.25,89.25,89.25,1.8326185740317744,1.8043657287880244,0.02825284524375027,1.0,18.5
8,13,116.75,115.75,115.75,1.8335508625325512,1.8059230428642232,0.02762781966832817,1.0,10.25
9,14,148.75,148.0,148.0,1.7525848550060843,1.593859727422531,0.15872512758355328,0.75,25.0
10,15,149.75,149.25,149.25,1.7315041892125909,1.720703813726172,0.010800375486418991,0.5,2.5
