í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2021/01/20
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
13:59:38,1016,24.6,-0.03,-1.04,0.16,330198.607,0.779,43.783,0.05,59
13:59:39,975,24.6,-0.03,-1.01,0.22,326244.328,0.776,43.706,0.03,62
13:59:40,935,24.6,-0.03,-1.04,0.22,320341.793,0.767,43.392,0.06,64
13:59:40,915,24.6,-0.03,-1.04,0.19,313085.054,0.776,43.684,0.06,66
13:59:41,903,24.6,-0.03,-1.04,0.19,305095.265,0.764,43.300,0.06,66
13:59:42,831,24.6,-0.03,-1.01,0.25,292751.833,0.770,43.504,0.04,72
13:59:43,878,24.7,-0.03,-1.04,0.22,277184.145,0.783,43.905,0.06,68
13:59:44,902,24.7,-0.03,-1.07,0.19,264913.331,0.774,43.643,0.09,67
13:59:45,892,24.7,-0.03,-1.04,0.19,253249.575,0.768,43.439,0.06,67
13:59:45,808,24.7,-0.03,-1.04,0.16,244393.949,0.752,42.939,0.05,74
13:59:46,836,24.7,-0.03,-1.04,0.16,234405.633,0.739,42.492,0.05,72
13:59:47,872,24.7,-0.03,-1.04,0.16,234322.755,0.771,43.521,0.05,69
13:59:48,885,24.7,-0.03,-1.04,0.13,199330.205,0.744,42.645,0.05,68
13:59:49,855,24.7,-0.06,-1.04,0.19,180581.843,0.742,42.610,0.06,70
13:59:50,893,24.7,-0.03,-1.04,0.19,170422.066,0.728,42.126,0.06,67
13:59:51,973,24.7,-0.03,-1.04,0.16,160822.854,0.716,41.719,0.05,62
13:59:52,994,24.8,-0.03,-1.04,0.22,150209.870,0.696,41.051,0.06,60
13:59:53,916,24.8,-0.03,-1.01,0.28,140697.667,0.683,40.568,0.05,66
13:59:54,940,24.8,-0.03,-1.04,0.25,125259.556,0.680,40.480,0.07,64
13:59:55,962,24.8,-0.03,-1.04,0.25,117713.597,0.666,39.978,0.07,62
13:59:56,959,24.8,-0.03,-1.01,0.25,110342.318,0.650,39.380,0.04,63
13:59:56,860,24.8,-0.06,-1.01,0.28,103717.518,0.635,38.824,0.05,70
13:59:57,833,24.8,-0.06,-1.01,0.28,99035.528,0.623,38.377,0.05,72
13:59:58,869,24.8,-0.06,-1.01,0.25,95040.278,0.606,37.729,0.04,69
13:59:59,947,24.8,-0.03,-1.04,0.25,84752.021,0.619,38.225,0.07,63
14:00:00,955,24.8,-0.06,-1.01,0.25,79829.856,0.610,37.880,0.04,63
14:00:01,1003,24.8,-0.06,-1.04,0.28,74102.313,0.606,37.732,0.08,60
14:00:03,998,24.8,-0.06,-1.01,0.28,68554.974,0.601,37.528,0.05,60
14:00:03,980,24.8,-0.06,-1.01,0.25,64318.157,0.589,37.079,0.04,61
14:00:05,1022,24.8,-0.06,-1.01,0.25,61226.201,0.678,40.396,0.04,59
14:00:06,963,24.8,-0.06,-1.01,0.28,50997.207,0.607,37.759,0.05,62
14:00:07,1011,24.8,-0.06,-1.04,0.25,40380.787,0.643,39.137,0.07,59
14:00:08,1091,24.8,-0.06,-1.04,0.22,35279.596,0.648,39.326,0.06,55
14:00:09,1088,24.8,-0.06,-1.01,0.25,33132.777,0.628,38.583,0.04,55
14:00:10,1062,24.8,-0.06,-1.04,0.25,28187.027,0.632,38.743,0.07,56
14:00:11,1041,24.8,-0.06,-1.04,0.22,23709.777,0.641,39.048,0.06,58
14:00:11,929,24.9,-0.06,-1.01,0.28,17001.814,0.683,40.573,0.05,65
14:00:12,901,24.9,-0.06,-1.01,0.25,13595.953,0.704,41.331,0.04,67
14:00:13,934,24.9,-0.03,-1.01,0.22,10615.040,0.733,42.312,0.03,64
14:00:14,977,24.9,-0.06,-1.01,0.25,8245.721,0.768,43.423,0.04,61
14:00:15,927,24.9,-0.06,-1.01,0.28,6392.415,0.810,44.766,0.05,65
14:00:16,1015,24.9,-0.03,-1.01,0.25,4830.261,0.871,46.557,0.04,59
14:00:18,1064,24.9,-0.03,-1.01,0.25,2684.515,1.087,52.084,0.04,56
14:00:19,969,24.9,-0.06,-1.01,0.28,1904.991,1.258,55.722,0.05,62
14:00:20,1019,24.9,-0.03,-1.04,0.25,1381.105,1.481,59.697,0.07,59
14:00:21,1059,24.9,-0.03,-1.01,0.25,1097.691,1.687,62.786,0.04,57
14:00:21,939,24.9,-0.03,-1.01,0.28,942.474,1.857,64.998,0.05,64
14:00:22,960,24.9,-0.03,-1.01,0.25,866.721,1.977,66.406,0.04,62
14:00:23,1000,24.9,-0.03,-1.01,0.22,836.793,2.050,67.211,0.03,60
14:00:24,957,24.9,-0.06,-1.01,0.25,833.130,2.091,67.650,0.04,63
14:00:25,863,24.9,-0.03,-1.01,0.31,831.871,2.133,68.086,0.06,70
14:00:26,900,24.9,-0.03,-1.01,0.25,816.878,2.270,69.423,0.04,67
14:00:27,917,24.9,-0.03,-1.04,0.22,811.921,2.354,70.181,0.06,65
14:00:28,871,25.0,-0.03,-1.01,0.28,806.731,2.444,70.963,0.05,69
14:00:29,862,25.0,-0.03,-1.04,0.28,817.505,2.437,70.907,0.08,70
14:00:30,928,25.0,-0.03,-1.01,0.22,816.911,2.509,71.503,0.03,65
14:00:31,980,25.0,-0.03,-1.01,0.25,818.227,2.578,72.053,0.04,61
14:00:32,949,25.0,-0.03,-1.01,0.28,821.612,2.639,72.522,0.05,63
14:00:33,959,25.0,-0.03,-1.01,0.25,828.585,2.673,72.775,0.04,63
14:00:33,971,25.0,-0.03,-1.04,0.25,835.253,2.704,72.999,0.07,62
14:00:34,852,25.0,0.06,-1.01,0.28,813.313,2.864,74.122,0.05,70
14:00:35,830,25.0,-0.03,-1.04,0.28,816.910,2.882,74.240,0.08,72
14:00:36,847,25.0,-0.03,-1.04,0.25,815.653,2.917,74.472,0.07,71
14:00:37,862,25.0,-0.03,-1.01,0.31,818.016,2.918,74.479,0.06,70
14:00:37,840,25.0,-0.03,-1.01,0.31,822.256,2.898,74.349,0.06,71
14:00:38,929,25.0,-0.03,-1.01,0.25,827.951,2.862,74.103,0.04,65
14:00:40,1013,25.1,-0.03,-1.04,0.25,863.842,2.709,73.039,0.07,59
14:00:41,903,25.1,-0.03,-1.01,0.28,876.430,2.629,72.446,0.05,66
14:00:42,960,25.1,-0.03,-1.04,0.25,885.252,2.561,71.920,0.07,62
14:00:42,951,25.1,-0.03,-1.04,0.25,880.645,2.518,71.577,0.07,63
14:00:43,859,25.1,-0.03,-1.01,0.28,894.505,2.419,70.752,0.05,70
14:00:44,858,25.1,-0.03,-1.04,0.25,905.392,2.334,70.006,0.07,70
14:00:45,882,25.1,-0.03,-1.01,0.22,915.896,2.261,69.336,0.03,68
14:00:46,866,25.1,-0.03,-1.01,0.31,925.512,2.183,68.584,0.06,69
14:00:46,820,25.1,-0.03,-1.01,0.35,933.334,2.115,67.900,0.07,73
14:00:47,837,25.1,-0.03,-1.01,0.31,939.831,2.057,67.292,0.06,72
14:00:48,890,25.1,-0.03,-1.04,0.28,944.670,2.004,66.711,0.08,67
14:00:49,1012,25.1,-0.03,-1.04,0.25,948.369,1.957,66.178,0.07,59
14:00:50,932,25.1,-0.03,-0.98,0.31,951.361,1.914,65.685,0.03,64
14:00:51,903,25.1,-0.03,-1.01,0.31,952.646,1.882,65.306,0.06,66
14:00:52,972,25.1,-0.03,-1.01,0.25,951.452,1.860,65.040,0.04,62
14:00:53,987,25.1,-0.03,-1.01,0.25,948.075,1.847,64.869,0.04,61
14:00:54,912,25.1,-0.03,-1.01,0.31,945.089,1.842,64.817,0.06,66
14:00:55,866,25.1,-0.03,-1.01,0.31,941.567,1.847,64.881,0.06,69
14:00:56,908,25.1,-0.03,-1.01,0.25,937.794,1.860,65.038,0.04,66
14:00:57,917,25.1,-0.03,-1.01,0.25,934.640,1.878,65.258,0.04,65
14:00:58,863,25.1,-0.06,-1.01,0.31,932.151,1.899,65.505,0.06,70
14:00:58,867,25.1,-0.03,-1.01,0.28,930.016,1.920,65.757,0.05,69
14:00:59,901,25.2,-0.03,-1.04,0.22,929.236,1.941,65.997,0.06,67
14:01:00,942,25.2,-0.06,-1.01,0.25,930.172,1.960,66.213,0.04,64
14:01:01,912,25.2,-0.03,-1.01,0.28,945.444,1.937,65.948,0.05,66
14:01:02,938,25.2,-0.06,-1.04,0.25,950.218,1.943,66.016,0.07,64
14:01:03,900,25.2,0.22,-1.13,0.41,957.456,1.946,66.056,0.23,67
14:01:04,853,25.2,-0.03,-1.01,0.31,965.715,1.943,66.022,0.06,70
14:01:05,892,25.2,-0.06,-1.01,0.25,975.311,1.934,65.915,0.04,67
14:01:06,842,25.2,-0.06,-1.01,0.25,987.022,1.918,65.731,0.04,71
14:01:07,829,25.2,-0.06,-1.01,0.35,999.204,1.904,65.565,0.07,72
14:01:08,943,25.2,-0.06,-1.04,0.31,1012.765,1.877,65.245,0.09,64
14:01:09,1056,25.2,-0.06,-1.01,0.25,1029.280,1.842,64.814,0.04,57
14:01:10,1061,25.2,-0.06,-1.01,0.22,1046.745,1.792,64.179,0.03,57
14:01:11,992,25.2,-0.06,-1.04,0.25,1060.979,1.738,63.477,0.07,60
14:01:12,922,25.2,-0.06,-1.01,0.25,1072.650,1.692,62.848,0.04,65
14:01:12,946,25.2,-0.06,-1.01,0.25,1082.126,1.647,62.218,0.04,63
