t,RRI
0,824.0
1,872.6526551197495
2,880.1420185560066
3,861.0693797075819
4,918.8347658806573
5,934.9354453343419
6,901.8606309437613
7,929.9948312649195
8,933.7777041970131
9,866.5960187558937
10,884.35832489602
11,921.8181800014831
12,881.9827762903196
13,875.260925759573
14,901.8359587067977
15,945.5401266474848
16,939.4210649769835
17,910.9659428225839
18,904.9478243220905
19,858.2512373872693
20,882.7374773341932
21,917.4022705012596
22,934.0661711244924
23,879.7928997069162
24,871.3599844241785
25,888.3360557966192
26,854.4326509904553
27,893.618657071477
28,965.5444369244004
29,963.492289278337
30,910.7352049617685
31,933.0866988893614
32,852.9167330870974
33,809.6832276787072
34,887.0417217559389
35,895.9795011425481
36,930.6074753681405
37,950.4367848071412
38,861.480768633904
39,868.685816588175
40,855.6517352550501
41,829.535786151705
42,874.1500302576544
43,875.8754231977556
44,865.7820432547693
45,893.4844841479628
46,875.5128597800913
47,840.6477376275169
48,819.7031741868277
49,846.2522307245931
50,836.7758025258436
51,772.1836159984792
52,786.4385100384306
53,789.4291010539094
54,821.6377088839583
55,534.7034665400164
56,976.8195404635487
57,727.7838194839866
58,742.8260535333256
59,802.1739985825438
60,852.0164585383804
61,856.6726494573634
62,841.0151337988449
63,883.0069503378419
64,840.0117954199344
65,789.5508940209265
66,812.098559024452
67,819.4568988201761
68,854.7236017036796
69,806.7269115851149
70,753.2426946297946
71,738.4712724023123
72,712.3887935201741
73,681.9370480287475
74,714.2023072278932
75,748.3131802134271
76,761.7138982618286
77,800.5701475992435
78,820.0986205576099
79,810.1188699094902
80,818.7803508006841
81,843.2808004925249
82,787.4834141993215
83,799.2277502515141
84,803.6740831238202
85,829.5055143211063
86,796.8544532421138
87,822.6256140238868
88,841.054640019936
89,823.3017719994056
90,833.181644813967
91,843.995399367718
92,840.0665146347554
93,777.7496690015549
94,763.5608372451742
95,808.6897939923374
96,793.429502628705
97,778.9089405604883
98,719.2297492336519
99,718.5042162637043
100,724.3048308220881
101,741.605436216472
102,765.5616302870748
103,873.9415731176994
104,966.924367113272
105,973.5989897512374
106,934.2533746727778
107,964.3829596951022
108,919.4704986147103
109,903.028347855354
110,908.8232229890957
111,828.4376145346788
112,846.7127215985273
113,838.5569135786849
114,763.9517460369248
115,783.8182086149621
116,716.932381872748
117,742.0769159336412
118,741.0913493329975
119,698.0607152203081
120,692.2360617997317
121,698.0356660052574
122,720.7732532776877
123,740.4999137428431
124,695.5084787999142
125,707.967784207531
126,717.9099903828247
127,738.6516211674523
128,728.0920228069671
129,743.5410594996674
130,603.3872021757613
132,744.2492081667659
133,721.6780479613748
134,710.3504010585174
135,725.5025155496785
136,754.7061190326407
137,731.040102936573
138,713.1424348514819
139,737.7532602448633
140,745.4527202900425
141,718.1804614079892
142,750.4813470046751
143,737.4440820296729
144,725.2606418692172
145,760.5064440896361
146,771.3922191662151
147,737.8295363823778
148,792.302833733953
149,781.9038167169467
150,720.2028392678332
151,746.4099387170932
152,749.3788845068907
153,717.8048116841354
154,734.1645333010877
155,753.7044929883216
156,728.9729852447334
157,751.8401037340677
158,775.9251455047544
159,738.5022756326741
160,732.8794376751875
161,760.9210613769453
162,714.5279194663755
163,705.1786425130015
164,739.5912658142013
165,753.9206509663981
166,743.5157121534559
167,773.0482908122776
168,748.8483042594269
169,722.6700565365222
170,748.611805798965
171,729.3119503990446
172,720.9070458298536
173,753.3937200942755
174,727.1864779247842
175,759.8058898819971
176,739.666769055552
177,721.9854151018965
178,713.8722293877603
179,703.7275518348795
180,724.2807699636985
181,697.0917696605244
182,706.3068447830866
183,749.176687775011
184,741.4115240190079
185,705.3557662486368
186,721.0615270960535
187,722.0310489646188
188,703.0902711403915
189,709.4546723323031
190,737.6010259303819
191,702.5584348757855
192,750.4089940813091
193,756.7243796201386
194,708.4419292014312
195,721.4273424187122
196,709.1232035022733
197,696.7449264943826
198,721.4459670051144
199,729.5183694018157
200,707.5155232627305
201,732.6373707922138
202,742.3135078699337
203,727.4993315698857
204,759.0049394686666
205,768.3607894395908
206,732.0312608031431
207,739.6409487519786
208,769.9744046950675
209,789.2840968083217
210,744.6804884241155
211,765.6478146068448
212,799.5775443814673
213,777.485705846597
214,789.8608593136875
215,823.5700192812186
216,805.4179556220764
217,756.064853809093
218,788.6816096957721
219,840.7621226407724
220,801.0257206260335
221,798.9014266747794
222,810.6976352264762
223,778.3169816585892
224,765.7006442540987
225,769.0806352889102
226,742.6492000273221
227,772.2321893545893
228,788.9569516475585
229,769.8835161718055
230,747.4631188281647
231,771.0248346376643
232,754.5848477859411
233,731.8726879754089
234,752.8026509852426
235,765.0814631987265
236,737.43364039135
237,765.3497972632437
238,750.4403238648662
239,715.6219822806814
240,737.5286991999499
241,763.9789116082977
242,751.4825847841447
243,749.0923012992452
244,776.1887886119246
245,790.8604422890314
246,731.256467813592
247,726.3039707952206
248,687.2668044792146
249,683.7727844664485
250,740.6451556507133
251,802.4945519530936
252,834.4330900897384
253,783.8326490927114
254,777.1907140618436
255,781.4659327111826
256,787.1273646301136
257,733.1632094809878
258,754.1804298798345
259,781.1192711459571
260,755.4839898818127
261,772.9645423764182
262,800.9427381568189
263,817.6574624391583
264,780.4286330677302
265,755.34004984159
266,764.3523334442127
267,786.376382370986
268,770.1458859757236
269,774.4068427536374
270,788.590453704098
271,768.5118687751279
272,760.0217587554969
273,780.8015215104618
274,774.4909639280353
275,744.0190792860452
276,745.8156027284642
277,722.8144168323641
278,719.0989036697957
279,717.4313725625473
280,736.9956498923474
281,762.9596653269671
282,777.0586943907138
283,744.2721101791941
284,768.6276807381116
285,782.5146898176882
286,775.9025418980435
287,761.9238395548177
288,791.3331972206428
289,818.5026829539096
290,793.4449474672391
291,805.7348779466607
292,823.1821185081178
293,819.0878206977213
294,803.0154576488657
295,847.8382476378462
296,812.9929757163482
297,825.9930130877375
298,791.5041330560846
299,807.4294855875278
300,789.2775970840463
301,784.7723006359145
302,808.878182060324
303,790.1095924811566
