í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2021/01/20
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
15:55:23,1059,24.1,0.06,-0.94,0.47,852254.845,1.842,64.813,0.06,57
15:55:24,547,24.1,0.03,-0.91,0.50,858155.260,1.791,64.169,0.04,110
15:55:27,3200,24.2,0.06,-0.94,0.54,837509.822,1.694,62.876,0.09,19
15:55:27,1601,24.2,0.06,-0.91,0.50,842044.716,1.642,62.156,0.05,37
15:55:28,788,24.2,0.03,-0.91,0.50,819742.338,1.614,61.738,0.04,76
15:55:29,788,24.2,0.06,-0.91,0.54,808541.228,1.606,61.633,0.06,76
15:55:28,712,24.2,0.06,-0.88,0.54,767837.040,1.714,63.156,0.03,84
15:55:29,729,24.2,0.06,-0.88,0.54,753302.144,1.710,63.099,0.03,82
15:55:30,730,24.2,0.06,-0.91,0.50,747583.110,1.694,62.884,0.05,82
15:55:31,781,24.2,0.06,-0.91,0.50,704639.293,1.726,63.315,0.05,77
15:55:31,801,24.4,0.06,-0.91,0.50,675998.975,1.761,63.783,0.05,75
15:55:32,787,24.4,0.06,-0.88,0.54,727728.361,1.603,61.576,0.03,76
15:55:33,821,24.4,0.06,-0.91,0.50,702084.713,1.703,62.999,0.05,73
15:55:34,832,24.4,0.06,-0.94,0.47,681272.460,1.732,63.392,0.06,72
15:55:35,800,24.4,0.06,-0.94,0.50,671454.752,1.750,63.631,0.07,75
15:55:35,758,24.4,0.06,-0.88,0.50,640931.329,1.817,64.505,0.02,79
15:55:36,798,24.4,0.06,-0.91,0.50,637292.725,1.836,64.744,0.05,75
15:55:37,806,24.4,0.06,-0.91,0.50,641515.016,1.839,64.779,0.05,74
15:55:38,813,24.4,0.06,-0.91,0.50,610425.658,1.949,66.095,0.05,74
15:55:39,800,24.4,0.06,-0.88,0.54,602998.244,2.003,66.700,0.03,75
15:55:40,799,24.5,0.16,-0.94,0.50,693505.124,1.817,64.506,0.08,75
15:55:40,637,24.5,0.13,-0.98,0.50,714434.883,1.785,64.094,0.11,94
15:55:41,506,24.5,0.19,-0.94,0.47,704138.014,1.889,65.381,0.07,119
15:55:42,1528,24.5,0.13,-0.94,0.50,688267.755,2.006,66.737,0.08,39
15:55:43,469,24.5,0.09,-0.94,0.50,632261.118,2.061,67.327,0.08,128
15:55:45,2027,24.6,0.16,-0.94,0.50,601324.964,2.242,69.155,0.08,30
15:55:46,707,24.6,0.16,-0.91,0.50,626310.385,2.198,68.727,0.06,85
15:55:46,699,24.6,0.16,-0.91,0.50,645228.563,2.118,67.927,0.06,86
15:55:47,714,24.6,0.16,-0.91,0.50,650144.166,2.107,67.817,0.06,84
15:55:47,708,24.6,0.16,-0.91,0.54,659042.716,2.073,67.453,0.07,85
15:55:48,708,24.6,0.16,-0.88,0.50,780433.906,1.838,64.761,0.03,85
15:55:48,698,24.6,0.25,-0.94,0.57,730056.380,2.008,66.758,0.13,86
15:55:49,359,24.6,0.22,-0.98,0.54,696817.676,1.871,65.170,0.14,167
15:55:50,354,24.6,0.16,-0.94,0.54,629094.018,2.181,68.560,0.10,169
15:55:51,1486,24.6,0.19,-0.94,0.54,741060.268,1.885,65.334,0.10,40
15:55:52,738,24.6,0.16,-0.91,0.54,703708.183,1.875,65.220,0.07,81
15:55:52,689,24.6,0.16,-0.91,0.50,584743.338,2.198,68.731,0.06,87
15:55:53,686,24.6,0.19,-0.88,0.50,692402.355,1.795,64.218,0.03,87
15:55:54,670,24.6,0.13,-0.88,0.50,674820.466,1.778,64.004,0.02,90
15:55:54,701,24.6,0.16,-0.91,0.50,555306.404,2.114,67.887,0.06,86
15:55:55,718,24.7,0.19,-0.91,0.50,543984.949,2.067,67.398,0.06,84
15:55:56,683,24.7,0.16,-0.88,0.50,536354.380,2.024,66.934,0.03,88
15:55:57,718,24.7,0.16,-0.88,0.50,539417.069,1.945,66.050,0.03,84
15:55:58,754,24.7,0.16,-0.88,0.50,529864.022,1.896,65.466,0.03,80
15:55:59,1286,24.7,0.19,-1.01,0.57,457447.208,2.018,66.861,0.17,47
15:55:59,437,24.8,0.19,-0.98,0.50,459051.484,1.879,65.272,0.11,137
15:56:01,1296,24.8,0.28,-0.91,0.50,433610.750,1.899,65.509,0.08,46
15:56:01,737,24.8,0.25,-0.88,0.47,401079.313,1.628,61.941,0.03,81
15:56:02,698,24.8,0.25,-0.88,0.50,325399.583,1.940,65.990,0.05,86
15:56:02,717,24.8,0.25,-0.85,0.50,284241.065,1.985,66.494,0.02,84
15:56:03,710,24.8,0.28,-0.88,0.50,275712.272,1.890,65.394,0.05,85
15:56:05,737,24.8,0.25,-0.88,0.50,293745.669,1.797,64.249,0.05,81
15:56:05,525,24.8,0.25,-0.88,0.54,276584.463,1.754,63.684,0.06,114
15:56:07,1622,24.8,0.25,-1.04,0.60,266068.557,1.727,63.335,0.23,37
15:56:10,1013,24.8,-0.35,-1.04,0.25,221767.163,1.631,61.995,0.12,59
15:56:12,1770,24.8,-0.28,-1.04,0.47,196561.807,1.537,60.588,0.18,34
15:56:14,2352,24.9,-0.28,-0.98,0.41,141507.947,1.362,57.671,0.10,26
15:56:13,404,24.9,-0.28,-0.98,0.35,155493.755,1.151,53.504,0.07,149
15:56:15,2393,24.9,-0.22,-0.98,0.57,144537.249,0.943,48.534,0.15,25
15:56:15,426,24.9,0.19,-0.88,0.50,135509.830,0.907,47.573,0.03,141
15:56:15,510,24.9,0.16,-0.88,0.54,132889.078,0.838,45.589,0.04,118
15:56:15,658,24.9,0.19,-0.88,0.50,133220.108,0.777,43.715,0.03,91
15:56:16,693,24.9,0.19,-0.91,0.54,131395.600,0.744,42.644,0.08,87
15:56:17,766,24.9,0.16,-0.91,0.54,130432.008,0.719,41.826,0.07,78
15:56:17,652,24.9,0.16,-0.88,0.54,135504.195,0.650,39.399,0.04,92
15:56:18,383,24.9,0.16,-0.88,0.54,136533.630,0.625,38.456,0.04,157
15:56:21,2079,25.0,0.19,-0.88,0.57,142954.307,0.591,37.131,0.07,29
15:56:22,750,25.0,0.19,-0.88,0.54,139877.019,0.566,36.144,0.05,80
15:56:22,361,25.0,0.16,-0.88,0.50,164285.135,0.498,33.242,0.03,166
15:56:23,857,25.0,0.19,-0.88,0.50,166142.968,0.488,32.783,0.03,70
15:56:25,1705,25.0,0.19,-0.88,0.54,183797.982,0.452,31.128,0.05,35
15:56:26,739,25.0,0.19,-0.88,0.54,210550.959,0.388,27.977,0.05,81
15:56:26,474,25.0,0.19,-0.91,0.63,206051.861,0.377,27.400,0.13,127
15:56:28,1774,25.0,0.22,-1.01,0.66,222244.507,0.356,26.257,0.23,34
15:56:28,732,25.1,0.19,-0.88,0.54,256311.320,0.314,23.872,0.05,82
15:56:28,774,25.1,0.19,-0.88,0.50,294325.274,0.289,22.393,0.03,78
15:56:29,825,25.1,0.19,-0.88,0.50,321576.735,0.273,21.447,0.03,73
15:56:30,785,25.1,0.19,-0.88,0.54,354140.700,0.257,20.458,0.05,76
15:56:31,825,25.1,0.19,-0.88,0.50,387971.006,0.245,19.682,0.03,73
15:56:32,786,25.1,0.19,-0.88,0.54,423194.453,0.235,19.034,0.05,76
15:56:33,791,25.1,0.19,-0.88,0.54,460680.820,0.226,18.462,0.05,76
15:56:33,764,25.1,0.19,-0.88,0.50,498201.183,0.221,18.089,0.03,79
