t,RRI
0,774.0
1,767.4687976824123
2,739.0224986658644
3,774.8252068581548
4,785.6559288030575
5,774.2757192143364
6,796.5833519932266
7,841.0926888416583
8,832.2485485579854
9,604.3492099180584
12,616.9238021230759
13,670.8878216137532
14,697.0777778041077
15,724.2834794051982
16,708.8478307850086
17,680.5186959070982
18,678.1031750628133
19,642.7643773249649
20,618.8862967408112
21,630.8475246544248
22,719.6616145387818
23,844.0220190776507
24,873.0646879201538
25,920.4341782626029
26,934.6368895521293
27,902.0745003906377
28,764.4334693807816
29,735.0750509988894
30,788.6051955479772
31,876.2923766523497
32,894.9596845190986
33,825.6111571416811
34,799.069635723729
35,841.5781746437391
36,871.3687701379489
37,886.0809957709209
38,793.8300536806689
39,762.3742373217923
40,781.0787140241808
41,790.6711657243399
42,818.4050563978669
43,848.6648536268578
44,885.8247099175659
45,857.5891901713762
46,841.0506754878509
47,897.6532086885363
48,888.6334688338864
49,793.0493988445082
50,776.6798884205404
51,802.8402077427223
52,871.634032509235
53,854.7360029051135
54,862.5680470158959
55,881.0627298566485
56,880.3322105921039
57,822.8714282437993
58,775.5450340187043
59,790.776696585419
60,838.4888545549329
61,816.9661194616882
62,743.6927302203076
63,763.8743136772584
64,769.3482001594256
65,759.3889200239458
66,731.7344602051535
67,757.9960609931993
68,788.6095295076357
69,793.4894280337697
70,707.8417252362071
71,701.1730264397979
72,741.2327871817755
73,764.9440120845388
74,743.9633860559954
75,759.5189620110397
76,810.068509763579
77,826.0971130097128
78,769.6430500095283
79,793.5262236141363
80,796.9530650366142
81,783.268478051721
82,722.3564090110536
83,692.3053846045583
84,686.0019757585798
85,743.8586537173064
86,861.7161707387138
87,924.4576929712289
88,896.3022964296099
89,813.2561928042302
90,805.8376168561432
91,820.6753820841758
92,844.2509786740383
93,770.3956802773315
94,735.2737541076206
95,756.6127471598696
96,789.4316566652858
97,824.5060293246527
98,766.9544088221535
99,803.8209392690037
100,810.7986155493603
101,837.9662182909361
102,810.9361515009916
103,742.9352997807739
104,729.5174130236161
105,720.7316693070529
106,716.2558123033856
107,744.7075810000343
108,708.9020055674351
109,668.0512684637121
110,675.1740762831988
111,730.6779572809141
112,775.4968152875567
113,758.6218653411828
114,778.1817516507596
115,781.81728369382
116,713.3573891514183
117,729.514822153961
118,744.9756699719857
119,750.3753137571043
120,754.5426256075463
121,777.6054432299374
122,750.1806379975831
123,730.7234680959283
124,738.5969123223322
125,736.2741663739832
126,799.9261892803553
127,723.6549153453786
128,727.7929404237367
129,744.7179435424215
130,750.7524045687549
131,730.4242051545752
132,722.3937823595086
133,720.574650253925
134,772.3409634563004
135,783.9871083169178
136,753.0771970026558
137,776.6372471647354
138,816.3100060835837
139,817.6779432732503
140,768.6966058072745
141,768.4536215795363
142,776.532597957688
143,775.0452609173126
144,717.6593705843856
145,731.612129587391
146,774.0673352602754
147,769.9129445857233
148,746.7949522969824
149,753.0293562393832
150,774.4953210502985
151,723.9067718721763
152,767.7803074117144
153,766.8511992008459
154,747.6374088048668
155,733.5711172408535
156,766.8219177607788
157,794.3732396947319
158,773.1645986502325
159,710.0781873973831
160,743.1142916278079
161,777.5527410477722
162,798.682668605196
163,781.1188252027129
164,742.5538843590197
165,747.0336008607554
166,760.2477370686166
167,703.639929505646
168,726.1755431296415
169,737.0669106683634
170,750.9933208604143
171,740.862814185665
172,786.6778631016575
173,836.4046235817975
174,807.0209316607143
175,760.2180726164698
176,795.1976678317088
177,773.250037624175
178,732.0851461723238
179,757.447751944104
180,759.4270876302746
181,770.3463788833583
182,748.0943066281894
183,769.3328743331915
184,795.5111892956619
185,792.6837117500102
186,715.9270784432016
187,729.5333168041666
188,756.0382333073726
189,810.3951987955203
190,778.5419960481651
191,812.0960762998602
192,829.0269329745674
193,799.941734382277
194,752.0462894183989
195,762.0186788415907
196,778.4583000428627
197,745.8352205409703
198,716.2352046073861
199,740.7280678990629
200,787.2498879090683
201,812.9428206205827
202,758.6900316419657
203,745.1273790874322
