answer,choicedCardRule,sortingRule,RT
1,1,0,1539.3288
2,-1,0,2004.8842
2,-1,0,2002.7597
0,0,0,952.2548
0,0,0,904.863
0,0,0,908.3684
0,0,0,1403.2471
0,0,0,1316.5818
0,0,0,764.7058
1,0,2,1251.735
1,1,2,947.1629
2,-1,2,2010.4463
2,-1,2,2007.8937
0,2,2,1084.9372
0,2,2,1018.8289
0,2,2,1173.136
0,2,2,860.3731
0,2,2,1188.5326
0,2,2,893.2044
1,2,0,795.8806
1,1,0,1107.7016
0,0,0,1565.726
0,0,0,779.1152
2,-1,0,2012.0532
0,0,0,979.0871
0,0,0,1453.0313
0,0,0,931.044
0,0,0,1068.1362
1,0,2,828.1013
1,1,2,1091.2935
0,2,2,939.881
0,2,2,1204.4904
0,2,2,1276.8295
0,2,2,1068.5293
0,2,2,957.3713
0,2,2,1171.4453
1,2,0,1294.3134
0,0,0,1115.2188
0,0,0,755.929
0,0,0,1165.5123
0,0,0,1571.767
0,0,0,1716.4621
0,0,0,716.596
1,0,2,908.6701
0,2,2,1076.3615
0,2,2,755.9012
0,2,2,1462.0294
0,2,2,1363.4609
0,2,2,1140.8963
0,2,2,884.9875
1,2,1,1052.7876
0,1,1,1100.262
0,1,1,988.3777
0,1,1,876.7899
0,1,1,1900.1177
0,1,1,1164.4715
0,1,1,1348.4978
1,1,0,972.5481
0,0,0,1035.8272
0,0,0,723.709
0,0,0,1244.3073
0,0,0,1868.6597
0,0,0,1812.7897
0,0,0,988.7848
1,0,2,1219.9742
0,2,2,1060.4176
0,2,2,908.9586
0,2,2,1330.9842
0,2,2,765.0881
0,2,2,836.4138
0,2,2,1006.0239
1,2,0,835.8799
1,1,0,1187.1534
0,0,0,1092.0141
0,0,0,692.3651
0,0,0,821.0305
0,0,0,996.1304
0,0,0,917.0489
0,0,0,860.4002
1,0,1,844.0629
0,1,1,1459.9109
0,1,1,1139.2011
0,1,1,1645.0539
0,1,1,1507.9632
0,1,1,1300.6234
0,1,1,1041.903
1,1,0,1157.1706
1,2,0,1691.7338
0,0,0,940.6898
0,0,0,907.4922
0,0,0,885.0188
0,0,0,1085.8933
0,0,0,1019.6474
0,0,0,1444.9775
0,1,1,1628.3985
0,1,1,797.0647
