answer,choicedCardRule,sortingRule,time 
1,1,0,1511.1311 
0,0,0,1934.0357 
0,0,0,1317.8864 
0,0,0,978.2457 
0,0,0,1468.0535 
0,0,0,995.2223 
0,0,0,820.6493 
1,0,1,931.7218 
0,1,1,1442.8408 
0,1,1,1268.2961 
0,1,1,1608.9861 
0,1,1,1396.3331 
0,1,1,1425.6456 
0,1,1,1546.4764 
1,1,2,1330.5599 
1,0,2,1202.2669 
0,2,2,1547.3891 
0,2,2,1619.7814 
0,2,2,1250.3945 
0,2,2,1628.9299 
0,2,2,1147.4838 
0,2,2,1219.4295 
1,2,1,1451.9528 
0,1,1,1018.1823 
0,1,1,1530.4353 
0,1,1,3155.674 
0,1,1,1747.4226 
0,1,1,1442.8209 
0,1,1,1916.3097 
1,1,0,922.5139 
0,0,0,1060.395 
0,0,0,986.5758 
0,0,0,1851.3461 
1,1,0,1580.8669 
1,1,0,2418.0384 
1,2,0,2539.436 
0,0,0,2635.7897 
0,0,0,755.8102 
0,0,0,1859.7379 
0,0,0,1843.0644 
0,0,0,2139.9474 
0,0,0,2020.6957 
1,0,1,1756.4548 
0,1,1,1603.2966 
0,1,1,1082.1369 
0,1,1,1843.5592 
0,1,1,1467.4916 
0,1,1,891.1933 
