answer,choicedCardRule,sortingRule,RT 
1,2,0,1315.689 
0,0,0,914.8767 
0,0,0,719.8356 
0,0,0,772.3415 
0,0,0,1044.0791 
0,0,0,1140.8063 
0,0,0,964.6558 
1,0,1,900.8053 
1,2,1,988.9165 
0,1,1,1156.4905 
0,1,1,1491.4767 
0,1,1,1156.8866 
0,1,1,1420.6968 
0,1,1,1252.2853 
0,1,1,1156.0567 
1,1,0,1181.7275 
1,2,0,1059.7555 
1,1,0,1377.3935 
1,1,0,1637.6068 
1,1,0,1315.8642 
1,2,0,885.2278 
1,2,0,1044.0213 
1,2,0,1828.9916 
1,2,0,1140.7735 
1,2,0,1174.4548 
1,1,0,1730.8536 
0,0,0,1044.3574 
0,0,0,1844.5833 
0,0,0,1107.8258 
1,2,0,1244.0031 
0,0,0,1892.3932 
1,2,0,1939.4777 
1,2,0,1109.1984 
0,0,0,1388.0411 
0,0,0,1292.1161 
0,0,0,1004.4083 
0,0,0,1467.3961 
0,0,0,1180.4883 
0,0,0,1380.5649 
1,0,2,1374.9468 
1,1,2,1796.8603 
0,2,2,1012.2991 
0,2,2,1332.3918 
0,2,2,699.453 
0,2,2,707.9932 
0,2,2,901.0033 
0,2,2,957.2305 
1,2,1,940.5072 
0,1,1,2242.9028 
1,2,1,2133.8155 
1,0,1,1107.9746 
1,0,1,1845.3807 
0,1,1,1533.221 
0,1,1,1941.7305 
0,1,1,1387.8777 
0,1,1,1388.8181 
0,1,1,1436.9001 
0,1,1,1029.0008 
1,1,2,1475.1865 
0,2,2,1292.8587 
0,2,2,916.7362 
0,2,2,1437.1406 
0,2,2,1540.4687 
0,2,2,1220.6435 
0,2,2,1484.709 
1,2,0,1219.6977 
0,0,0,1668.4387 
0,0,0,1307.6586 
0,0,0,1413.1774 
0,0,0,1740.7089 
0,0,0,1212.5014 
0,0,0,1468.8345 
1,0,2,1155.9132 
1,1,2,1460.0456 
0,2,2,2085.556 
0,2,2,964.7964 
0,2,2,1540.7568 
0,2,2,1387.8154 
0,2,2,1492.2674 
0,2,2,1100.7981 
1,2,0,973.2137 
1,1,0,1676.6882 
0,0,0,2820.781 
0,0,0,835.5551 
0,0,0,1204.0557 
0,0,0,1460.607 
0,0,0,948.9783 
0,0,0,948.4652 
1,0,2,1156.8276 
0,2,2,1541.3097 
0,2,2,1140.1227 
0,2,2,972.9153 
0,2,2,868.2956 
0,2,2,1131.3506 
0,2,2,2549.2731 
1,2,0,980.1097 
