answer,choicedCardRule,sortingRule,RT 
0,0,0,2435.6496 
0,0,0,1660.1132 
0,0,0,970.1923 
0,0,0,882.8323 
0,0,0,1194.1778 
0,0,0,1155.0687 
1,0,1,915.3466 
0,1,1,1503.9552 
0,1,1,1778.8689 
0,1,1,1970.8822 
0,1,1,1601.9492 
0,1,1,1826.7273 
0,1,1,1762.9357 
1,1,2,1106.4048 
1,0,2,1795.4751 
0,2,2,1835.8105 
0,2,2,1104.5118 
0,2,2,1603.8696 
0,2,2,1661.9946 
0,2,2,1657.975 
1,1,2,1547.069 
0,2,2,1458.3262 
0,2,2,1187.3801 
0,2,2,1218.4289 
0,2,2,1361.7273 
0,2,2,939.0005 
0,2,2,905.9814 
1,2,1,1130.8449 
0,1,1,1627.7908 
0,1,1,1474.542 
0,1,1,1476.1915 
0,1,1,1395.6765 
0,1,1,1458.7615 
0,1,1,1677.6976 
1,1,0,1587.9374 
0,0,0,2122.3123 
0,0,0,1156.2444 
1,1,0,1076.5448 
0,0,0,1186.9488 
0,0,0,1201.639 
1,1,0,1210.4178 
0,0,0,1107.4336 
0,0,0,1234.7765 
0,0,0,964.158 
0,0,0,1675.0129 
0,0,0,2953.9372 
0,0,0,1058.5138 
1,0,1,987.0361 
