answer,choicedCardRule,sortingRule,RT 
2,-1,0,2009.53 
2,-1,0,1809.2482 
2,-1,0,1801.3047 
1,1,0,426.0909 
1,2,0,773.5449 
1,1,0,1287.3283 
1,1,0,1451.8884 
0,0,0,1469.6865 
0,0,0,1198.0134 
0,0,0,909.7889 
0,0,0,643.8613 
0,0,0,661.5984 
2,-1,0,1279.7224 
0,0,0,772.7425 
2,-1,1,1119.2306 
1,3,1,123.7773 
2,-1,1,1031.8135 
0,1,1,636.6022 
2,-1,1,958.8735 
0,1,1,1021.4411 
0,1,1,979.999 
0,1,1,908.6383 
0,1,1,1110.2451 
0,1,1,965.4611 
1,1,0,1055.5775 
2,-1,0,1320.2717 
1,2,0,1060.0837 
2,-1,0,1445.6595 
1,1,0,1263.6258 
2,-1,0,1610.495 
0,0,0,856.4804 
2,-1,0,1625.8484 
1,1,0,1643.1627 
0,0,0,1037.7656 
0,0,0,805.2108 
0,0,0,653.1146 
0,0,0,773.1696 
0,0,0,1085.6961 
0,0,0,886.2922 
1,0,2,940.326 
1,0,2,733.6059 
1,1,2,1061.8969 
2,-1,2,1235.1262 
0,2,2,984.8439 
1,3,2,1142.4041 
0,2,2,868.3685 
0,2,2,932.7892 
0,2,2,798.0152 
0,2,2,719.0554 
0,2,2,820.5622 
2,-1,2,1079.9998 
0,2,2,876.2226 
1,2,0,733.2829 
1,2,0,964.6428 
0,0,0,789.2952 
2,-1,0,1160.117 
0,0,0,588.2082 
0,0,0,733.564 
0,0,0,773.9223 
0,0,0,692.5018 
0,0,0,982.4705 
1,0,2,540.4976 
1,0,2,916.5855 
1,0,2,893.6327 
0,2,2,989.7038 
0,2,2,957.1494 
0,2,2,1021.6408 
0,2,2,509.4293 
0,2,2,532.3761 
0,2,2,749.3151 
1,2,0,902.0008 
2,-1,0,984.5628 
2,-1,0,971.4656 
2,-1,0,1085.147 
0,0,0,1030.0983 
0,0,0,757.2804 
0,0,0,725.4754 
0,0,0,918.1241 
0,0,0,628.3698 
0,0,0,1037.8218 
1,0,1,980.6993 
1,0,1,949.5957 
1,2,1,1117.8774 
1,3,1,765.5593 
1,2,1,1036.4647 
1,0,1,821.6929 
1,0,1,468.0285 
1,2,1,988.9333 
0,1,1,917.2387 
2,-1,1,1109.399 
2,-1,1,1136.8813 
0,1,1,1045.0508 
0,1,1,1179.7917 
0,1,1,1077.638 
2,-1,1,1450.054 
0,1,1,1247.5425 
