,task1,task2,task3,task4
correct,0.7604166666666666,0.6447368421052632,0.7604166666666666,0.6716417910447762
error,0.23958333333333334,0.35526315789473684,0.23958333333333334,0.3283582089552239
CA,12.0,7.0,11.0,5.0
PE,0.041666666666666664,0.10526315789473684,0.041666666666666664,0.11940298507462686
NPE,0.19791666666666666,0.25,0.19791666666666666,0.208955223880597
PEm,0.17708333333333334,0.19736842105263158,0.16666666666666666,0.19402985074626866
NPEm,0.0625,0.15789473684210525,0.07291666666666667,0.13432835820895522
DMS,0.0,0.0,0.010416666666666666,0.04477611940298507
TO,0.0,20.0,0.0,29.0
RT,1306.8279520833337,984.6586260416666,1259.6340374999997,911.9903166666668
