answer,choicedCardRule,sortingRule,RT 
0,0,0,2943.7872 
0,0,0,4636.2688 
0,0,0,1143.5717 
0,0,0,896.195 
0,0,0,1257.0795 
0,0,0,877.7934 
1,0,2,845.2593 
0,2,2,2157.0665 
0,2,2,3600.9926 
0,2,2,1344.2458 
0,2,2,1153.6501 
0,2,2,1469.5536 
0,2,2,1517.9556 
1,2,0,1965.6651 
1,2,0,1344.6171 
1,2,0,1209.8583 
0,0,0,1805.4303 
0,0,0,1932.8613 
0,0,0,909.0662 
0,0,0,1316.8795 
1,2,0,1165.7848 
1,2,0,3654.5477 
1,1,0,4072.3727 
0,0,0,1541.4248 
0,0,0,1933.5488 
0,0,0,1333.9711 
0,0,0,1025.6673 
0,0,0,1048.1425 
0,0,0,1000.6282 
1,0,1,944.8264 
1,2,1,2685.639 
0,1,1,2413.892 
0,1,1,1789.6398 
0,1,1,1317.5931 
0,1,1,1173.2211 
0,1,1,1389.5056 
0,1,1,1699.9475 
1,1,2,1438.2434 
1,0,2,1820.6077 
0,2,2,1413.2978 
0,2,2,1509.7313 
0,2,2,1157.8785 
0,2,2,1141.6117 
0,2,2,949.7826 
0,2,2,941.2813 
1,2,0,1181.9632 
0,0,0,1597.967 
0,0,0,1669.3563 
