answer,choicedCardRule,sortingRule,RT 
2,-1,0,2003.8744 
1,2,0,907.667 
1,2,0,908.6407 
0,0,0,804.8587 
0,0,0,757.4041 
0,0,0,732.1404 
0,0,0,708.3106 
2,-1,0,955.6126 
2,-1,0,959.4696 
2,-1,0,996.1584 
0,0,0,776.5953 
0,0,0,788.6565 
1,0,1,956.2794 
2,-1,1,1094.3059 
1,2,1,978.9774 
2,-1,1,1121.4897 
0,1,1,1022.6163 
0,1,1,740.1567 
2,-1,1,1209.0286 
2,-1,1,1222.16 
0,1,1,797.2239 
0,1,1,1108.1327 
2,-1,1,1229.6059 
0,1,1,1162.8987 
2,-1,1,1330.3427 
1,2,1,895.2062 
2,-1,1,1379.0009 
1,2,1,1035.5485 
1,2,1,877.089 
0,1,1,1061.2498 
0,1,1,916.7923 
0,1,1,837.2294 
0,1,1,1133.1509 
0,1,1,869.3081 
2,-1,1,1157.5494 
2,-1,1,1185.3465 
1,0,1,1146.7214 
0,1,1,836.7152 
0,1,1,836.4288 
2,-1,1,1245.9251 
0,1,1,917.5953 
0,1,1,1012.6791 
2,-1,1,1168.5134 
0,1,1,1162.8241 
0,1,1,948.6315 
1,1,0,948.0557 
2,-1,0,1257.2427 
2,-1,0,1336.3735 
1,2,0,663.5095 
2,-1,0,1247.7259 
0,0,0,766.5506 
0,0,0,756.8824 
0,0,0,868.9934 
0,0,0,988.7874 
0,0,0,917.0557 
0,0,0,917.4401 
1,0,2,612.7549 
2,-1,2,1041.7763 
0,2,2,832.0092 
0,2,2,844.9659 
0,2,2,701.0261 
0,2,2,828.9356 
0,2,2,829.561 
0,2,2,652.7216 
1,2,0,717.2699 
2,-1,0,915.6297 
0,0,0,694.1848 
2,-1,0,931.6798 
2,-1,0,948.2936 
0,0,0,639.0991 
0,0,0,580.0833 
0,0,0,884.789 
2,-1,0,964.4274 
2,-1,0,966.5441 
0,0,0,597.3078 
0,0,0,572.9293 
1,0,2,804.7269 
2,-1,2,947.5899 
0,2,2,839.4721 
0,2,2,749.1137 
0,2,2,813.1891 
0,2,2,757.0291 
0,2,2,821.1915 
2,-1,2,957.4755 
0,2,2,677.5594 
2,-1,0,971.8854 
2,-1,0,1007.9515 
1,2,0,556.4441 
2,-1,0,1020.6505 
1,2,0,917.6574 
2,-1,0,1080.6203 
1,2,0,1067.041 
1,1,0,804.8015 
0,0,0,772.778 
0,0,0,757.5086 
0,0,0,749.1862 
