answer,choicedCardRule,sortingRule,RT 
0,0,0,2344.7794 
0,0,0,1140.7619 
0,0,0,1092.519 
0,0,0,476.8048 
0,0,0,1068.8104 
0,0,0,516.66 
1,0,1,436.5504 
1,2,1,1852.8443 
1,0,1,948.6738 
1,2,1,1568.9353 
1,2,1,1316.2472 
1,0,1,772.7743 
1,2,1,2693.2027 
1,0,1,1020.6274 
1,2,1,964.6034 
0,1,1,1988.7038 
0,1,1,1525.033 
0,1,1,1076.752 
0,1,1,1428.7221 
0,1,1,3260.9159 
0,1,1,924.6141 
1,1,2,1324.2123 
0,2,2,1628.7076 
0,2,2,1076.6625 
1,3,2,668.5367 
0,2,2,740.4374 
0,2,2,836.7301 
0,2,2,980.7451 
0,2,2,764.998 
0,2,2,1356.7274 
0,2,2,996.6796 
1,2,0,836.7181 
0,0,0,980.7656 
0,0,0,1636.6416 
0,0,0,588.4422 
0,0,0,796.6191 
0,0,0,476.505 
0,0,0,1029.1863 
1,0,1,796.6355 
1,2,1,1292.9673 
0,1,1,1084.8649 
0,1,1,1148.6555 
0,1,1,1197.0627 
0,1,1,868.4416 
0,1,1,484.4555 
0,1,1,916.772 
1,1,2,1316.8601 
1,0,2,1764.9712 
0,2,2,1092.8424 
0,2,2,1226.7621 
0,2,2,875.7981 
0,2,2,923.0217 
0,2,2,492.8999 
0,2,2,931.4217 
1,2,0,1005.0743 
1,1,0,3242.6005 
0,0,0,972.0025 
0,0,0,772.3892 
0,0,0,475.2629 
0,0,0,547.0214 
0,0,0,1059.6412 
0,0,0,658.8608 
1,0,1,955.1475 
1,2,1,1427.3364 
0,1,1,1211.7238 
0,1,1,1114.8633 
0,1,1,1827.2914 
0,1,1,893.1591 
0,1,1,498.6965 
0,1,1,1211.2041 
1,1,2,1323.7251 
0,2,2,1811.1949 
0,2,2,1067.3309 
0,2,2,507.432 
0,2,2,755.0012 
0,2,2,1507.281 
0,2,2,588.8553 
1,2,1,931.716 
1,0,1,1381.0031 
1,2,1,1187.401 
0,1,1,2275.1965 
0,1,1,1051.5975 
0,1,1,1243.8807 
0,1,1,1027.3 
0,1,1,1627.875 
0,1,1,835.1448 
1,1,0,1051.7481 
1,2,0,682.1938 
1,1,0,947.2334 
0,0,0,1475.3308 
0,0,0,739.1621 
0,0,0,1324.821 
0,0,0,1396.0873 
0,0,0,626.1483 
0,0,0,411.653 
1,0,1,458.8455 
