answer,choicedCardRule,sortingRule,RT 
0,0,0,1239.0449 
0,0,0,3566.5094 
0,0,0,1567.3311 
0,0,0,831.9985 
0,0,0,1015.1541 
0,0,0,963.5699 
1,0,2,1011.6314 
1,1,2,1899.5572 
0,2,2,2487.3448 
0,2,2,1495.9158 
0,2,2,1790.9443 
0,2,2,976.0898 
0,2,2,1503.7477 
0,2,2,1159.1604 
1,2,0,858.9398 
1,2,0,1502.2801 
0,0,0,1369.1948 
0,0,0,1244.3099 
0,0,0,723.7324 
0,0,0,1083.3735 
0,0,0,844.2392 
0,0,0,771.9502 
1,0,2,834.7356 
1,0,2,847.9545 
1,3,2,503.7725 
1,0,2,1196.02 
0,2,2,1228.1702 
0,2,2,1132.0224 
0,2,2,1063.2092 
0,2,2,837.3336 
0,2,2,964.9664 
0,2,2,1228.2784 
1,2,0,763.7096 
0,0,0,1628.6313 
0,0,0,1067.2125 
0,0,0,835.0869 
0,0,0,1251.0168 
0,0,0,716.431 
0,0,0,739.3078 
1,0,2,1226.9582 
0,2,2,1226.878 
0,2,2,1285.2839 
0,2,2,842.5343 
0,2,2,940.8907 
0,2,2,1035.1253 
0,2,2,731.0391 
1,2,1,1083.4107 
1,2,1,1347.3242 
