answer,choicedCardRule,sortingRule,RT 
2,-1,0,2019.0061 
2,-1,0,1801.0576 
0,0,0,964.0908 
0,0,0,1517.1972 
0,0,0,1117.8945 
0,0,0,957.4518 
0,0,0,1013.9144 
0,0,0,853.8838 
1,0,1,613.4189 
2,-1,1,1184.095 
2,-1,1,1205.351 
2,-1,1,1267.9389 
2,-1,1,1336.4745 
2,-1,1,1457.7635 
0,1,1,1401.0499 
2,-1,1,1748.0908 
0,1,1,1049.2496 
0,1,1,853.0157 
0,1,1,1597.9719 
0,1,1,1389.9538 
0,1,1,1245.7225 
1,1,2,1006.0286 
2,-1,2,1596.5616 
1,0,2,1407.5763 
2,-1,2,1732.4646 
0,2,2,896.9441 
0,2,2,845.5183 
1,0,2,876.792 
0,2,2,1069.6408 
2,-1,2,1409.1658 
0,2,2,1003.2128 
0,2,2,1133.0341 
0,2,2,813.6142 
0,2,2,981.5264 
0,2,2,669.7111 
1,2,0,1077.7523 
2,-1,0,1226.6792 
2,-1,0,1255.9739 
1,2,0,1074.2055 
2,-1,0,1393.2289 
2,-1,0,1581.2011 
0,0,0,1453.9139 
0,0,0,1597.5323 
0,0,0,1397.4194 
1,2,0,797.4299 
0,0,0,1203.6357 
0,0,0,733.4695 
0,0,0,821.315 
1,1,0,918.0011 
2,-1,0,1174.8647 
0,0,0,957.5629 
0,0,0,877.9474 
0,0,0,781.5036 
0,0,0,789.6329 
0,0,0,806.1175 
0,0,0,965.6078 
1,0,2,757.3961 
2,-1,2,1072.1806 
2,-1,2,1148.351 
0,2,2,1135.3162 
0,2,2,901.3471 
0,2,2,1101.703 
0,2,2,781.5346 
0,2,2,1284.7289 
0,2,2,502.3651 
1,2,1,653.2351 
1,0,1,1117.1704 
2,-1,1,1130.446 
0,1,1,881.9165 
2,-1,1,1117.1391 
0,1,1,1111.3513 
0,1,1,1221.5618 
2,-1,1,1421.5732 
0,1,1,1415.2986 
2,-1,1,1641.7541 
2,-1,1,1779.5939 
0,1,1,1195.0678 
0,1,1,1109.6563 
1,1,2,925.2557 
1,1,2,1349.5365 
0,2,2,1333.4958 
0,2,2,1525.3464 
0,2,2,605.7807 
0,2,2,845.0835 
0,2,2,806.1044 
0,2,2,821.3467 
1,2,1,900.2237 
1,2,1,573.5039 
1,0,1,885.5886 
2,-1,1,1044.3416 
2,-1,1,1099.3377 
0,1,1,964.4099 
0,1,1,909.4074 
2,-1,1,1287.9077 
2,-1,1,1395.7301 
0,1,1,1009.3576 
