,task1,task2,task3,task4
correct,0.8020833333333334,0.7681159420289855,0.7368421052631579,0.7846153846153846
error,0.19791666666666666,0.2318840579710145,0.2631578947368421,0.2153846153846154
CA,12.0,7.0,10.0,7.0
PE,0.010416666666666666,0.07246376811594203,0.07368421052631578,0.046153846153846156
NPE,0.1875,0.15942028985507245,0.18947368421052632,0.16923076923076924
PEm,0.125,0.15942028985507245,0.17894736842105263,0.13846153846153847
NPEm,0.07291666666666667,0.07246376811594203,0.08421052631578947,0.07692307692307693
DMS,0.010416666666666666,0.043478260869565216,0.021052631578947368,0.015384615384615385
TO,0.0,27.0,1.0,31.0
RT,1522.691065625,1121.7064791666667,1767.9806593749988,979.0377145833331
