answer,choicedCardRule,sortingRule,RT 
1,2,0,2795.263 
1,2,0,3669.0153 
0,0,0,2853.8717 
1,2,0,4125.7995 
0,0,0,3429.1102 
0,0,0,2133.9787 
0,0,0,1653.7201 
0,0,0,1437.1335 
0,0,0,1845.7378 
0,0,0,1765.7688 
1,0,2,1829.228 
1,1,2,3805.8937 
0,2,2,4910.2216 
0,2,2,3733.1343 
0,2,2,1381.6602 
0,2,2,4677.876 
0,2,2,1621.7529 
0,2,2,2398.0419 
1,2,0,2669.9477 
1,1,0,3325.6056 
0,0,0,2861.6865 
0,0,0,5158.334 
0,0,0,1309.3252 
0,0,0,1933.7127 
0,0,0,1741.4867 
0,0,0,1502.116 
1,0,1,3885.5988 
1,0,1,1404.4898 
0,1,1,2741.5634 
0,1,1,1964.5649 
0,1,1,1885.5115 
0,1,1,1452.4068 
0,1,1,1797.3443 
0,1,1,2581.3014 
1,1,2,1348.5729 
0,2,2,2268.8235 
0,2,2,2165.3679 
0,2,2,1956.1574 
0,2,2,1140.5257 
0,2,2,804.6073 
0,2,2,892.4732 
1,2,1,1236.9831 
0,1,1,5852.4128 
0,1,1,3061.1699 
0,1,1,1084.5081 
0,1,1,1348.7909 
0,1,1,2845.1076 
0,1,1,988.7819 
