answer,choicedCardRule,sortingRule,RT 
0,0,0,3490.4686 
0,0,0,1898.0468 
0,0,0,901.5619 
0,0,0,629.1561 
0,0,0,941.1739 
0,0,0,909.0603 
1,0,2,612.9699 
1,1,2,1722.0162 
0,2,2,1196.961 
0,2,2,1348.82 
0,2,2,1084.8376 
0,2,2,1045.2859 
0,2,2,636.0086 
0,2,2,1693.3176 
1,2,0,837.1364 
0,0,0,996.7858 
0,0,0,764.9772 
0,0,0,1356.6575 
0,0,0,565.5837 
0,0,0,764.9778 
0,0,0,951.7029 
1,0,2,1637.4648 
0,2,2,1100.315 
0,2,2,1276.3188 
0,2,2,750.535 
0,2,2,759.2582 
0,2,2,776.7606 
0,2,2,838.9222 
1,2,1,821.1053 
1,2,1,1705.9099 
1,0,1,1926.0333 
1,2,1,1333.1381 
1,2,1,1020.8963 
1,0,1,853.1798 
1,0,1,1068.6022 
1,2,1,1534.2972 
1,2,1,1109.0335 
1,0,1,796.9304 
1,0,1,1548.9119 
1,0,1,2261.1848 
1,0,1,1221.7672 
1,0,1,949.177 
1,2,1,2781.6364 
1,0,1,1797.0227 
1,2,1,2186.9789 
1,2,1,981.0875 
1,0,1,949.7044 
1,0,1,1277.8999 
1,2,1,2014.2006 
1,0,1,1949.1422 
1,2,1,1509.3553 
1,0,1,2437.8222 
1,0,1,1853.3175 
1,2,1,1253.6721 
0,1,1,1741.55 
0,1,1,948.555 
1,0,1,1581.3241 
1,0,1,1156.6127 
1,2,1,1261.3254 
1,0,1,1149.085 
1,0,1,1037.2642 
1,0,1,1141.4345 
1,2,1,2133.0083 
0,1,1,1420.6656 
0,1,1,1333.3919 
0,1,1,1188.7445 
0,1,1,1605.229 
0,1,1,1299.7096 
0,1,1,1461.0307 
1,1,0,1205.6193 
0,0,0,2180.3784 
0,0,0,1404.8037 
0,0,0,1093.1244 
0,0,0,1117.0408 
0,0,0,837.7364 
0,0,0,652.6822 
1,0,1,900.9891 
0,1,1,1300.7651 
1,0,1,2924.9837 
0,1,1,1172.96 
0,1,1,1148.3388 
0,1,1,2405.2746 
0,1,1,1220.8739 
0,1,1,2477.7654 
0,1,1,1020.8744 
1,1,0,949.6413 
0,0,0,2444.884 
0,0,0,1340.6103 
0,0,0,804.803 
1,1,0,1044.7289 
0,0,0,924.751 
0,0,0,892.3137 
0,0,0,893.3531 
0,0,0,1013.3863 
0,0,0,972.8191 
0,0,0,765.3008 
