,task1,task2,task3,task4
correct,0.5833333333333334,0.6756756756756757,0.5625,0.5
error,0.4166666666666667,0.32432432432432434,0.4375,0.5
CA,8.0,7.0,8.0,5.0
PE,0.16666666666666666,0.12162162162162163,0.16666666666666666,0.24324324324324326
NPE,0.25,0.20270270270270271,0.2708333333333333,0.25675675675675674
PEm,0.20833333333333334,0.24324324324324326,0.22916666666666666,0.28378378378378377
NPEm,0.20833333333333334,0.08108108108108109,0.20833333333333334,0.21621621621621623
DMS,0.020833333333333332,0.013513513513513514,0.020833333333333332,0.013513513513513514
TO,0.0,22.0,0.0,22.0
RT,1368.4448229166665,916.6761770833335,1314.5710322916673,790.5995635416671
