answer,choicedCardRule,sortingRule,RT 
0,0,0,1446.7894 
0,0,0,1932.3525 
0,0,0,1390.2168 
0,0,0,766.4792 
0,0,0,927.4453 
0,0,0,859.1392 
1,0,1,819.3443 
1,0,1,968.4547 
1,0,1,1590.5902 
1,0,1,1188.561 
1,0,1,1103.5134 
1,0,1,995.319 
1,0,1,970.7313 
1,0,1,779.6187 
1,0,1,511.5542 
1,0,1,982.8881 
1,2,1,1410.7485 
0,1,1,1587.4935 
1,0,1,982.9645 
1,0,1,1019.1464 
1,0,1,1187.6592 
1,0,1,1050.9226 
1,0,1,843.6357 
0,1,1,1027.613 
1,0,1,1358.3626 
1,2,1,1395.7801 
1,0,1,771.5754 
1,0,1,651.6996 
0,1,1,1433.4371 
1,2,1,1151.0367 
1,2,1,1933.0729 
0,1,1,1380.7966 
1,0,1,827.5426 
1,0,1,988.7316 
1,0,1,684.0703 
1,2,1,1604.3414 
1,0,1,1395.5639 
0,1,1,1605.1229 
1,0,1,1163.1531 
1,0,1,1049.8875 
1,2,1,1027.8198 
1,2,1,1555.5091 
1,2,1,1370.6153 
1,2,1,1125.1405 
1,0,1,1123.1583 
1,0,1,1347.1653 
1,2,1,1291.4868 
0,1,1,1187.7862 
