answer,choicedCardRule,sortingRule,RT 
0,0,0,3452.2139 
0,0,0,1877.1601 
0,0,0,1253.7996 
0,0,0,821.4736 
0,0,0,1333.4409 
0,0,0,965.4332 
1,0,2,1270.2859 
0,2,2,2709.2925 
0,2,2,3437.9764 
0,2,2,1261.7203 
0,2,2,1381.7995 
0,2,2,1405.8425 
0,2,2,1381.6638 
1,2,0,1677.2097 
0,0,0,1917.8202 
0,0,0,1397.6536 
0,0,0,1253.7351 
0,0,0,1925.917 
0,0,0,1173.6261 
0,0,0,1517.786 
1,0,1,1693.3274 
1,0,1,1270.128 
0,1,1,2790.0054 
0,1,1,1501.3163 
0,1,1,1709.6324 
0,1,1,1390.0409 
0,1,1,1853.8459 
0,1,1,1949.5325 
1,1,0,1285.991 
0,0,0,1277.4891 
0,0,0,1413.1012 
0,0,0,1853.7027 
0,0,0,1006.0097 
0,0,0,868.8139 
0,0,0,1133.4735 
1,0,2,989.4965 
1,1,2,3030.4516 
0,2,2,2189.5798 
0,2,2,1797.912 
0,2,2,901.4946 
0,2,2,941.6451 
0,2,2,1213.6993 
0,2,2,1397.6363 
1,2,1,1117.8043 
1,0,1,1629.2854 
0,1,1,4966.4431 
0,1,1,1469.4811 
0,1,1,1229.6642 
0,1,1,2254.4214 
0,1,1,1677.6033 
0,1,1,1877.5548 
1,1,2,1854.1688 
1,0,2,1749.5052 
1,1,2,1742.0056 
0,2,2,2853.8983 
0,2,2,1445.0203 
0,2,2,1750.0497 
0,2,2,1381.653 
0,2,2,1341.8075 
0,2,2,1149.6988 
1,2,1,1477.5862 
1,0,1,1669.5134 
0,1,1,3725.815 
0,1,1,1621.8075 
0,1,1,1341.4885 
0,1,1,1813.7344 
0,1,1,2229.3128 
0,1,1,1373.502 
1,1,2,1213.6923 
1,0,2,2598.0132 
0,2,2,2957.9706 
0,2,2,2717.3254 
0,2,2,2278.1643 
0,2,2,1117.2701 
0,2,2,2213.6403 
0,2,2,1309.8679 
1,2,1,1381.726 
1,0,1,2389.7572 
1,2,1,4253.9124 
0,1,1,2894.4001 
0,1,1,1813.4045 
0,1,1,1445.8593 
0,1,1,1581.0739 
0,1,1,1709.7688 
0,1,1,2189.7501 
1,1,2,1270.0367 
1,1,2,1765.3689 
1,0,2,1917.8227 
0,2,2,3814.0498 
0,2,2,1605.5575 
0,2,2,2085.3172 
0,2,2,1270.1264 
0,2,2,1125.7851 
0,2,2,1341.1162 
1,2,0,1333.2818 
1,2,0,1429.5385 
