,task1,task2,task3,task4
correct,0.75,0.6621621621621622,0.5208333333333334,0.6627906976744186
error,0.25,0.33783783783783783,0.4791666666666667,0.3372093023255814
CA,12.0,5.0,7.0,8.0
PE,0.03125,0.16216216216216217,0.23958333333333334,0.16279069767441862
NPE,0.21875,0.17567567567567569,0.23958333333333334,0.1744186046511628
PEm,0.17708333333333334,0.20270270270270271,0.34375,0.16279069767441862
NPEm,0.07291666666666667,0.13513513513513514,0.13541666666666666,0.1744186046511628
DMS,0.0,0.04054054054054054,0.020833333333333332,0.023255813953488372
TO,0.0,22.0,0.0,10.0
RT,1777.5062166666667,1465.6612999999995,1764.6434281250001,1215.8894000000003
