answer,choicedCardRule,sortingRule,RT 
0,0,0,2915.3087 
0,0,0,3981.031 
0,0,0,1685.529 
0,0,0,1437.4034 
0,0,0,1116.7884 
0,0,0,1245.762 
1,0,1,1152.2941 
1,0,1,1317.6801 
0,1,1,2053.0711 
0,1,1,2901.7304 
0,1,1,1917.829 
0,1,1,1789.6075 
0,1,1,1773.2615 
0,1,1,1429.5924 
1,1,2,1293.5944 
1,0,2,2149.6951 
0,2,2,2469.7467 
0,2,2,1557.7978 
0,2,2,1869.7849 
0,2,2,1021.5839 
0,2,2,1485.7982 
0,2,2,1109.1544 
1,2,0,1293.7778 
0,0,0,1653.4856 
0,0,0,1365.4417 
0,0,0,1525.5948 
1,2,0,1397.6615 
0,0,0,1381.9939 
0,0,0,1445.3448 
0,0,0,1093.1802 
0,0,0,1229.3798 
0,0,0,1205.6071 
0,0,0,1141.7628 
1,0,2,1245.6036 
0,2,2,2646.0191 
0,2,2,1789.8428 
0,2,2,2445.5901 
0,2,2,1213.6127 
0,2,2,1213.0573 
0,2,2,981.4945 
1,2,0,1181.69 
0,0,0,2221.7333 
0,0,0,1181.5124 
0,0,0,2301.7151 
1,2,0,1533.9892 
0,0,0,2693.4866 
0,0,0,1437.8606 
0,0,0,1598.2379 
