answer,choicedCardRule,sortingRule,RT 
0,0,0,1832.8938 
0,0,0,1349.1997 
0,0,0,813.2351 
0,0,0,549.1953 
0,0,0,718.217 
0,0,0,989.4894 
1,0,1,653.6662 
1,2,1,1613.1846 
0,1,1,1616.4467 
0,1,1,1176.6944 
0,1,1,1125.6911 
0,1,1,1325.365 
0,1,1,1053.4486 
0,1,1,997.4564 
1,1,0,869.3899 
0,0,0,1485.061 
0,0,0,1661.8038 
0,0,0,1549.4651 
0,0,0,1077.8203 
0,0,0,1357.6201 
0,0,0,941.4626 
1,0,1,1053.7016 
1,2,1,1933.1682 
0,1,1,1398.2421 
0,1,1,1620.383 
0,1,1,1149.3332 
0,1,1,1349.6547 
0,1,1,1133.563 
0,1,1,1077.5556 
1,1,2,909.0923 
1,0,2,973.1042 
0,2,2,2061.7392 
0,2,2,996.7365 
1,1,2,901.6599 
0,2,2,1621.1355 
0,2,2,1317.0872 
0,2,2,1061.5131 
0,2,2,1005.8736 
0,2,2,925.542 
0,2,2,869.5924 
1,2,1,957.1578 
1,2,1,1181.1325 
1,0,1,1029.6418 
0,1,1,1213.2245 
0,1,1,933.4933 
0,1,1,1069.6462 
0,1,1,1133.5051 
0,1,1,989.4754 
0,1,1,1075.4113 
1,1,2,1059.4684 
0,2,2,1923.2644 
0,2,2,1363.5225 
0,2,2,902.3722 
0,2,2,1379.5529 
0,2,2,1157.5503 
0,2,2,1331.2885 
1,2,0,859.6391 
0,0,0,1492.0911 
0,0,0,1333.2657 
0,0,0,1019.5241 
0,0,0,988.0636 
0,0,0,748.2652 
0,0,0,787.9728 
1,0,2,788.1092 
0,2,2,1635.5237 
0,2,2,1322.9407 
0,2,2,948.3664 
0,2,2,629.697 
0,2,2,899.8083 
0,2,2,1099.2426 
1,3,1,1108.359 
1,0,1,1507.1488 
0,1,1,2365.8486 
0,1,1,1283.2675 
0,1,1,1075.5989 
0,1,1,1275.823 
0,1,1,1045.6981 
0,1,1,1147.8919 
1,1,0,2004.5648 
1,2,0,1019.1215 
0,0,0,1268.3098 
0,0,0,955.7274 
0,0,0,843.7097 
0,0,0,676.6548 
0,0,0,836.4026 
0,0,0,845.0712 
1,0,1,1012.4171 
1,0,1,819.3874 
1,2,1,932.6041 
0,1,1,2020.3175 
0,1,1,1435.6628 
0,1,1,909.7415 
0,1,1,1076.0462 
0,1,1,1019.7084 
0,1,1,932.5303 
1,1,0,972.2251 
