,task1,task2,task3,task4
correct,0.7708333333333334,0.68,0.7604166666666666,0.547945205479452
error,0.22916666666666666,0.32,0.23958333333333334,0.4520547945205479
CA,12.0,6.0,11.0,5.0
PE,0.020833333333333332,0.06666666666666667,0.052083333333333336,0.1506849315068493
NPE,0.20833333333333334,0.25333333333333335,0.1875,0.3013698630136986
PEm,0.14583333333333334,0.17333333333333334,0.14583333333333334,0.1917808219178082
NPEm,0.08333333333333333,0.14666666666666667,0.09375,0.2602739726027397
DMS,0.010416666666666666,0.04,0.010416666666666666,0.0410958904109589
TO,0.0,21.0,0.0,23.0
RT,1164.1410208333336,1022.7122531249998,1055.209185416666,933.9248229166665
