answer,choicedCardRule,sortingRule,RT 
0,0,0,1345.9772 
0,0,0,437.3828 
0,0,0,791.6055 
0,0,0,947.0289 
0,0,0,852.9761 
0,0,0,1006.9236 
1,0,1,755.1985 
1,0,1,1056.0026 
0,1,1,1828.118 
1,3,1,184.5187 
1,2,1,903.1343 
1,3,1,231.103 
1,0,1,891.3388 
1,2,1,963.5521 
0,1,1,991.648 
1,0,1,2447.5061 
1,0,1,1149.1475 
1,2,1,1164.3476 
1,2,1,1583.4616 
1,0,1,1307.5172 
1,2,1,1335.2778 
0,1,1,1491.6895 
0,1,1,2115.7293 
0,1,1,1072.6316 
1,2,1,832.2555 
1,2,1,1795.3077 
1,0,1,939.0647 
1,2,1,1123.7761 
1,0,1,1080.7985 
0,1,1,1191.1789 
0,1,1,3109.8264 
0,1,1,1203.9287 
0,1,1,1147.661 
0,1,1,779.7174 
0,1,1,1235.5209 
1,1,0,1476.2514 
0,0,0,2067.2635 
0,0,0,1149.3773 
1,1,0,1147.229 
1,2,0,1921.6225 
1,2,0,1211.0734 
0,0,0,1203.069 
0,0,0,1027.4748 
0,0,0,1165.0965 
0,0,0,907.9875 
0,0,0,731.1936 
0,0,0,731.659 
1,0,2,755.3955 
