answer,choicedCardRule,sortingRule,RT 
1,2,0,1992.6161 
0,0,0,1081.4553 
1,2,0,1324.1393 
0,0,0,756.6435 
0,0,0,773.3925 
0,0,0,1020.891 
1,2,0,877.141 
0,0,0,812.6582 
0,0,0,725.1059 
0,0,0,933.4119 
0,0,0,1511.3353 
0,0,0,844.7336 
0,0,0,1317.8319 
1,0,2,836.1539 
1,0,2,1085.0293 
0,2,2,1499.0074 
0,2,2,1541.4382 
1,0,2,1253.8829 
0,2,2,1172.8259 
0,2,2,947.7031 
0,2,2,1189.1267 
0,2,2,909.0178 
0,2,2,1452.9437 
0,2,2,1301.6684 
1,2,0,925.3236 
1,1,0,2352.0339 
0,0,0,933.2037 
0,0,0,1088.1461 
0,0,0,1847.5384 
0,0,0,1741.5346 
0,0,0,860.7989 
0,0,0,1109.2753 
1,0,1,1221.1888 
1,2,1,1181.01 
0,1,1,1709.6508 
0,1,1,1893.4178 
0,1,1,1237.1908 
0,1,1,964.282 
0,1,1,1188.8541 
0,1,1,1733.008 
1,1,2,1212.6703 
1,1,2,1181.4717 
0,2,2,1037.2528 
0,2,2,932.5562 
1,1,2,1253.0014 
0,2,2,812.7676 
1,1,2,1180.5259 
0,2,2,2036.9944 
0,2,2,861.4234 
0,2,2,1452.9942 
0,2,2,1741.2955 
0,2,2,1477.323 
0,2,2,925.465 
1,2,1,1140.4803 
0,1,1,1772.5265 
0,1,1,1469.7494 
0,1,1,933.3776 
0,1,1,1117.1923 
0,1,1,1821.3835 
0,1,1,1212.6739 
1,1,0,1451.5702 
1,2,0,1445.2223 
0,0,0,805.178 
0,0,0,773.3202 
0,0,0,1804.9254 
0,0,0,2165.477 
0,0,0,2101.2844 
0,0,0,1988.7725 
1,0,1,1763.871 
0,1,1,1317.0718 
0,1,1,1021.2421 
0,1,1,1389.2528 
0,1,1,1493.0213 
0,1,1,1628.5907 
0,1,1,1365.3423 
1,1,0,1028.5479 
0,0,0,941.1827 
0,0,0,852.5509 
0,0,0,877.039 
0,0,0,1555.5379 
0,0,0,1221.6443 
0,0,0,1509.1737 
1,0,1,908.6633 
0,1,1,1332.5421 
0,1,1,1645.4703 
1,0,1,1053.4368 
1,0,1,893.319 
1,2,1,1508.9638 
1,0,1,1269.4888 
0,1,1,1173.3871 
1,0,1,829.1057 
0,1,1,1492.5123 
0,1,1,1340.8289 
0,1,1,1357.0665 
0,1,1,1397.351 
0,1,1,1197.4694 
