,task1,task2,task3,task4
correct,0.7708333333333334,0.759493670886076,0.7395833333333334,0.7777777777777778
error,0.22916666666666666,0.24050632911392406,0.2604166666666667,0.2222222222222222
CA,11.0,7.0,9.0,8.0
PE,0.020833333333333332,0.0759493670886076,0.10416666666666667,0.06172839506172839
NPE,0.20833333333333334,0.16455696202531644,0.15625,0.16049382716049382
PEm,0.15625,0.16455696202531644,0.1875,0.16049382716049382
NPEm,0.07291666666666667,0.0759493670886076,0.07291666666666667,0.06172839506172839
DMS,0.020833333333333332,0.05063291139240506,0.041666666666666664,0.06172839506172839
TO,0.0,17.0,0.0,15.0
RT,1266.7120854166667,984.8113447916668,1277.2828947916669,900.1372333333334
