answer,choicedCardRule,sortingRule,RT 
0,0,0,1400.638 
0,0,0,1653.6865 
0,0,0,1142.7078 
0,0,0,774.8094 
0,0,0,836.6631 
0,0,0,915.3104 
1,0,2,755.0339 
0,2,2,2448.0127 
0,2,2,1422.1885 
0,2,2,943.8329 
0,2,2,1135.4491 
0,2,2,1055.1791 
0,2,2,843.4348 
1,2,0,1334.8894 
1,2,0,907.5103 
1,1,0,2543.1437 
1,2,0,1819.2208 
0,0,0,1420.7016 
1,2,0,1067.7533 
0,0,0,1203.8108 
0,0,0,2147.3686 
0,0,0,1627.6827 
0,0,0,1255.1149 
0,0,0,1531.4348 
0,0,0,1403.0619 
1,0,2,1435.7746 
0,2,2,1591.2101 
0,2,2,2070.4742 
0,2,2,1441.263 
0,2,2,991.2402 
0,2,2,1701.5551 
0,2,2,1443.7869 
1,2,1,900.647 
0,1,1,2075.9671 
0,1,1,1683.8616 
0,1,1,1164.4238 
0,1,1,1243.1882 
0,1,1,844.993 
0,1,1,930.4126 
1,1,0,1275.2181 
1,2,0,2354.9028 
0,0,0,1316.1679 
1,1,0,1387.6885 
0,0,0,1477.3483 
1,1,0,1043.4405 
0,0,0,1644.2529 
0,0,0,1491.5912 
0,0,0,1435.7371 
