answer,choicedCardRule,sortingRule,RT 
1,2,0,3043.2914 
0,0,0,1989.3335 
0,0,0,1309.4487 
0,0,0,685.1177 
0,0,0,757.7742 
0,0,0,669.3079 
0,0,0,676.9427 
1,0,2,693.6273 
1,0,2,621.8109 
0,2,2,2061.6833 
0,2,2,1429.3085 
0,2,2,717.8047 
0,2,2,797.0848 
0,2,2,893.8402 
0,2,2,1245.6307 
1,2,0,629.375 
1,1,0,1389.7058 
0,0,0,2342.0164 
0,0,0,677.9504 
0,0,0,692.9953 
0,0,0,654.3188 
0,0,0,1301.6817 
0,0,0,477.1282 
1,0,2,677.2011 
0,2,2,1589.5277 
0,2,2,805.5679 
0,2,2,597.0621 
0,2,2,701.6512 
0,2,2,813.635 
0,2,2,853.3309 
1,2,0,782.0929 
0,0,0,1981.4036 
0,0,0,781.5331 
0,0,0,1278.1354 
0,0,0,597.1671 
0,0,0,645.2221 
0,0,0,1333.4007 
1,0,1,717.5921 
1,2,1,1869.682 
0,1,1,973.1319 
0,1,1,869.7268 
0,1,1,749.3248 
0,1,1,1245.7517 
0,1,1,780.7923 
0,1,1,653.2275 
1,1,0,853.255 
1,2,0,1829.2929 
1,1,0,1397.9744 
0,0,0,1829.6277 
0,0,0,1029.3564 
1,2,0,629.5608 
0,0,0,1125.8225 
0,0,0,1044.7368 
0,0,0,621.273 
0,0,0,654.0676 
0,0,0,1805.2875 
0,0,0,685.6337 
1,0,2,781.9408 
0,2,2,1157.7615 
0,2,2,1197.2336 
0,2,2,725.4929 
0,2,2,773.3687 
0,2,2,797.6717 
0,2,2,733.4867 
1,2,1,677.5294 
0,1,1,2213.873 
0,1,1,1485.6858 
0,1,1,853.2243 
0,1,1,885.5853 
0,1,1,1062.112 
0,1,1,1325.8159 
1,1,0,757.1189 
1,2,0,1877.8059 
0,0,0,2141.8154 
0,0,0,733.3136 
0,0,0,620.9864 
0,0,0,701.5957 
0,0,0,701.7828 
0,0,0,669.3462 
1,0,1,821.2483 
1,2,1,2869.6316 
0,1,1,2678.0164 
0,1,1,1949.7457 
0,1,1,1229.596 
0,1,1,2229.6869 
0,1,1,1060.6987 
0,1,1,909.1764 
1,1,0,1109.9556 
0,0,0,1757.5177 
0,0,0,1525.9759 
0,0,0,605.6481 
0,0,0,1469.6842 
0,0,0,878.1578 
0,0,0,741.0576 
1,0,2,517.143 
1,1,2,1525.5945 
