,task1,task2,task3,task4
correct,0.7708333333333334,0.821917808219178,0.8229166666666666,0.75
error,0.22916666666666666,0.1780821917808219,0.17708333333333334,0.25
CA,12.0,10.0,13.0,9.0
PE,0.010416666666666666,0.0410958904109589,0.010416666666666666,0.02631578947368421
NPE,0.21875,0.136986301369863,0.16666666666666666,0.2236842105263158
PEm,0.14583333333333334,0.1643835616438356,0.125,0.17105263157894737
NPEm,0.08333333333333333,0.0136986301369863,0.052083333333333336,0.07894736842105263
DMS,0.010416666666666666,0.0,0.0,0.0
TO,0.0,23.0,0.0,20.0
RT,1117.8365333333334,873.4483385416667,1187.7201093749998,812.506865625
